ID	Target	Tweet	Stance	Opinion towards	Sentiment
55	Legalization of Abortion	But isn't that the problem then. Not enough faith. #gaystapo #socialism	NONE	OTHER	NEGATIVE
56	Legalization of Abortion	Life is our first and most basic human right.	AGAINST	TARGET	POSITIVE
57	Legalization of Abortion	Rise & Shine its a new day & you're alive. Thank God 4 another day of precious life. #Christian #Catholic #TeamJesus	AGAINST	TARGET	POSITIVE
58	Legalization of Abortion	Lmao my school thinks giving women the right to an abortion is against feminism. They don't know feminism #wtf	FAVOR	TARGET	NEGATIVE
59	Legalization of Abortion	@AsaSoltan putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs	FAVOR	TARGET	POSITIVE
60	Legalization of Abortion	Last meeting of the year tonight! 7:00 pm in Case Hall room 334A. Come one come all! Pizza and pop will be provided!	NONE	NO ONE	POSITIVE
61	Legalization of Abortion	FACT: 17% of today's population is equivalent to residents in New York, Florida, and Pennsylvania.  Where's the outrage for this? 	NONE	OTHER	NEGATIVE
62	Legalization of Abortion	They say God isn't listening? Just look at that radar today. #prayfornepal	NONE	OTHER	POSITIVE
63	Legalization of Abortion	If you believe in its power; then pray. #Nepal #Baltimore #ISIS #Kenya #GenderChange #Injustice #Slavery #Racism #MiddleEast	NONE	OTHER	POSITIVE
64	Legalization of Abortion	Planned Parenthood lines its pockets while sacrificing women and children in need at the altar of abortion.	AGAINST	TARGET	NEGATIVE
65	Legalization of Abortion	It is not progressive to try to resolve problems by eliminating a human life. - #PopeFrancis	AGAINST	TARGET	NEGATIVE
66	Legalization of Abortion	RT @TheKeyisPrayer: "No law can give me the right to do what is wrong."  -Abraham Lincoln	AGAINST	TARGET	NEITHER
67	Legalization of Abortion	We live in a world where people care more about religious rights than consent & reproductive rights....	FAVOR	TARGET	NEGATIVE
68	Legalization of Abortion	we remind ourselves that love means to be willing to give until it hurts - Mother Teresa	AGAINST	OTHER	POSITIVE
69	Legalization of Abortion	Life, what a beautiful choice. Adoption. Not abortion.	AGAINST	TARGET	POSITIVE
70	Legalization of Abortion	My teacher today basically said that embroyo's are nothing but skin + blood & that abortion was fine. #smartlady	FAVOR	TARGET	NEGATIVE
71	Legalization of Abortion	@ShowTruth Keeping pregnant people safe is a great reason for abortion, though.	FAVOR	TARGET	POSITIVE
72	Legalization of Abortion	@rosaryrevival When we #PrayTheRosary lest we forget to #Prayforpersecutedchurch #PrayForIsrael #PrayForUkraine	NONE	OTHER	POSITIVE
73	Legalization of Abortion	#cogar @RefCom_ie get more #questions on #d #ballott! #ireland's #dail is stuck. We'll #help! #drugswar #landwar #etc. #tanks	NONE	OTHER	POSITIVE
74	Legalization of Abortion	Yep. RT: "Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice" #1in3	FAVOR	TARGET	POSITIVE
75	Legalization of Abortion	@mrprolife You would force a woman to risk her health, sanity, and life, to continue a doomed pregnancy. Against her will. No.	FAVOR	TARGET	NEGATIVE
76	Legalization of Abortion	Whether someone wants to have children or not should be completely up to the person carrying that pregnancy...	FAVOR	TARGET	POSITIVE
77	Legalization of Abortion	I will agree to gay marriage if you agree to pro-life and then adopt babies that would have been aborted.	AGAINST	TARGET	NEGATIVE
78	Legalization of Abortion	On Manila TV,Monday: #Pacquiao appeals to @IndonesiaPresident -don't execute #MaryJaneVeloso #deathRow #drugTrafficking #Christian	NONE	OTHER	NEGATIVE
79	Legalization of Abortion	Too far? Sorry so is he	NONE	OTHER	NEGATIVE
80	Legalization of Abortion	I watched #AfterTiller and it gave me a whole new perspective on a woman's right to choose. #womensRights	FAVOR	TARGET	POSITIVE
81	Legalization of Abortion	@explicit0ceans I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense.	FAVOR	TARGET	NEGATIVE
82	Legalization of Abortion	True progressives work toward greater inclusion and protections for the marginalized. Standing up for the unborn is progressive!	AGAINST	TARGET	POSITIVE
83	Legalization of Abortion	MT @ProLifePolitics- Senate vote on SC Pain-Capable Unborn Child Protection Act could come as early as Wed. Contact your senators!	AGAINST	TARGET	POSITIVE
84	Legalization of Abortion	Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO.	AGAINST	TARGET	NEGATIVE
85	Legalization of Abortion	@explicit0ceans whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved.	AGAINST	TARGET	NEGATIVE
86	Legalization of Abortion	Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this. #abvote	FAVOR	TARGET	POSITIVE
87	Legalization of Abortion	Sadly, most health insurance plans don't cover abortions, so the price can be quite high....	FAVOR	TARGET	NEGATIVE
88	Legalization of Abortion	@Britt_Ghiroli @mboyle1 But the Mayor of Baltimore said to give rioters to rioters. #BlackLivesMatter #Except2Democrats #Sanger	NONE	OTHER	NEGATIVE
89	Legalization of Abortion	It is so much fun having younger friends who are expecting babies. #beentheredonethat #chooselife	AGAINST	TARGET	POSITIVE
90	Legalization of Abortion	Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright	AGAINST	TARGET	NEGATIVE
91	Legalization of Abortion	I refuse to let people like you shame and insult women for accessing healthcare. Sorry. Just no. 	FAVOR	OTHER	NEGATIVE
92	Legalization of Abortion	pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen	FAVOR	TARGET	NEGATIVE
93	Legalization of Abortion	U know what isn't funny? Male politicians deciding what women should do with their body's.	FAVOR	OTHER	NEGATIVE
94	Legalization of Abortion	I was born 4 months premature... I'm perfectly fine, somehow killing babies is legal in this country.	AGAINST	TARGET	NEGATIVE
95	Legalization of Abortion	You can't kill someone cause you claim you made a mistake. If true nobody would go to jail for killing their spouse.	AGAINST	TARGET	NEGATIVE
96	Legalization of Abortion	@Corey_Frizzell @PEILiberalParty and most Islanders have different definitions of "timely access". #irony #peipoli #peivotes	NONE	OTHER	NEGATIVE
97	Legalization of Abortion	@Docjp Pressure? It's their job and they are failing miserably at keeping the promises they made.  #GOP #PJNET #Amnesty #Obamacare	NONE	OTHER	NEGATIVE
98	Legalization of Abortion	I love how #liberals only accuse #conservatives of war on women when we don't want to fund	AGAINST	TARGET	NEGATIVE
99	Legalization of Abortion	Help your friend figure out how they're going to get there and where to stay if they need to spend the night	NONE	NO ONE	POSITIVE
100	Legalization of Abortion	@JimDDaniels1 Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on	AGAINST	OTHER	NEGATIVE
