LABEL	preprocessing_B
FAVOR	els murs humans al llarg de la història shan convertit en una icona universal de la defensa dels drets i les llibertats som un mur humà sí som el puto mur humà que molts que avui volen tombar trobaran a faltar el dia que el feixisme els entri a casa
AGAINST	i a què espereu per signar els convenis que marca la llei per tal de fer front a la #condonacióndedeuda
AGAINST	preciosa massatgista eròtica catalana farà les delícies amb les seves mans i el seu cos blanca puig catalana i calenta
AGAINST	saps pilar crec que és la diada que vaig amb més ganes i més emocionat pel record dels nostres presoses i exiliatsdes i per totses aquellses que van patir la violència de l o #joanirealadiagonal #diada
AGAINST	menteixes aixó de vox es fals i no ho dic pas jo
AGAINST	el pregonero de las fiestas de cerdanyola llama prostituta a inés arrimadas vía
FAVOR	 tossudament alçats camí cap a la república #omplimsantjaumes #femxarxa #s #llibreslliures
AGAINST	això era pel reglament aprovat el juliol del després el i de setembre no van aplicar lesmentat reglament per favor no retallis un titular si no coneixes la notícia sencera
AGAINST	segurament hi havia gent vinguda fins i tot de frança 
AGAINST	el nostre més sentit condol a lalcaldessa per la mort del seu marit tot el nostre suport i escalf en aquests moments difícils
NEUTRAL	hem descoltar i compartir el que ens arriba des de ens queixem que nos ens escolten a ells tampoc #llibertatpresospolítics
FAVOR	a les portes del suprem el parlament europeu ha destar molt pendent del que passi avui perquè sap que en la persona de raül romeva shi juga molt #judicio
AGAINST	cupvercgència distreu els idiotes dels seus votants amb la pastanaga reial perquè no vegin lestafa del procés per contra cada vegada que #cupvercgència ataca el rei els espanyols es fan més monàrquics processisme i monarquia es necessiten mútuament
FAVOR	o comencem a tenir clar que la única solució és votar massivament la o no en sortirem
NEUTRAL	 només pels somriures que la tiparraca de la toro aquesta ha provocat als presos ha valgut la pena
FAVOR	amb lexhumació de franco es trenca un tabú imposat a la transició la intocabilitat del franquisme convindria no quedarse aquí i trencarne molts daltres com lexclusió del dret a pronunciarse sobre la república o lautodeterminació
NEUTRAL	ran i en kogoro son els millors #detectiuconanxl
FAVOR	 realment els independentistes van ser violents policies contra levidència
NEUTRAL	️ avui com no podria ser daltra manera ens sumem al #diainternacionalcontralalgtbfobiaeneldeporte aquest de febrer i cada dia diem no a la #lgtbifobia al futbol i al món de lesport en general
FAVOR	el que cal es fer pinya entre els indepes no fer volar coloms sobre que colau coscu i rabell es facin indepes cosa que no pasara mai per justificar fer un tripartit autonomic
FAVOR	no seriosament quan crearà algú unes brigades mata feixistes
FAVOR	no ni jo ni el meu pare hem escrit el famós missatge a jordi sánchez no rotundament no #judicitvcatràdio
AGAINST	quina mania de parlar sempre de dignitat un xic més de sentit comú i pragmatisme i ens hauríem estalviat tot aquest patiment
FAVOR	 veig tothom molt amoïnat amb un nou sabeu com no te l poden aplicar sent independents algú se n recorda d aquesta p
FAVOR	 quanta més repressió més indepes o més determinats ni ho entenen ni ho entendran mai pq es comporten com a col
AGAINST	millo acusa els cdr de violents els criminalitza i posa el relat per a que sens persegueixi penalment
NEUTRAL	#totesmoutv no em cansaré de repetirho és malvat monstruós equiparar els errors polítics evidents duns els indepes i els errors en forma de violència presó i repressió dels altres monstruós no compreu aquest marc sisplau
AGAINST	no parla de carreges el responsable de tot aixo va ser el
AGAINST	no veig que tergiverssi res veig que no ets capaç dentendre els que no estem dacord amb com ho veus
NEUTRAL	è aniversari ja del programa inpa a com passa el temps com han millorat les xifres i quan falta encara per millorar més felicitats a i tot lequip de la umi
FAVOR	arribem al punt que i la ens volen introduir al nostre marc mental que el diàleg i un referèndum pactat són la solució això és renunciar a els últims anys de manifestacions al doctubre i totes les hòsties rebudes és tornar al i fer de psc
AGAINST	clar amb els vitores de la gent que laclamava
AGAINST	a bona part de catalunya no hi plovia des de l de febrer dies sense pluja a #alcanar es van recollir m el de gener i avui és el è dia sense pluja apreciable #montsià #meteocat
AGAINST	ets molt millor que en maquiavelo noi el putu amo de la estrategia i com es que no els heu alliberat aquest mesos passats
AGAINST	com es fa perquè no em surti la talegón al timeline
FAVOR	 el mhp carles puigdemont farà un acte el dia de febrer a la universitat de groningen als països baixos
AGAINST	santi vila la dui va ser un fake simbòlic sense trascendencia processistes traidor rata botifler venut turull la dui va ser un fake simbòlic sense trascendencia processistes exemple de dignitat heroi polític de la gent ️️️
AGAINST	 allà hi serem per mantenir el diàleg encara que sigui molt difícil
FAVOR	 en directe expectació per la conferència dels presidents puigdemont i torra a brussel·les via
FAVOR	autodeterminació drets socials civils i polítics llibertat preses polítiques retorn exiliades dissabte h manifestació imprescindible a barcelona
AGAINST	abdul aziz muhamat refugiat sudanès confinat en un centre de reclusió guanya el prestigiós premi internacional de #dretshumans #martinennals
NEUTRAL	els fills ideològics del coronel galindo si no fas allò que et diuen tenterren en calç viva o et torturen a intxaurrondo
AGAINST	quan tens com tú el cove plé potser si pero aleshores no et dediquis a la política dedicat a ser empresaria explotadorao algo així
AGAINST	 boye ha respost amb un gràcies degà ben irònic
FAVOR	des despanya ens amenacen amb un nou els sindicats dels règim del van estar callats durant aquells mesos recordeu ens cal un sindicalisme país només conquerint tots els espais de poder serem forts i podrem fer front a la repressió ️
NEUTRAL	sánchez no descarta pactes postelectorals després del a a excepció de vox
FAVOR	 el company willy toledo en llibertat provisional després de no declarar davant el jutge solidaritat força lluita #lanostrasentència independència #mecagoendios
NEUTRAL	alejandro fernández ha criticat aquest dissabte que la líder de #ciudadanos a #catalunya inés #arrimadas aneu a #waterlo bèlgica perquè cau en una retòrica populista que és caure en el joc de lexpresident de la generalitat carles #puigdemont
AGAINST	si això és una entrevista periodística el periodisme està fotut doncs
FAVOR	en sobre el deure dels polítics de conduir les emocions racionalitzar les situacions i trobarhi sortida clau descriu a més el posicionament actuals de les dues principals forces independentistes 
NEUTRAL	a estem buscant un periodista amb experiència en làmbit de la comunicació política per a un nou projecte periodístic interessats o interessades cv a miquelpellicer@laviniatc gràcies
FAVOR	no sé si votar a junqueras miquel roca o echenique  feu el favor de fer una llista unitària i transversal amb lobjectiu de la república catalana votada pel poble x visca la república catalana
FAVOR	també visitaran el parlament de flandes on es reuniran amb el president de la cambra jan peumans puigdemont i torra fan avui la conferència conjunta a brussel·les malgrat la censura de tajani
AGAINST	franco va necessitar anys i tot un exèrcit per tancar la generalitat jutjarne el govern i prohibir el català ara gràcies al processisme no els cal cap exèrcit amb un jutge i un funcionari del enviat des de madrid nhi ha prou el #processisme és submissió #judicio
FAVOR	trescents vintinou i cent vuitantavuit i trescents quarantavuit i es pretén que aguantem els violents #garrotuit #llibertatpresospolíticscatalans #llibertatpresespolítiquescatalanes
NEUTRAL	es compleixen anys de la mort dantonio machado
FAVOR	aquests dies he pensat molt en les discussions amb i i mha sortit això un elogi de lempatia davant dels tecnòcrates els racionals i els que provoquen un emocional jordi graupera i els robots
AGAINST	ara de debò us fa gràcia el de la galleda de merda crec que jair et pressiona molt el llaç el cervell 
AGAINST	estiu del i marie antoniette
FAVOR	si el #a seguim comprant el fum d@esquerraerc i seguirem tenint només fum és el moment de fer un vot de càstig i canviar les coses #jojanocomprofum #aojuntsores
FAVOR	la crida a no votar és intencionada els gilipolles en tot cas són els que hi cauen de quatre potes cal ser més intellegent i pensar a qui beneficia que no votem partits indepes
AGAINST	a mi magrada insultar no tenganyis acostumo a dir ruc o ruca mho he copiat del bernat dedeu
FAVOR	en directe nieto durant la junta de seguretat els vam insistir que el referèndum era il·legal i que la situació era de risc per la possibilitat de xocs violents
AGAINST	ups sembla que a la crida nacional se li ha caigut aquest tuit seria una llàstima que romangués a internet per a la posterioritat oi
FAVOR	no busqueu més ja teniu on dinar el proper #setembre al passeig del born i organitzem un dinar popular paella amb opció vegetariana amb aigua o vi i postres € també farem un acte polític a les h no falteu #organitzemrepública
AGAINST	la devoció catalana a sant valentí és mil·lenària i des de fa tres segles i mig se nhan venerat de diferents els coneixeu #dulia #etnografia #devoció #relíquies #reliquiaris #santoral
FAVOR	guaita na va dir que a raíz del #s després va rectificar en no recorda el que va dir que no recordava vés a saber i ara aquest person diu que el van començar a preparar quanta credibilitat #faketrial
AGAINST	heu revocat el conveni signat durant el amb linss
FAVOR	per si és del seu interès dissabte tornen a sant jaume si us quda un bri d decència o dignitat ho podrieu aturar #omplimsantjaumes
AGAINST	no és el meu cas no indepe que dubtava votar comuns i que aquest factor em fa no votarlos a generals però sí a lajuntament
FAVOR	proposo que a can diccionarivikipèdia la definició del terme cínic sacompanyi per il·lustrar de la foto daquest individu quina vergonya de veritat aquest tipus de polítics sense escrúpols quanta mentida i impostura i sense despentinarse #millo
AGAINST	 jo no he dimitit ha dimitit laltre sí els dels comuns jo no ho juro
AGAINST	gràcies a tots els qui us heu interessat per la meua salut tot ha anat be i ara comencen unes quantes setmanes de recuperació lamente molt però que he de suspendre tots els actes públics que tenia programats els pròxims dos mesos
FAVOR	i per què no llista unitària i així ja tenim fet el referèndum llista unitària de tots fins hi tot la cup
FAVOR	fa temps que aviso l doctubre va ser paper mullat ens volen portar a una tupinada de referèndum manipulat on perdrem i així donar per acabat el procés
AGAINST	 la guia de la manifestació de la diada de lonze de setembre tot el que necessiteu saber
FAVOR	#davantdelsuorem em considero un pres polític aquest judici és un judici polític diré solament la veritat les acusacions són falses #absolució #freetothom
FAVOR	 lhc li diu a la cara a lindividu de les punyetes que és un peliculero #judiciprocés
FAVOR	 boye i puigdemont desmunten latac de la fiscalia contra slesvigholstein
AGAINST	demà anirem bojos però organitzats ho aconseguirem
AGAINST	el fenòmen és miraculós se´n va a i resulta q és bisexual deixa la política i ella també s´ho planteja esclaten els màsters i assegura q a ella li van oferir i va dir q no q no parli o dirà q va tenir vocació de monja
AGAINST	hi ha una campanya brutal dels processistes a twitter per desacreditar i anul·lar els grans comptes dusuaris independentistes això voleu una república on els que no pensen com vosaltres siguin discriminats i apartats dieu dels feixistes però vosaltres sou iguals o pitjors
FAVOR	canviem els nostres lemes i adoptem moral de victòria ni un pas enrere gt sempre endavant no esteu sols gt estem amb vosaltres no tenim por gt guanyarem llibertat gt independència sentim tristor i ràbia però cada dia tenim més clar que el camí és la república catalana
AGAINST	si pots fer servir el teu dret de respondre a les preguntes dels advocats i fiscals de la sala per argumentar la teva inocència per fer un mitin com cal total els anys de comdemna si et sentencien com culpable son teus només teus
FAVOR	amb avui acompanyem els consellers legítims i al ts saben que aquest és un judici polític però estan determinats a explicarse i a demostrar que no hi va haver delicte sinó només urnes i democràcia #judicialesurnes #freetothom
FAVOR	 el sindicalisme independentista guanya les eleccions sindicals a la generalitat
FAVOR	escolta que només escoltes als del i al teu superior vicent sanchís i ja tens prou edat i poder a per plantarli cara a mi aquí mhi falta el gran fes  si a tu també #tonisolerdimissió
FAVOR	breu anàlisi durgència la defensa de ha estat formidable una defensa estrictament política per oferir al món el relat de la dignitat del poble català i el seu dret a lautodeterminació la sentència està dictada i una defensa tècnica hagués estat humiliant gràcies
AGAINST	exactament això la gent es deixa portar per lemoció
FAVOR	vist a perpinyà en cartells del festival de fotoperiodisme visa pour limage la direcció del festival no ha volgut exposar fotos sobre el procés independentista a catalunya per això el moviment catalanista de cat nord ha organitzat diferents exposicions per tractar el tema
FAVOR	 dec ser jo però no veig el fairy per enlloc #millomentider #judicidelavergonya
FAVOR	 la democràcia també està sota judici a espanya diu el washington post
NEUTRAL	 mosso el mosso desquadra que li va dir idiota a un manifestant sha acollit al dret a no declarar
FAVOR	la única manera de posar a catalunya dins del sxxi és tenin totes les competències i la financiació pq sigui una realitat aquesta realitat no serà possible si no tenim la independència encara no la tenim no vol dir que no poguem començar a treballar
FAVOR	#llibeats ángel gozalo cap de la guàrdia civil a catalunya l#oct va condecorar els exveterans de la división azul de lexèrcit nazi ho explica
FAVOR	avui mha semblat un bon dia en el judici de la vergonya però jo espero cada dia la declaració den jordi cuixart crec que hi haurà un abans i un després diguem optimista #thisistherealspain #joacuso #autodeterminaciónoésdelicte #makeamove #llibertatpresospolitics
FAVOR	gonzález pons pp demana detenir puigdemont si entra al parlament europeu via psicopata indecent
FAVOR	el procés de lo és una farsa judicial que no saguanta per enlloc un judici a la democràcia la sobirania i la legitimitat del poble de catalunya  aquí podeu veure lentrevista sencera al 
AGAINST	el día violeta joana bonet
FAVOR	️ #judicialesurnes  conseller hi havia un mandat democràtic clar per part de la ciutadania de catalunya i nosaltres vam complir amb aquell mandat democràtic vam buscar lequilibri entre limperi de la llei i el principi democràtic #freetothom
NEUTRAL	el parapet de les executades i executats de francesc abad sinaugura el de febrer a la plaça del #fòrum amb una festa ciutadana en què hi participen andrea motis sabor de gràcia i brodas bros info 
FAVOR	encara no us heu registrat al aquest registre no és una perfomance més és una eina molt necessària #autodeterminaciónoésdelicte #judicifarsa per a qui tingui dubtes que faci una ullada a les explicacions daquest article
FAVOR	nou article lluites presos dignitat respecteversus toxicitat primària i destructiva no ens deixem arrossegar pel pensament tòxic respecte perspectiva i compromís
FAVOR	 una candidatura independentista revoluciona les eleccions a la cambra de comerç
FAVOR	segons pérez de los cobos les muralles de votants estaven organitzades i dirigides jeràrquicament alguns amb la cara tapada i agredint a la pn i la gc tal com es veu vídeo #mentiders #judicifarsa
FAVOR	 a kontra korrent canteu ben alt #lanostrasentència independència amb música també #organitzemrepública
AGAINST	 vídeo crits dindependència i xiulada massiva a ballesteros durant la diada de santa tecla
NEUTRAL	 impoant d aquí anys qui tindrà una estatua al mig de plaça catalunya fes  i deixa comentari
AGAINST	soc gay ruca i treballo al raval on gentussa com tu ha fet que els meus alumnes odiïn una llengua tan maca com la de la meva mara si ets la de la foto et felicito per ser tant bonica després dentran al teu blog  i veient el nivell de la teva a piulada sento no està inter
AGAINST	en estas elecciones qué va a prometer convergència la vuelta de puigdemont una dui simbòlica un farol una independència en meses un referèndum un full de ruta o un pacte fiscal
FAVOR	a lescenari ple de gom a gom presenta el seu llibre una proposta per barcelona i reivindica un diàleg en #llibertat i sense repressions #lasetmana
AGAINST	a la república no necessitarem de jutges i fiscals perquè la culpabilitat o innocència dels acusats serà determinada per futbolistes mossens i folklòrics prorègim
AGAINST	si us fixeula frase en questiócom totes les que son pronunciades pels polítics en campanyano te cap sentit ni significat lindependentisme es la qualitat dels independentistes i personificar en ell es retòric es com dir la paret es dolenta per que no la puc travessar
NEUTRAL	tothom va amb mitjons i sandàlies #detectiuconanxl
FAVOR	polítics ferms i coherents com carles riera és el que ens cal els sé lenduen arrastrant vergonya de la nostra policia i em sap molt greu dirho del nostre govern que ens crida a estar al carrer i ell mateix ens hi fa fora
AGAINST	 catalans darreu per la república per rosario palomino
AGAINST	quin problema els neo falangistes no volen saber rés dels neo ni se sap
AGAINST	també està publicada al boe la presó provisional i la destitució de puigdemont i vosaltres ni cas
AGAINST	quina mandra us creieu que tots som idiotes com volsatres o que vosaltres no feu res al parlament de catalunya tenin majoria imaginat al parlament espayol on porteu mes de un any sense fer res per lindependencia mes bé fent el contrari volsatres sou ja un traïdors
AGAINST	es que la tinta mancha mejor así la gilipuá
FAVOR	comença el judici i amb lajut duns quants voluntaris intentem cordinar la massa independentista per contrarestar les fake news de lestat i ajudar les mobilitzacions apuntat via telegram
NEUTRAL	 per cert a lalt camp som més ecològics no necessitem malgastar fairy
AGAINST	 el punt avui ha publicat aquesta rectificació fa mitja hora hores després el tuit inicial segueix allà
AGAINST	ens hem marcat lobjectiu de desterrar el patriarcat del #parlament i que la perspectiva de gènere sigui transversal a totes les funcions i actuacions de la cambra un pla digualtat per al parlament de catalunya article a
AGAINST	 portal del mar al fou enderrocat al dins el pla deliminació de la muralla del mar
FAVOR	 altamirano aquí no hi haurà cap independència si els republicans no treballem plegats via
AGAINST	típica gent de pau
AGAINST	tots parlant del millo avui com si fóssiu nens petits no ho veieu que fan amb vosaltres el que volen no ho veieu que mentres parleu dells ningú parla de la independència
AGAINST	per sort el dels castellans que ahir van emigrar a catalunya shan adaptat bé a la societat dacollida són tant pacífics com nosaltres i han esdevingut tant catalans com el que més catalunya del que shauria de netejar és de l de colons inadaptats repressors i violents
AGAINST	si jefe perón por la tilde 
AGAINST	les respostes a aquest tuit són per plorar
FAVOR	jo vull a la presó per #perjuri #judicifarsa feu retuit i compartiu
FAVOR	hem de fer fort el hem dapoderar en espanya no té remei i ens vol esclafar i destruïr sense cap mirament i aquí que fem no mentra al cap que si som més de milions d indepes no estiguem tots al perquè pels €
FAVOR	exclusiva  sha filtrat aquesta imàtge del vestit que lluirà farlivera a la #fashionweek #fakejustice #fakesuprem #judicialademocràcia #oct #judicifarsa #judicitvcatràdio
AGAINST	gràcies puigcerdà per defensar el dret dels tabarnesos a lautodeterminació albert piñeira brosel sisplau autodeterminis dels seus pares al catalanitzador de cognoms es el alcalde de
FAVOR	aquí a girona ets persona non grata però a diferència del president puigdemont ningú et trobarà a faltar miserable mentider i mala persona
FAVOR	pel matí mentint amb un cinisme que feia fàstig ara escoltar pérez de los cobos encara fa més fàstig us veurem tornant a declarar però com acusats davant dels tribunals internacionals sou uns miserables #judicifarsa #judicialademocràcia
FAVOR	 algú es pensava q cat es rendiria mai #nosurrendercat
FAVOR	la política fa extranya companys d llit oi el al costat d ppcs perquè sigui detingut el president puigdemont si va a la conferència al parlament europeu la vena franquista a tope
FAVOR	#femxarxa #llibertatpresospolítics #república #llibertatexiliats #capalarepública #nocallarem #noatot #joacuso #niunpasenrere #olot #judicialademocràcia #judicifarsa #seguim va per la ñ
FAVOR	que un país que ha votat la seva independència no ha de demanar absolucions ni sentències més justes a la justícia dun altre estat que actua com a estat ocupant i enemic sinó recuperar els ostatges com ho fa un estat quan un altre fa presoners
NEUTRAL	romeva copia lestratègia de junqueras sóc un pres polític
FAVOR	seminari visions de catalunya i despanya ii presidents de catalunya pensament polític i obra de govern organitzat amb cordinat per i matrícula oberta
FAVOR	de quins partits independentustes parla a catalunya només hi ha hagut gent independentista i partits polítics que ho van fer veure per guanyar eleccions
FAVOR	 atenció comunicat️  tot el nostre suport i escalf a les companyes encausades  si ens toquen a una ens toquen a totes️ #decidimser #cdrenxarxa
AGAINST	nos vemos en plaça sant jaume #totsasantjaume #omplimstjaume por la #republicacatalana porque queremos la #llibertatpresospoliticsiexiliats
AGAINST	 la política de la querella per sistema en democràcia als parlaments shi ve a dialogar i a debatre no a amenaçar
AGAINST	ei ja està els que estàvem en les escoles no erem ciutadans i per això ens podien pegar
AGAINST	per fi llegeixo algú que malgrat tenir unes idees completament diferents parlar amb veracitat
FAVOR	ladvocat john philpot convidat per international trial watch alerta del perill dintentar arreglar problemes polítics amb acusacions penals
AGAINST	bon dia de març una data on sempre els amants de la meteo recordem la gran nevada que vam tenir a barcelona i quasi a tota catalunya #efemeride així estaven carrers del #guinardo #meteo #eltemps
FAVOR	i tant marc la política i la república o la fem nosaltres al carrer o ja tenim clar que no la farà ningú per nosaltresel poble ens organitzarem sens dubte #femxarxa #organitzemrepública
FAVOR	caldria recordar als testimonis que estan sota jurament #judicifarsa #joacuso
FAVOR	aclaridora càmera lenta de lestranya agressió independentista dahir agressors i agredit caminen junts just abans lagredit de vermell agredeix persones què va passar exactament no sé si ho arribarem a saber
AGAINST	que diu aquet noi molt simpatic esta nervios en jair
NEUTRAL	ha manifestat que des del consistori estan expectants perquè sha de traduir en negociacions per perfilar detalls
NEUTRAL	acte de comemoració dels anys del #cndc consell nacional de les #dones de #catalunya amb la presència de i nelly palacios de la comissió felicitats #sororitat #dretsdelesdones
AGAINST	diu ada colau que el comerç de proximitat és molt important però la realitat és que dóna suport al top manta #bcn #barcelona #vallsbcn #esmorzarscomerç
AGAINST	amb lemapie foto dona amb adn inferior puja al bus dels de raça pura i seu amb total impunitat es auquesta donamb dni xxx i viu aquixxxx podria ser tambe
AGAINST	el ja triga a anarse a la merda
AGAINST	 rivera dimissio imediata  si hi estas d´acord i si no es que ets de ciudadanus 
FAVOR	arribada a la meta els corredors de la #vueltaciclista al seu pas per #lleida amb pancartes estelades i llaços grocs al crit de #llibertatpresospolítics
FAVOR	 puigdemont acusa tajani daplicar una llei mordassa al parlament europeu
FAVOR	 en el futur els presos polítics seran exemple de la defensa de la llibertat en tot el món
FAVOR	 pot ser hem de començar a plantejarnos votar a 
AGAINST	i busquets i iniesta i jordi alba
NEUTRAL	ni fu ni fa podemos quina por de partit polític 
AGAINST	et saps algun altre número que no sigui el o tens algun fetitxisme amb ell o feixisme #larepublicanoexisteidiota escolta a #lasilenciosacat
NEUTRAL	els mercats municipals som el tercer servei més ben valorat per la ciutadania i tu ja véns a comprar al mercat
NEUTRAL	llegeixo a el país que alguns jutges del suprem proposen crear un nou tipus penal de forma exprés ara que veuen que la rebelió no saguanta per enlloc és tan evident que el judici només és una venjança contra els artífex de lo que fa vergonya i tot
AGAINST	lescola catalana produeix parlants competents en català i en castellà i cada vegada més en anglès no hi ha parlants perfectes les varietats dialectals els accents i els préstecs entre llengües són la normalitat lingüística a favor del plurilingüisme
AGAINST	parla a l #assembleaccoo la idea sempre ha estat avançar en la conquesta de drets i ara veiem q ens hem dajuntar per no retrocedir hem de mirar la realitat de cara i estar a lalçada #ambtutenimlaforça #ofensivaccoo
AGAINST	els que porten mesos autoproclamantse models de virtut humanitat i empatia bramant contra montserrat del toro o enfotentsen pel seu testimoni sobre els moments dangoixa que va viure el s
FAVOR	saps el projecte pressupuestari q podrem fer cada any amb milions més crec q el tema números no és del teu domini #repúblicacatalana
AGAINST	ja tenim un altre oprimidet #eixamplantlabaseindependentista
FAVOR	️ no hi ha major tirania que aquella que es perpetra sota lescut de la llei en nom de la justícia charleslouis de secondat avui #s es compleix un any de la mobilització per la que sacusa de sedició a jordi sánchez i jordi cuixart #catalunya
AGAINST	avui ha comentat lactualitat política des de la seu de barcelona tho expliquem #actualidadcs
FAVOR	som duna mena de manera que si som tres fundem quatre partits polítics els comentaris al joan em semblen poc asserenats estem tots al mateix costat i un referèndum amb un sí i un no dóna veu al país sencer que ja sen va fer un en cal un altre acceptat pel conjunt del món
FAVOR	o fem una vaga general indefinida o votem de forma massiva el partit o grup de partits independentistes que molesti a les votacions del congreso no votar és regalar el vot als partits majoritaris
FAVOR	voldrien per aixó ens desprogramen per tv i envien la brimo peró som toçuts i anirem fins el final #nosurrendercat
FAVOR	no discuteixo lautoritat del tc però està compost per membres nomenats pels partits polítics que segueixen consignes daquests partits via
AGAINST	si tot és una gran mentida denuncieu als testimonis estan obligats a no mentir o potser és que saps que diuen la veritat i per això només els difames al teu pamflet
FAVOR	en directe forn assegura que no es va fer cap reunió específica pels requeriments del tc crèiem que hi havia una base legal per organitzar un referèndum que no és cap delicte afirma
NEUTRAL	vall dhebron lidera la primera guia internacional de vacunació del papil·loma en població de risc
NEUTRAL	espejosavedra va a madrid amb arrimadas i carrizosa segueix al parlament
AGAINST	el lliri millor al cul que a la ma posar laltra galta serà molt catòlic però és dimbècils
FAVOR	la caixa dirigida per lopus dei prefereix vendre al feixisme del grup z a perdent dinersabans que a la catalana ja sabeu que heu de fer
AGAINST	el convida cops a passar amb la resta desallotjar lautopista què haguéssis fet tu si set possen xulo ets antifisturbi per cert la policia política sou els que heu embrutat el nom del cos vosaltres sols no cal que culpis a un company dels actes dalguns
AGAINST	 indults condemnats la sentència ja està escrita
FAVOR	acaba la vista per avui però no les violacions de drets fonamentals recordem que després de ser acusats amb males maneres per fiscalia i advocats de lestat en el judici polític del suprem els presos tornen a dormir entre reixes a soto del real #thisistherealspain
FAVOR	insolit leurocambra veta puigdemont i torra però permet a vox anar a parlar sobre el golpe de estado dels catalans això és inaceptable
FAVOR	 un cop més hem sortit al carrer per demostrar que no ens rendirem #nosurrendercat
AGAINST	al seu pregó sabina ha criticat quimtorra puigdemont i artadi aquesta opinadora orgànica evidentment fa veure que ha criticat tots els catalans i així tot
NEUTRAL	diversas denuncias unidades de investigación de cervera lleida granollers y sant boi de llobregat barcelona #coches #catalunya #estafa
NEUTRAL	el final de la primera columna es insuperable
FAVOR	 qui confon democràcia amb llei obre les portes del totalitarisme hannah arendt
