LABEL	preprocessing_C
FAVOR	JoanTarda Referèndum sobre Estatut i Independència Però què és això A Escòcia va ser així Oi que no Ja prou Tardà de veritat prou Per molt que repeteixis cada dia el mateix la gent no tho compra i espero que no tho compri mai
AGAINST	RT 324cat La intel·ligència artificial permet identificar nous gens relacionats amb el càncer  
NONE	En Yokomizo vs lAmuro daprenents den Kogoro DetectiuConan3XL
NONE	Atacar un autobús que va amb una foto de Hitler banalitzant el nazisme no és un atac a la llibertat dexpressió No existeix el dret a banalitzar el nazisme Si aturar un autobús amb una foto de Hitler és aturar aquestes idees doncs ben fet que fa la Generalitat expulsantlo 
AGAINST	Només recordar pq de vegades la memòria és selectiva que el SrAznar és còmplice de lassassinat de quasi mig milió de persones Espero i desitjo que com tots els assassins algun dia et jutjin i et podreixis a la presó
AGAINST	⚠️ 🇩🇪 BOOM Alemania demana a lUE que suspengui la regla de lunanimitat per les decisions de política exterior Això vol dir que Espanya no podria bloquejarnos per entrarhi 
AGAINST	MaleDiabunter sergialju annasjd La revolució la fareu vosaltres el sindicat vertical de la dreta català Puaf 
NONE	Les dones hem de superar els esquemes de poder actuals i configurarne uns altres més dacord amb el nostre marc mental  agenersurrell ens convida a construir un lideratge femení basat en lautenticitat i no en la sobreadaptació per construir una societat millor i més justa 
AGAINST	Tho estant repetint cada dia Si votes ERC el 28A NO et sorprenguis lendemà quan tornin a votar amb el PSOE de franc i a fer de nous DuraniLleida a Madrid NO volen el vot indepe que confien mantenir de franc cerquen exvotants de PodemosPSOE Lícit pero NO amb el meu vot 
AGAINST	Si si Només faltaría que reconeixesin la culpabilitat aixi de primeres  Pero encara falten el testigs de la acusació Que tenen tanta credibilitat com els acusats 
NONE	Rajoy podria haver guanyat les eleccions generals del 2011 amb factures falses i pagaments ocults segons publica El Confidencial  
AGAINST	astridbierge BernatDedeu JoanTarda Es un estafador botifler i malparit
AGAINST	RT erpllo El Parlament de Catalunya sempre treballant pel que realment importa 
FAVOR	JudiciProcés ⚖️  Aquest dimarts arrenca la segona setmana declaracions amb la compareixença de Jordi Turull a les 10h ➡ Consulta aquí com aniran les sessions 👇 
FAVOR	Com ja vam fer amb al vaga de lany passat els diputats i diputades donarem el nostre sou del dia de la vaga a entitats feministes  explica JnnDiaz al Parlament 
FAVOR	budocity TwitterEspana Veus Ho sabía Porto messos que no em deixen pujar videos del 1oct Només puc pujar els ja pujats molts messos abans i si els trobo
AGAINST	📌ATENCIÓ 📢📢📢 MARXEM CAP A LEFTA 📌 TOTHOM A SIGNAR si us plau RT A TOPE 📱📲 💪👀✌ Govern de Catalunya  Demanem al govern de Catalunya que es posicioni per pertànyer a la EFTA  Firma la petición  vía changees
AGAINST	escabellat Però és evident el que he dit no La declaració dindependència com a cosa articulada i jurídica és a la llei de transitorietat del sisisetdesetembre
NONE	mimiftaitana LAIA TIA CONTESTATE EL MOVIL QUE ES UNA EMERGENCIA EL STORIE DE MIMI
FAVOR	jmangues No entenc com al Parlament Europeu donen veu a aquests feixistes agressius i violents i silencien la veu de persones pacifiques com el nostre president legítim a lexili
NONE	Forn nega en el judici que la declaració dindependència del 27O tingués valor  JudiciTV3CatRàdio 
FAVOR	El sistema judicial vol Carles Puigdemont a Espanya no com a testimoni sinó com a presoner Simonbekaert advocat de Valtònyc FAQStherealTV3 ▶️  
FAVOR	Maragall un paio que va passar de l ajuntament franquista de Porcioles a fidel servidor del PSOE de Mister X  als tripartits d infausta memoria i per ultim indepe  Es algu de solids principis i projecte clar i si a mes te l experiencia de 76 anys  es un candidat excel·lent
AGAINST	ERCbcn ernestmaragall junqueras quimforn En una cosa té raó no es poden barrejar les coses Per això lajuntament actual fa polítiques socials com mai vistes i a més és lúnic partit q ha portat a judici les càrregues policials de l1O i fa actes actes en defensa de labús de la gent empresonada
NONE	🔴 Carles Puigdemont Es tracta dun judici polític Des de fa més dun any la Unió Europea ha tingut presoners polítics  
NONE	La Comissió de Defensa dels Drets del Col·legi de lAdvocacia de Barcelona critica les declaracions de Felip VI en què defensava que no hi ha democràcia fora de la legalitat 
FAVOR	Ara entenc laltura q va haver d saltar pobre No sé com no es va trencar el turmell JoAcuso JudiciFarsa 
NONE	RT VogelfreiCAT Ens jutgen a tots perquè no ens poden afusellar
FAVOR	Quantissima dignitat en cada nota massa No mereix el que ens estan fent els nostres Cuanta vergonya indignitat i egoisme hi ha als despatxos però no ens fareu còmplices de la vostre traïció no passaran els feixistes però vosaltres vosaltres tampoc MORI EL MAL GOVERN 
AGAINST	RT FiodoirMacTire Plaça Sant Jaume ara mateix Catalunya combat al feixisme 
AGAINST	santanagonalez del ppbcn Soy de las que se patea la calle  Recorda al pscsantandreu i al PDeCATStAndreu els anys que han estat al govern i aquells projectes que ara retreuen a StAndreuEnComu però que ells no van fer Siempre es la misma cantinela  plesantandreu
FAVOR	Turull He sentit alguna acusació per part de la Fiscalia que considero una falta de respecte als ciutadans de Catalunya judici1o 
AGAINST	Millo menteix tant que no sap que a Badalona el 20 de setembre del 2017 no hi havia alcalde Hi havia alcaldessa No es bo ni per a mentir el cabró aquest Fairy JoAcuso
FAVOR	Volen detenir a Willy Toledo per no presentarse a declarar sobre un suposat delicte de blasfèmia I el seu règim cada dia sassembla més a la inquisició o a una pel·lícula dhumor no ho tenim clar Llibertatdexpressió HolaRègim78 
FAVOR	RT Ninona62 FAQSstrubelTV3 Espanya amb Catalunya ha estat disposat a fer de tot de tot menys política jorditurull
NONE	El tribunal de Tòquio deixa en llibertat sota fiança lexpresident de NissanRenault Carlos Ghosn acusat de frau fiscal i abús de confiança  
FAVOR	LEstaca a Sant Jaume Gallina de piel OmplimStJaume OmplimSantJaume LlibertatPresesPolítiques LlibertatPresosPolítics 
AGAINST	Sento nervis a la panxa la fantasia de 8 mesos avui serà real Les jfeministalgbti senceten avui espero que tothom les gaudeixi I que serveixin per nodrir de contingut feminista i LGBTI el discurs dalliberament nacional actual Gràcies MonicaPujadas i nurialca 💜 
FAVOR	Des de quan la facultat dinterrogar a un testimoni de la contrapart està condicionada a les preguntes que li hagi formulat abans el proposant de la prova El feixisme togat espanyol innovant una vegada més el Dret JudiciFarsa 
FAVOR	Virginia Alguacil Mata  casada 1 Fill  61 anys  professió  Parada el 1O vaig estar Desde las 6 del matí a las portes del Casal davis defensant las Urnes  Plovia i molt  Hi havia molte gent com jo  I a las 11 del Matí vaig Votar  1 sol cop  JudiciFarsa
NONE	TotesMouTV3 quina barra dir q ara hi ha crispació i ara els catalans patim i negar q fons ara els catalans no patíem cony q des q vaig néixer han pretès q demanes Perdó per ser catalana catalanista i separatista
AGAINST	♀️ ManuelValls Les dones sempre han estat part important dels meus equips polítics i de govern Quan vaig presentar la meva candidatura ja vaig dir que seria llista paritària VallsBCN2019 vallsperlaigualtat Barcelona DiadelaDona DiadelaMujer 
AGAINST	Els sous baixos la temporalitat la precarietat es pateixen a Madrid ia Barcelona El que necessitem és unitat per RedistribuirLaRiqueza al servei de la majoria QueNoEnsEnfrontin FelizDomingo 
FAVOR	Els murs humans al llarg de la història shan convertit en una icona universal de la defensa dels drets i les llibertats Som un mur humà sí Som el puto mur humà que molts que avui volen tombar trobaran a faltar el dia que el feixisme els entri a casa
AGAINST	RT LestonnacBDN Tarda de teatre a 1r de Primària amb Els Tres Porquets 
AGAINST	Aquí podeu veure en Jaume Asens i lIglesias comparant Albert Rivera amb Eichmann per cert que algú els expliqui com es pronuncia aquest cognom Tot en ordre 
AGAINST	PacoSancho6 JotaMSilvaA jorditurull Quan Turull demanava presó per a uns nanos per lassalt al Parlament Qui era el represor
AGAINST	Naturgy NaturgyClientEs i govern a què espereu per signar els convenis que marca la llei 242015 per tal de fer front a la CondonaciónDeDeuda 
AGAINST	Preciosa massatgista eròtica catalana farà les delícies amb les seves mans i el seu cos Blanca Puig catalana i calenta CHICASDELPISITO  
AGAINST	RaholaOficial Saps Pilar Crec que és la diada que vaig amb més ganes i més emocionat Pel record dels nostres presoses i exiliatsdes i per totses aquellses que van patir la violència de l 1O JoAnirealaDiagonal Diada2018
AGAINST	MartaSibina KRLS QuimTorraiPla Menteixes aixó de Vox es fals i NO HO DIC PAS JO 
AGAINST	El pregonero de las fiestas de Cerdanyola llama prostituta a Inés Arrimadas  vía DCerdanyola
FAVOR	RT ccristin Tossudament alçats Camí cap a la República🎗🎗 OmplimSantJaume29s FemXarxa 29s LlibresLliures
NONE	Una desena de joves del col·lectiu Universitats per la República mostra cartells que reclamen la llibertat dels presos independentistes durant un discurs del president del Tribunal Constitucional  
AGAINST	Rocco969 KenHaprenguin moragasai Això era pel REGLAMENT aprovat el juliol del 2017 Després el 6 i 7 de setembre no van aplicar lesmentat reglament Per favor no retallis un titular si no coneixes la notícia sencera
AGAINST	martikarreras tv3cat Segurament hi havia gent vinguda fins i tot de França 😂😂😂
AGAINST	El nostre més sentit condol a lalcaldessa neuslloveras per la mort del seu marit Tot el nostre suport i escalf en aquests moments difícils
NONE	Hem descoltar i compartir el que ens arriba des de HeuskalHerria Ens queixem que nos ens escolten a ells tampoc LlibertatPresosPolítics 
FAVOR	Realment ens hem plantejat si volem de veritart la Independència  Potser és més bonic anar a un espai el que tots pensem igual i cridar independència i que no vingui ningú a fernos fóra Hem destar disposats a fer tots el sacrificis necessaris per assolir el nostre objectiu 
FAVOR	 ernestmaragall a les portes del Suprem El Parlament Europeu ha destar molt pendent del que passi avui perquè sap que en la persona de Raül Romeva shi juga molt judici1o 
AGAINST	CUPvERCgència distreu els idiotes dels seus votants amb la pastanaga reial perquè no vegin lestafa del procés Per contra cada vegada que CUPvERCgència ataca el rei els espanyols es fan més monàrquics Processisme i monarquia es necessiten mútuament 
FAVOR	JoanQueralt O comencem a tenir clar que la única solució és votar massivament la cupnacional o no en sortirem
NONE	✅ Un espectacle brutal Dos PERSONATGES en majúscules oferint tot el que duen dins ✅ Brillant guió i millor representació Primeres reaccions postfunció de DansaVenjança després del seu pas per TeatreAuditori Divendres ja comencem funcions 
NONE	RT JuditC Només pels somriures que la tiparraca de la Toro aquesta ha provocat als presos ha valgut la pena
FAVOR	Amb lexhumació de Franco es trenca un tabú imposat a la transició la intocabilitat del franquisme Convindria no quedarse aquí i trencarne molts daltres com lexclusió del dret a pronunciarse sobre la república o lautodeterminació
FAVOR	Conclusions dels 6 observadors internacionals que van assistir a les tres primeres sessions del judici del procés JudiciTV3CatRadio 
FAVOR	Iniciem tertúlia política a LaCiutat amb monicagunther debatint sobre el futur del ZooBarcelona amb bcnencomu Pdemocratacat CiutadansBCN i PPBarcelona 
AGAINST	JLluís Espinós Hem conclòs que no hi pot haver uns grups de formació dual i uns de general sinó que cal una sola estructura que permeti totes 2 formacions Per ex treballar més per projectes amb més hores i per treball més competencial PerQueApostem
NONE	Ran i en Kogoro son els millors DetectiuConan3XL
FAVOR	👉🏻 Avui sha aprovat al Plehg un prec que hem presentat demanant que el govern impulsi campanyes de foment de lesport femení de base i en contra les desigualtats de gènere a lesport Proposta que vam extreure de la campanya a lEsport hi som totes Gràcies ricardfarin 
FAVOR	RT jordigalves Realment els independentistes van ser violents Policies contra levidència 
NONE	🏳️‍🌈⚽️🏐🎾 Avui com no podria ser daltra manera ens sumem al DiaInternacionalContraLaLGTBfobiaEnElDeporte Aquest 19 de febrer i cada dia diem NO a la LGTBIfobia al futbol i al món de lesport en general 
FAVOR	El que cal es fer pinya entre els indepes  no fer volar coloms sobre que Colau Coscu i Rabell es facin indepes  cosa que no pasara mai  per justificar fer un tripartit autonomic
FAVOR	No seriosament quan crearà algú unes brigades mata feixistes
NONE	José Antonio Nieto exsecretari dEstat de Seguretat Vam pensar que hi havia una organització perquè es fessin crides a concentrarse on hi havia els escorcolls de la Guàrdia Civil  JudiciTV3CatRàdio 
FAVOR	No ni jo ni el meu pare mstrubell hem escrit el famós missatge a Jordi Sánchez NO rotundament NO JudiciTV3CatRàdio 
AGAINST	perearagones EsquerraERC raulromeva Quina mania de parlar sempre de dignitat Un xic més de sentit comú i pragmatisme i ens hauríem estalviat tot aquest patiment
FAVOR	RT MetdOlot Veig tothom molt amoïnat amb un nou 155 Sabeu com no te l poden aplicar Sent INDEPENDENTS Algú se n recorda d aquesta p
FAVOR	RT LauraCarreras vpartal Quanta més repressió més indepes o més determinats Ni ho entenen ni ho entendran mai pq es comporten com a col
AGAINST	MonDiari Nmartinblanco CiutadansCs tv3cat sempresaludava joanantoni70 😂😂 i jo vull que desapareguin lescòria de vox
AGAINST	Millo acusa els CDR de violents Els criminalitza i posa el relat per a que sens persegueixi penalment
NONE	El general en cap de la Guàrdia Civil a Catalunya durant l1 doctubre Ángel Gozalo diu que quan es parla de defensarem les urnes sota el meu punt de vista defensar és un llenguatge prebèl·lic JudiciTV3CatRàdio 
AGAINST	Aquest article és un espectacle Això no és fer un gir de 180 això és fer la Via Làctia de punta a punta de la primera a lúltima frase 
FAVOR	xul81 Rincewindcat QuimTorraiPla Si tot sha de fer per la independència i ja no podem ni celebrar coses que van marcar social i culturalment la ciutat perquè la gent de la capital no les entén o només li importa anar a cremar coses pues apaga i vamonos saps
NONE	TotEsMouTV3 No em cansaré de repetirho és MALVAT MONSTRUÓS equiparar els errors polítics evidents duns els indepes i els errors en forma de violència presó i repressió dels altres Monstruós No compreu aquest marc sisplau
AGAINST	marcbodi No parla de carreges El responsable de tot aixo va ser el govern
AGAINST	pilarcarracelas sbguarch siemprepositifo No veig que tergiverssi res Veig que no ets capaç dentendre els que no estem dacord amb com ho veus
NONE	10è Aniversari ja del Programa INPA a HospitalSantPau Com passa el temps com han millorat les xifres i quan falta encara per millorar més Felicitats a yacincuenta i tot lEquip de la UMI 
NONE	PaulaPonsMontes hola Paula voldria posarme en contacte amb tu Podries indicarme alguna direcció demail o bé seguirme un segon perquè pugui ferho per DM Moltes gràcies
FAVOR	Arribem al punt que EsquerraERC i la CridaNacional ens volen introduir al nostre marc mental que el diàleg i un referèndum pactat són la solució Això és renunciar a els últims 6 anys de manifestacions al 1dOctubre i totes les hòsties rebudes És tornar al 2012 i fer de PSC
AGAINST	manelcolmenero mcalpena Clar amb els vitores de la gent que laclamava
AGAINST	A bona part de Catalunya no hi plovia des de l1 de febrer 32 dies sense pluja A Alcanar es van recollir 02 mm el 29 de gener i avui és el 37è dia sense pluja apreciable Montsià meteocat
AGAINST	RibesAlicia maria53940596 gabrielrufian MartaSibina juanmalpr Ahir era un dia per acabar amb aquesta dèria Però heu preferit provincialisme carca
AGAINST	EnricMillo omnium Dixi de publicar twits Millo Qualsevol que vegi el vídeo sencer sadonarà de la classe de persona que és vostèPer cert li recordo que el seu partit té quatre diputats a Catalunya un alcalde dels 947 als municipis i a més a més está en vies de desaparèixer
AGAINST	Ets molt millor que en Maquiavelo noi el putu amo de la estrategia I com es que no els heu alliberat aquest mesos passats 
AGAINST	Com es fa perquè no em surti la Talegón al timeline
FAVOR	RT rosariopalomi71 El MHP Carles Puigdemont farà un acte el dia 13 de febrer a la Universitat de Groningen als Països Baixos 
AGAINST	Santi Vila la DUI va ser un fake simbòlic sense trascendencia Processistes  Traidor Rata Botifler Venut Turull la DUI va ser un fake simbòlic sense trascendencia Processistes Exemple de dignitat Heroi Polític de la gent 🎗️🎗️🎗️
AGAINST	RT joanc1999 rgb1octubre jscciutatvella Allà hi serem per mantenir el diàleg encara que sigui molt difícil 
NONE	Airbus deixarà de fabricar lA380 el 2021 després que el seu principal client laerolínia Emirates ha cancel·lat part de les comandes daquest model  
AGAINST	ordebau CristianSeguraA Casfetera Cal recordar que JaumeAlonsoCuev tot i parlar i actuar com un subnormal no ho és tant Li deuen més de 100K€ que li pagaran en forma de càrrec Com tot el que forma part del procés una farsa
FAVOR	RT joseantich En directe Expectació per la conferència dels presidents Puigdemont i Torra a Brussel·les via elnacionalcat 
FAVOR	Autodeterminació Drets socials civils i polítics Llibertat preses polítiques Retorn exiliades Dissabte 17h Manifestació imprescindible a Barcelona 
AGAINST	Abdul Aziz Muhamat refugiat sudanès confinat en un centre de reclusió guanya el prestigiós premi internacional de dretshumans MartinEnnals 
NONE	Els fills ideològics del coronel Galindo Si no fas allò que et diuen tenterren en calç viva o et torturen a Intxaurrondo 
AGAINST	elsaartadi Quan tens com tú el cove plé potser sI Pero aleshores no et dediquis a la política dedicat a ser empresaria explotadorao algo així
NONE	🔴 El conseller dExteriors Alfred Bosch compareix després de la declaració de Raül Romeva Hem vist un home de pau  JudiciTV3CatRàdio 
AGAINST	Això és una notícia de juny de 2012 Aquesta era la gran UNITAT que hi havia entre la inmensa majoría dels catalans lluitant junts contra les retallades contra el PP i Artur Mas Ja nhi ha prou QueNoEnsEnfrontin  Unimnos ⁦RecortesCero⁩
FAVOR	Sha darribar a la independència com sigui Espero que el camí que han triat govern presos io exiliats hi condueixi tot i que no sigui el que crec amb lexperiència el més convenient El primer principi de tot revolucionari és adaptarse a la realitat per a canviarla
AGAINST	RT VilaWeb Boye ha respost amb un gràcies degà ben irònic 
FAVOR	Brutal Igualada Milers de persones omplen la plaça de lajuntament de dignitat i coratge en defensa de la democràcia i per la llibertatpresospolítics llibertatpresespolítiques 
FAVOR	Des dEspanya ens amenacen amb un nou 155 Els sindicats dels règim del 78 van estar callats durant aquells mesos recordeu Ens cal un sindicalisme país Només conquerint tots els espais de poder serem forts i podrem fer front a la repressió 🗳️ BombersICSC 
NONE	Sánchez no descarta pactes postelectorals després del 28A a excepció de Vox 
FAVOR	Benoît Hamon excandidat dels socialistes francesos veu el judici del procés com una regressió JudiciTV3CatRàdio  
FAVOR	🔴 El company Willy Toledo en llibertat provisional després de no declarar davant el jutge Solidaritat força lluita✊🏻 LaNostraSentència independència MeCagoEnDios 
NONE	Alejandro Fernández ha criticat aquest dissabte que la líder de Ciudadanos a Catalunya Inés Arrimadas aneu a Waterloo Bèlgica perquè cau en una retòrica populista que és caure en el joc de lexpresident de la Generalitat Carles Puigdemont 
AGAINST	palaudavid Si això és una entrevista periodística el periodisme està fotut doncs
FAVOR	En SusodeToro1 sobre el deure dels polítics de conduir les emocions racionalitzar les situacions i trobarhi sortida Clau Descriu a més el posicionament actuals de les dues principals forces independentistes ✍🏼 
NONE	A laviniagroup estem buscant un periodista amb experiència en làmbit de la comunicació política per a un nou projecte periodístic Interessats o interessades CV a miquelpellicerlaviniatc Gràcies 
FAVOR	No sé si votar a Junqueras Miquel Roca o Echenique 🤣🤣🤣 Feu el favor de fer una LLISTA UNITÀRIA I TRANSVERSAL AMB LOBJECTIU DE LA REPÚBLICA CATALANA VOTADA PEL POBLE 🌟X VISCA LA REPÚBLICA CATALANA
FAVOR	També visitaran el Parlament de Flandes on es reuniran amb el president de la cambra Jan Peumans Puigdemont i Torra fan avui la conferència conjunta a Brussel·les malgrat la censura de Tajani 
AGAINST	Franco va necessitar anys i tot un exèrcit per tancar la Generalitat jutjarne el govern i prohibir el català Ara gràcies al processisme no els cal cap exèrcit amb un jutge i un funcionari del 155 enviat des de Madrid nhi ha prou El processisme és submissió judici1O
AGAINST	RT QuicoSalles Marchena li demana al Fiscal que pregunti concretament
FAVOR	Haventhi alternatives com lEFTA no sé perquè hauríem de voler formar part daquesta UE podrida AntonioTajani ets un titella del feixisme TajaniPuppetOfFascism Firmem per demanar lingrés a lEFTA 
FAVOR	Trescents vintinou i cent vuitantavuit i trescents quarantavuit i es pretén que aguantem els violents garrotuit LlibertatPresosPolíticsCatalans LlibertatPresesPolítiquesCatalanes
NONE	Es compleixen 80 anys de la mort dAntonio Machado 
FAVOR	albertdmcat Però accepten a Vox mira quina Europa tant maca JudiciFARSA JudiciDeLaVergonya 
FAVOR	Conferència DIRECTES A LA INDEPENDÈNCIA a TÀRREGA  BIBLIOTECA Visualitzala a partir de les 18h del diumenge 03 de març de 2019 conferència realitzada a TÀRREGA el 28 de febrer de 19h a 21h ProuCensura  ResINDEPEcat DavidRaventos JovesDirecte68
FAVOR	Aquests dies he pensat molt en les discussions amb JordiGraupera i enricvd i mha sortit això un elogi de lempatia davant dels tecnòcrates els racionals i els que provoquen un 155 emocional Jordi Graupera i els robots 
AGAINST	antonijover sempresaludava ara de debò us fa gràcia el de la galleda de merda crec que jair et pressiona molt el llaç 🤣😂🤣el cervell 🧠
AGAINST	ElsBastards voxes LauraBorras Barceloneta NoemiGaleraN IsaCampo7 deLaiaCosta ariadnaoltra MarquesAgnes EstelSole laurarosel Gemmajhb Estiu del 93 i Marie Antoniette
FAVOR	AlbanoDante76 Si el 28A seguim comprant el fum desquerraERC i Pdemocratacat seguirem tenint només fum És el moment de fer un vot de càstig i canviar les coses JoJaNoComproFum 28AoJuntsoRes
FAVOR	martatrepat1 Patol1cas La crida a no votar és intencionada Els gilipolles en tot cas són els que hi cauen de quatre potes Cal ser més intellegent i pensar a qui beneficia que no votem partits indepes
AGAINST	Us en recordeu daquest magnífic article den Miquel Martín Sa Riera el paradís devastat   Doncs aquesta foto ho diu tot La natura i el paisatge daquesta cala només perviurà en la literatura Lajuntament de Begur vol convertir Sa Riera en Sa Benidorm 
AGAINST	EnricFV1 Misshima18 A mi magrada insultar no tenganyis Acostumo a dir RUC o RUCA mho he copiat del Bernat Dedeu 
AGAINST	Terrassa no es pot permetre el luxe de provar un bus no tripulat i alhora renunciar als punts de recàrrega de vehicles elèctrics en només uns dies La resposta del govern del PSC és del tot inacceptable si volem un projecte de ciutat modern i sostenible 
FAVOR	EN DIRECTE  Nieto Durant la Junta de Seguretat els vam insistir que el referèndum era il·legal i que la situació era de risc per la possibilitat de xocs violents 
AGAINST	Ups sembla que a la Crida Nacional se li ha caigut aquest tuit Seria una llàstima que romangués a Internet per a la posterioritat oi 
FAVOR	No busqueu més ja teniu on dinar el proper 11Setembre Al Passeig del Born PobleLliure i LaForjaJovent organitzem un DINAR POPULAR Paella amb opció vegetariana amb aigua o vi i postres 10€ També farem un acte polític a les 1130h NO FALTEU OrganitzemRepública 
AGAINST	RT alcantaraalb Crònica dels aiguats a Granollers  📹 Xavier Casals i Mataró ▶ 324eltemps eltempsTV3 
AGAINST	La devoció catalana a sant Valentí és mil·lenària i des de fa tres segles i mig se nhan venerat de diferents Els coneixeu  carmemunte catcrist GloriaBarrete angeldelaweb pelouxfernand dulia etnografia devoció relíquies reliquiaris santoral 
FAVOR	Guaita Na sorayasds va dir que a raíz del 20S  després va rectificar En zoidoJI no recorda el que va dir que no recordava Vés a saber I ara aquest person diu que el 8 van començar a preparar Quanta credibilitat FakeTrial 
AGAINST	albaverges icscatcentral Heu revocat el Conveni signat durant el 155 amb lINSS
FAVOR	MiquelBuch per si és del seu interès  dissabte tornen a Sant Jaume  Si us quda un bri d decència o dignitat ho podrieu aturar  OmplimSantJaume29s 
AGAINST	Davant el model de participació del govern Colau només ens queda pensar en aquesta imatge ComissionsBCN Participació Barcelona 
AGAINST	Tot i que confessaré que mai he estat tan feliç com en aquells escassos segons en què em va arribar la foto descontextualitzada i vaig creure que definitivament havíem perdut el Molt Honorable Que deixava de servir Catalunya per convertirse en caçador de pa
FAVOR	Que algú li digui al miserable aquest de lIsrael que si tan segur està de la malversació en la compra durnes que ensenyi les factures Mentrestant són innocents el què en democràcia ve a ser la presumpció dinnocència FAQSforojuecesTV3
AGAINST	XavierFina No és el meu cas no indepe que dubtava votar Comuns i que aquest factor em fa no votarlos a Generals però sí a lajuntament
FAVOR	La qüestió que ens hem de fer cadascú de nosaltres és si creiem que els tancs disparen o que no disparen La independència arribarà quan es demostri el farol de lamenaça de violència de lestat espanyol  JordiGraupera RecuperaElPoder 
FAVOR	Proposo que a can diccionarivikipèdia la definició del terme CÍNIC sacompanyi per il·lustrar de la foto daquest individu Quina vergonya de veritat aquest tipus de polítics sense escrúpols Quanta mentida i impostura i sense despentinarse Millo 
AGAINST	RT xavidomenech99 Jo no he dimitit Ha dimitit laltre Sí els dels Comuns Jo no Ho juro
FAVOR	URGENT gent de FemXarxa58 em passen aquest missatge ATENCIÓ TOTHOM Els feixistes segueixen pels carrers del voltant de la plaça Sant Jaume mentre que per altra banda ha marxat molta gent A la plaça Sant Jaume necessiten a médls gent Van a per els que hi estan acampats
AGAINST	Gràcies a tots els qui us heu interessat per la meua salut Tot ha anat be i ara comencen unes quantes setmanes de recuperació Lamente molt però que he de suspendre tots els actes públics que tenia programats els pròxims dos mesos
NONE	Associacions de jutges a Catalunya consideren ofensives les paraules del fiscal de lAudiència Nacional posant en dubte la imparcialitat dels jutjats catalans 
AGAINST	RT Marc4618 emparmoliner Qui és Rosa Parks Emparper què vosaltres casa vegada us assembleu més a una altre cosa 
FAVOR	ramirp I per què no llista unitària i així ja tenim fet el referèndum Llista unitària de tots fins hi tot la CUP
AGAINST	jsferrate DavidGR1714 Montareu camps de concentració tipus gulag per reeducar als botiflers o ens matareu directament Aixo tha posat catxondoeh nazi
NONE	Marlaska a favor de canviar la llei dacusacions populars com la de Vox  
FAVOR	Fa temps que aviso 1 L1 doctubre va ser paper mullat 2 Ens volen portar a una tupinada de referèndum manipulat on perdrem i així donar per acabat el procés 
AGAINST	RT VilaWeb La guia de la manifestació de la Diada de lOnze de Setembre Tot el que necessiteu saber 
FAVOR	davantdelSuorem Em considero un pres polític aquest judici és un judici polític Diré solament la veritat Les acusacions són falses absolució FreeTothom 
