id_str	TWEET	LABEL	CLEAN_x	CLEAN_FULL	LEMMA	LEMMA_CLEAN	part	user_id_str	user_screen_name
10423341913194906e+18	Només recordar, pq de vegades la memòria és selectiva, que el Sr.Aznar és còmplice de l'assassinat de quasi mig milió de persones. Espero i desitjo, que com tots els assassins, algun dia et jutjin i et podreixis a la presó.	AGAINST	només recordar vegades memòria selectiva sraznar còmplice assassinat milió persones espero desitjo assassins jutjin podreixis presó	només recordar pq vegades memòria és selectiva sraznar és còmplice assassinat milió persones espero desitjo assassins dia jutjin podreixis presó	nòmer recordar pq vegada memòria ser selectiu sraznar ser còmplice assassinar milió personar esperar desitjar assassí dia jutjin podrir presó	nomer recordar vegada memoria selectiu sraznar complice assassinar milio personar esperar desitjar assassi jutjin podrir preso	train	8.578559282590147e+17	elenacardona222
1036380635277996e+18	⚠️ 🇩🇪 BOOM| Alemania demana a l'UE que suspengui la  regla de l'unanimitat  per les decisions de política exterior.  Això vol dir que Espanya no podria bloquejar-nos per entrar-hi.  https://t.co/b1Chn0sZyn	AGAINST	alemania demana suspengui regla unanimitat decisions política exterior això espanya podria bloquejarnos entrarhi	️  bom alemania demana ue suspengui regla unanimitat decisions política exterior això vol espanya podria bloquejarnos entrarhi	️ bom alemania demanar ue suspendre reglar unanimitat decisió polític exterior això volum espanya podrir bloquejarnos entrarhi	alemania demanar suspendre reglar unanimitat decisio politic exterior aixo volum espanya podrir bloquejarnos entrarhi	train	8.578559282590147e+17	elenacardona222
1103388405621248e+18	T'ho estant repetint cada dia. Si votes ERC el #28A NO et sorprenguis l'endemà quan tornin a votar amb el PSOE de franc i a fer de nous DuraniLleida a Madrid. NO volen el vot indepe (que confien mantenir de franc), cerquen ex-votants de Podemos/PSOE. Lícit, pero NO amb el meu vot https://t.co/5m07BtlO3Z	AGAINST	repetint votes #a sorprenguis endemà tornin votar psoe franc nous duranilleida madrid volen indepe confien mantenir franc cerquen exvotants podemospsoe lícit	tho repetint dia votes erc #a sorprenguis endemà tornin votar psoe franc nous duranilleida madrid volen vot indepe confien mantenir franc cerquen exvotants podemospsoe lícit vot	tho repetir dia votar erc #a sorprendre endemà tornar votar psoe franc noure duranilleida madrid voler votar indepe confiar mantenir franc cercar exvotants podemospsoe lícit votar	repetir votar sorprendre endema tornar votar psoe franc noure duranilleida madrid voler votar indepe confiar mantenir franc cercar exvotants podemospsoe licit votar	train	9.395879502785987e+17	AdvisorRuben
1098944269795115e+18	Si, si..  Només faltaría que reconeixesin la culpabilitat aixi, de primeres . Pero encara falten el testigs de la acusació... Que tenen tanta credibilitat com els acusats. https://t.co/5XP6gHlDb3	AGAINST	només faltaría reconeixesin culpabilitat primeres falten testigs acusació tenen credibilitat acusats	només faltaría reconeixesin culpabilitat primeres falten testigs acusació tenen credibilitat acusats	nòmer faltaría reconeixesin culpabilitat primer faltar testigs acusació tenir credibilitat acusat	nomer faltaria reconeixesin culpabilitat primer faltar testigs acusacio tenir credibilitat acusat	train	48744241.0	KhommonNoise
11034276271996764e+18	@astridbierge @BernatDedeu @JoanTarda Es un estafador botifler i malparit	AGAINST	estafador botifler malparit	estafador botifler malparit	estafador botifler malparir	estafador botifler malparir	train	9.395879502785987e+17	AdvisorRuben
11036782631661568e+18	RT @er_pllo: El Parlament de Catalunya sempre treballant pel que realment importa https://t.co/kG96eEfD1f	AGAINST	parlament catalunya sempre treballant realment impoa	parlament catalunya sempre treballant realment impoa	parlament catalunya sempre treballar realment impoa	parlament catalunya sempre treballar realment impoa	train	1.0779535677916938e+18	Prometh71304479
1102970161013886977	Com ja vam fer amb al vaga de l’any passat, els diputats i diputades donarem el nostre sou del dia de la vaga a entitats feministes , explica @JnnDiaz al #Parlament https://t.co/3TjbpaMiRR	FAVOR	vaga passat diputats diputades donarem vaga entitats feministes explica #parlament	vaga passat diputats diputades donarem dia vaga entitats feministes explica #parlament	vague passar diputat diputada donar dia vague entitat feminista explicar #parlament	vague passar diputat diputada donar vague entitat feminista explicar #parlament	train	915298864810295298	punt_cat9
1103676894778716161	@jmangues No entenc com al Parlament Europeu donen veu a aquests feixistes agressius i violents, i silencien la veu de persones pacifiques com el nostre president legítim a l’exili.	FAVOR	entenc parlament europeu donen feixistes agressius violents silencien persones pacifiques president legítim exili	entenc parlament europeu donen feixistes agressius violents silencien persones pacifiques president legítim exili	entendre parlament europeu donar feixista agressiu violent silenciar personar pacificar president legítim exili	entendre parlament europeu donar feixista agressiu violent silenciar personar pacificar president legitim exili	train	914755710461849600	PeraDolsa
10918530198456769e+18	El sistema judicial vol Carles Puigdemont a Espanya no com a testimoni sinó com a presoner  @Simonbekaert (advocat de Valtònyc) #FAQStherealTV3 ▶️ https://t.co/bZYi7n7LIq https://t.co/Y3Sv8TR4TL	FAVOR	sistema judicial carles puigdemont espanya testimoni sinó presoner advocat valtònyc #faqstherealtv	sistema judicial vol carles puigdemont espanya testimoni sinó presoner advocat valtònyc #faqstherealtv ️	sistema judicial volum carles puigdemont espanya testimoni sinó presoner advocar valtònyc #faqstherealtv ️	sistema judicial volum carles puigdemont espanya testimoni sino presoner advocar valtonyc #faqstherealtv	train	3667880355.0	nuriabgav
1043238956576464901	Maragall un paio que va passar de l' ajuntament franquista de Porcioles a fidel servidor del PSOE de Mister X , als tripartits d' infausta memoria i per ultim indepe . Es algu de solids principis i projecte clar i si a mes te l' experiencia de 76 anys , es un candidat excel·lent	FAVOR	maragall paio passar ajuntament franquista porcioles fidel servidor psoe mister tripaits infausta memoria ultim indepe solids principis projecte clar experiencia anys candidat excel·lent	maragall paio passar ajuntament franquista porcioles fidel servidor psoe mister x tripaits infausta memoria ultim indepe solids principis projecte clar experiencia anys candidat excel·lent	maragall paio passar ajuntament franquista porcioles fidel servidor psoe mister x tripaits infaust memoria ultimar indepe solids principi projectar clar experiencia any candidat excel·lent	maragall paio passar ajuntament franquista porcioles fidel servidor psoe mister tripaits infaust memoria ultimar indepe solids principi projectar clar experiencia candidat excel·lent	train	1137410166	Almat49
10961678125304054e+18	@ERCbcn @ernestmaragall @junqueras @quimforn En una cosa té raó, no es poden barrejar les coses. Per això, l'ajuntament actual fa polítiques socials com mai vistes i a més, és l'únic partit q ha portat a judici les càrregues policials de l'1O i fa actes actes en defensa de l'abús de la gent empresonada.	AGAINST	cosa poden barrejar coses això ajuntament actual polítiques socials vistes únic pait poat judici càrregues policials actes actes defensa abús gent empresonada	cosa té raó poden barrejar coses això ajuntament actual fa polítiques socials vistes més és únic pait q poat judici càrregues policials o fa actes actes defensa abús gent empresonada	cosa tenir raó poder barrejar cosa això ajuntament actual fer política social vista més ser únic pait q poar judici càrrega policial o fer acte acte defensar abusar gent empresonar	cosa tenir poder barrejar cosa aixo ajuntament actual politica social vista unic pait poar judici carrega policial acte acte defensar abusar gent empresonar	train	106024136.0	lfilella
10932181162162419e+18	RT @VogelfreiCAT: Ens “jutgen” (a tots) perquè no ens poden afusellar...	NEUTRAL	jutgen poden afusellar	jutgen poden afusellar	jutjar poder afusellar	jutjar poder afusellar	train	9.093471177974291e+17	EstherMarti8
1042472564700991488	Quantissima dignitat en cada nota, massa.. No mereix el que ens estan fent 'els nostres'. Cuanta vergonya, indignitat i egoisme hi ha als despatxos, però no ens fareu còmplices de la vostre traïció, no passaran els feixistes, però vosaltres, vosaltres tampoc. MORI EL MAL GOVERN. https://t.co/5jry5nHnPH	FAVOR	quantissima dignitat nota massa mereix fent cuanta vergonya indignitat egoisme despatxos però fareu còmplices traïció passaran feixistes però mori govern	quantissima dignitat nota massa mereix fent cuanta vergonya indignitat egoisme despatxos però fareu còmplices traïció passaran feixistes però mori govern	quantissima dignitat notar massa merèixer fer cuanta vergonyar indignitat egoisme despatx però fer còmplice traïció passar feixista però morir governar	quantissima dignitat notar massa mereixer cuanta vergonyar indignitat egoisme despatx pero complice traicio passar feixista pero morir governar	train	181679209	albert_orta
1046031738709975e+18	RT @FiodoirMacTire: Plaça Sant Jaume ara mateix. Catalunya combat al feixisme!! https://t.co/RIZwru3kbt	AGAINST	plaça sant jaume mateix catalunya combat feixisme	plaça sant jaume ara mateix catalunya combat feixisme	plaçar sant jaume ara mateix catalunya combatre feixisme	plaçar sant jaume mateix catalunya combatre feixisme	train	8.578559282590147e+17	elenacardona222
1099417902346842110	RT @Ninona62: #FAQSstrubelTV3 Espanya amb Catalunya ha estat disposat a fer de tot, de tot menys política. @jorditurull	FAVOR	#faqsstrubeltv espanya catalunya disposat política	#faqsstrubeltv espanya catalunya disposat política	#faqsstrubeltv espanya catalunya disposar polític	#faqsstrubeltv espanya catalunya disposar politic	train	875329757080158210	mariadenines4
1041260078580621312	L'Estaca a Sant Jaume. Gallina de piel. #OmplimStJaume #OmplimSantJaume #LlibertatPresesPolítiques #LlibertatPresosPolítics https://t.co/HZzqzWIj0a	FAVOR	estaca sant jaume gallina piel #omplimstjaume #omplimsantjaume #llibeatpresespolítiques #llibeatpresospolítics	estaca sant jaume gallina piel #omplimstjaume #omplimsantjaume #llibeatpresespolítiques #llibeatpresospolítics	estacar sant jaume gallina piel #omplimstjaume #omplimsantjaume #llibeatpresespolítiques #llibeatpresospolítics	estacar sant jaume gallina piel #omplimstjaume #omplimsantjaume #llibeatpresespolitiques #llibeatpresospolitics	train	181679209	albert_orta
1102731361603985408	¿Des de quan la facultat d'interrogar a un testimoni de la contrapart està condicionada a les preguntes que li hagi formulat abans el proposant de la prova? El feixisme togat espanyol innovant, una vegada més, el Dret. #JudiciFarsa https://t.co/orIBCMQpUT	FAVOR	facultat interrogar testimoni contrapa està condicionada preguntes formulat proposant prova feixisme togat espanyol innovant vegada dret #judicifarsa	des facultat interrogar testimoni contrapa està condicionada preguntes formulat proposant prova feixisme togat espanyol innovant vegada més dret #judicifarsa	donar facultar interrogar testimoni contrapa estar condicionar preguntar formular proposar provar feixisme togat espanyol innovar vegada més dret #judicifarsa	donar facultar interrogar testimoni contrapa estar condicionar preguntar formular proposar provar feixisme togat espanyol innovar vegada dret #judicifarsa	train	241249728	efernandezo2010
10931960114498396e+18	#TotesMouTV3 quina barra dir q ara hi ha crispació i ara els catalans patim i negar q fons ara els catalans no patíem! .cony q des q vaig néixer han pretès q demanes Perdó per ser catalana catalanista i separatista	NEUTRAL	#totesmoutv quina barra crispació catalans patim negar fons catalans patíem cony néixer pretès demanes perdó catalana catalanista separatista	#totesmoutv quina barra q ara crispació ara catalans patim negar q fons ara catalans patíem cony q des q néixer pretès q demanes perdó catalana catalanista separatista	#totesmoutv quin barrar q ara crispació ara català patir negar q fondre ara català patir cony q donar q néixer pretesar q demanar perdó català catalanista separatista	#totesmoutv quin barrar crispacio catala patir negar fondre catala patir cony donar neixer pretesar demanar perdo catala catalanista separatista	train	9.093471177974291e+17	EstherMarti8
1096178457678106624	Els murs humans al llarg de la història s’han convertit en una icona universal de la defensa dels drets i les llibertats. Som un mur humà, sí. Som el puto mur humà que molts que avui volen tombar, trobaran a faltar el dia que el feixisme els entri a casa.	FAVOR	murs humans llarg història s’han conveit icona universal defensa drets llibeats humà puto humà volen tombar trobaran faltar feixisme entri casa	murs humans llarg història s’han conveit icona universal defensa drets llibeats mur humà sí puto mur humà volen tombar trobaran faltar dia feixisme entri casa	mur humà llarg història s’han conveit icona universal defensar dret llibeats murar humà sí puto murar humà voler tombar trobar faltar dia feixisme entrar casa	huma llarg historia s’han conveit icona universal defensar dret llibeats murar huma puto murar huma voler tombar trobar faltar feixisme entrar casa	train	3667880355	nuriabgav
10931571178910885e+18	.@Naturgy @NaturgyClientEs i @govern a què espereu per signar els convenis que marca la llei 24/2015 per tal de fer front a la #CondonaciónDeDeuda? https://t.co/moOLz6niY0	AGAINST	espereu signar convenis marca llei front #condonacióndedeuda	espereu signar convenis marca llei front #condonacióndedeuda	esperar signar conveni marcar llei front #condonacióndedeuda	esperar signar conveni marcar llei front #condonaciondedeuda	train	349173708.0	mrmbln
11033348240713196e+18	Preciosa massatgista eròtica catalana farà les delícies amb les seves mans i el seu cos Blanca Puig catalana i calenta @CHICASDELPISITO  https://t.co/i4RcO0ttda https://t.co/9MXtOpwZpx	AGAINST	preciosa massatgista eròtica catalana farà delícies mans blanca puig catalana calenta	preciosa massatgista eròtica catalana farà delícies mans cos blanca puig catalana calenta	preciós massatgista eròtic català fer delícia mà cossar blanc puig català calent	precios massatgista erotic catala delicia cossar blanc puig catala calent	train	7.597398153570591e+17	EvitaFans
10392068447267471e+18	@RaholaOficial Saps, Pilar? Crec que és la diada que vaig amb més ganes i més emocionat. Pel record dels nostres presos/es i exiliats/des i per tots/es aquells/es que van patir la violència de l' 1O. #JoAnirealaDiagonal #Diada2018	AGAINST	saps pilar crec diada ganes emocionat record presoses exiliatsdes totses aquellses patir violència #joanirealadiagonal #diada	saps pilar crec és diada més ganes més emocionat record presoses exiliatsdes totses aquellses patir violència o #joanirealadiagonal #diada	sap pilar creure ser diada més gana més emocionar recordar presoses exiliatsdes totses aquellses patir violència o #joanirealadiagonal #diada	pilar creure diada gana emocionar recordar presoses exiliatsdes totses aquellses patir violencia #joanirealadiagonal #diada	train	8.578559282590147e+17	elenacardona222
10976044254499144e+18	@Marta_Sibina @KRLS @QuimTorraiPla Menteixes, aixó de Vox es fals. i NO HO DIC PAS JO. https://t.co/38MtslujsO	AGAINST	menteixes aixó fals	menteixes aixó vox fals dic	mentir aixó vox falsar dir	mentir aixo falsar	train	48744241.0	KhommonNoise
11030363954871828e+18	El pregonero de las fiestas de Cerdanyola llama “prostituta” a Inés Arrimadas https://t.co/TeUyd4lkRJ vía @@DCerdanyola	AGAINST	pregonero fiestas cerdanyola llama prostituta inés arrimadas	pregonero fiestas cerdanyola llama prostituta inés arrimadas vía	pregonero fiestas cerdanyola llama prostituta inés arrimadas vía	pregonero fiestas cerdanyola llama prostituta ines arrimadas	train	263371847.0	agdjunt
1045391565320065024	RT @ccristin: Tossudament alçats! Camí cap a la República!🎗🎗 #OmplimSantJaume29s  #FemXarxa #29s  #LlibresLliures	FAVOR	tossudament alçats camí república #omplimsantjaumes #femxarxa #s #llibreslliures	tossudament alçats camí república #omplimsantjaumes #femxarxa #s #llibreslliures	tossudament alçat camí república #omplimsantjaumes #femxarxa #s #llibreslliures	tossudament alçat cami republica #omplimsantjaumes #femxarxa #llibreslliures	train	181679209	albert_orta
10978718838009283e+18	@Rocco_969 @KenHaprenguin @moragasai Això era pel REGLAMENT aprovat el juliol del 2017! Després el 6 i 7 de setembre no van aplicar l'esmentat reglament. Per favor no retallis un titular si no coneixes la notícia sencera.	AGAINST	això reglament aprovat juliol després setembre aplicar esmentat reglament favor retallis titular coneixes notícia sencera	això reglament aprovat juliol després setembre aplicar esmentat reglament favor retallis titular coneixes notícia sencera	això reglamentar aprovar juliol després setembre aplicar esmentar reglamentar favor retallar titular conèixer notícia sencer	aixo reglamentar aprovar juliol despres setembre aplicar esmentar reglamentar favor retallar titular coneixer noticia sencer	train	7.151633886708449e+17	Conximmarti
10989474453740216e+18	@martikarreras @tv3cat Segurament hi havia gent vinguda fins i tot de França. 😂😂😂	AGAINST	segurament gent vinguda frança	segurament gent vinguda frança	segurament gent venir frança	segurament gent venir frança	train	9.198933349776671e+17	_Dr_Stone_
10392054853989458e+18	El nostre més sentit condol a l'alcaldessa @neuslloveras per la mort del seu marit. Tot el nostre suport i escalf en aquests moments difícils.	AGAINST	sentit condol alcaldessa marit supo escalf moments difícils	més sentit condol alcaldessa mo marit supo escalf moments difícils	més sentir condoldre alcaldessa mo marit supo escalfar moment difícil	sentir condoldre alcaldessa marit supo escalfar moment dificil	train	8.578559282590147e+17	elenacardona222
11037613798723953e+18	Hem d'escoltar i compartir el que ens arriba des de @HeuskalHerria Ens queixem que nos ens escolten, a ells tampoc.  #LlibertatPresosPolítics https://t.co/4uYpuKRahz	NEUTRAL	escoltar compair arriba queixem escolten #llibeatpresospolítics	escoltar compair arriba des queixem escolten #llibeatpresospolítics	escoltar compair arribar donar queixar escoltar #llibeatpresospolítics	escoltar compair arribar donar queixar escoltar #llibeatpresospolitics	train	9.093471177974292e+17	EstherMarti8
1097773355757985792	. @ernestmaragall a les portes del Suprem:  El Parlament Europeu ha d'estar molt pendent del que passi avui perquè sap que en la persona de Raül Romeva s'hi juga molt #judici1o https://t.co/yLXJWG7LQs	FAVOR	poes suprem parlament europeu pendent passi persona raül romeva juga #judicio	poes suprem parlament europeu pendent passi sap persona raül romeva shi juga #judicio	poar suprem parlament europeu pendent passar saber persona raül romeva shi jugar #judicio	poar suprem parlament europeu pendent passar saber persona raul romeva jugar #judicio	train	273631657	mirovira75
11037401116557476e+18	CUPvERCgència distreu els idiotes dels seus votants amb la pastanaga reial perquè no vegin l'estafa del procés. Per contra, cada vegada que #CUPvERCgència ataca el rei, els espanyols es fan més monàrquics. Processisme i monarquia es necessiten mútuament. https://t.co/qHZCKZVLCS	AGAINST	cupvercgència distreu idiotes votants pastanaga reial vegin estafa procés contra vegada #cupvercgència ataca espanyols monàrquics processisme monarquia necessiten mútuament	cupvercgència distreu idiotes votants pastanaga reial vegin estafa procés contra vegada #cupvercgència ataca rei espanyols fan més monàrquics processisme monarquia necessiten mútuament	cupvercgència distreure idiota votant pastanaga reial veure estafar procés contra vegada #cupvercgència atacar rei espanyol fer més monàrquic processisme monarquia necessitar mútuament	cupvercgencia distreure idiota votant pastanaga reial veure estafar proces contra vegada #cupvercgencia atacar espanyol monarquic processisme monarquia necessitar mutuament	train	1.0199806856778793e+18	Jomateixapunt
1103653856519561217	@JoanQueralt O comencem a tenir clar que la única solució és votar massivament la @cupnacional o no en sortirem.	FAVOR	comencem tenir clar única solució votar massivament soirem	comencem tenir clar única solució és votar massivament soirem	començar tenir clar únic solució ser votar massivament soirem	començar tenir clar unic solucio votar massivament soirem	train	127272388	jordi_twit
1103430765788971e+18	RT @Judit_C_: Només pels somriures que la tiparraca de la Toro aquesta ha provocat als presos, ha valgut la pena...	NEUTRAL	només pels somriures tiparraca toro provocat presos valgut pena	només pels somriures tiparraca toro provocat presos valgut pena	nòmer pels somriure tiparraca toro provocar pres valer pena	nomer pels somriure tiparraca toro provocar pres valer pena	train	9.093471177974292e+17	EstherMarti8
1040600382894952448	Amb l'exhumació de Franco, es trenca un tabú imposat a la transició: la intocabilitat del franquisme. Convindria no quedar-se aquí i trencar-ne molts d'altres, com l'exclusió del dret a pronunciar-se sobre la república o l'autodeterminació.	FAVOR	exhumació franco trenca tabú imposat transició intocabilitat franquisme convindria quedarse aquí trencarne exclusió dret pronunciarse república autodeterminació	exhumació franco trenca tabú imposat transició intocabilitat franquisme convindria quedarse aquí trencarne exclusió dret pronunciarse república autodeterminació	exhumació franco trencar tabú imposar transició intocabilitat franquisme convenir quedarse aquí trencarne exclusió dret pronunciarse república autodeterminació	exhumacio franco trencar tabu imposar transicio intocabilitat franquisme convenir quedarse aqui trencarne exclusio dret pronunciarse republica autodeterminacio	train	368508424	Mallus_Malleus
10976002755677921e+18	Ran i en Kogoro son els millors!!!!!! #DetectiuConan3XL	NEUTRAL	kogoro millors #detectiuconanxl	kogoro millors #detectiuconanxl	kogoro millor #detectiuconanxl	kogoro millor #detectiuconanxl	train	2572858944.0	LadyIsaMistery
1104147962240921600	RT @jordigalves: Realment els independentistes van ser violents? 'Policies contra l’evidència' https://t.co/x4LkGNTAi6	FAVOR	realment independentistes violents policies contra evidència	realment independentistes violents policies contra evidència	realment independentista violent policia contra evidència	realment independentista violent policia contra evidencia	train	789799309751492609	MariaVieta
10979899574976143e+18	🏳️‍🌈⚽️🏐🎾 Avui, com no podria ser d'altra manera, ens sumem al #DiaInternacionalContraLaLGTBfobiaEnElDeporte.  Aquest 19 de febrer, i cada dia, diem NO a la #LGTBIfobia al futbol i al món de l'esport en general. https://t.co/iuRj0A6czN	NEUTRAL	️ podria manera sumem #diainternacionalcontralalgtbfobiaeneldepoe febrer diem #lgtbifobia futbol espo general	️ podria manera sumem #diainternacionalcontralalgtbfobiaeneldepoe febrer dia diem #lgtbifobia futbol món espo general	️ podrir maner sumar #diainternacionalcontralalgtbfobiaeneldepoe febrer dia dir #lgtbifobia futbol món espo general	podrir maner sumar #diainternacionalcontralalgtbfobiaeneldepoe febrer #lgtbifobia futbol espo general	train	1401782742.0	OCL_H
1036726609036947457	El que cal es fer pinya entre els indepes , no fer volar coloms sobre que Colau Coscu i Rabell es facin indepes ( cosa que no pasara mai ) per justificar fer un tripartit autonomic	FAVOR	pinya indepes volar coloms colau coscu rabell facin indepes cosa pasara justificar tripait autonomic	pinya indepes volar coloms colau coscu rabell facin indepes cosa pasara justificar tripait autonomic	pinya indepes volar colom colar coscu rabell fer indepes cosa pasara justificar tripait autonomic	pinya indepes volar colom colar coscu rabell indepes cosa pasara justificar tripait autonomic	train	1137410166	Almat49
1043184998499713024	No, seriosament, quan crearà algú unes brigades mata feixistes?	FAVOR	seriosament crearà algú brigades mata feixistes	seriosament crearà algú brigades mata feixistes	seriosament crear algú brigada matar feixista	seriosament crear algu brigada matar feixista	train	59778007	Will_1981
1098904077415665664	No, ni jo ni el meu pare @mstrubell hem escrit el famós missatge a Jordi Sánchez. NO, rotundament NO. #JudiciTV3CatRàdio https://t.co/cm68Z6WNwA	FAVOR	pare escrit famós missatge jordi sánchez rotundament #judicitvcatràdio	pare escrit famós missatge jordi sánchez rotundament #judicitvcatràdio	parar escriure famós missatge jordi sánchez rotundament #judicitvcatràdio	parar escriure famos missatge jordi sanchez rotundament #judicitvcatradio	train	908661158378434561	maribel201205
