LABEL	preprocessing_A
FAVOR	portar suprem parlament europeu destar pendent passar persona raul romeva jugar #judicio
AGAINST	cupvercgencia distreure idiota votant pastanaga reial veure lestafa proces contra vegada #cupvercgencia atacar espanyol monarquics processisme monarquia necessitar mutuament
FAVOR	començar tenir clar unica solucio votar massivament sortir
NONE	nòmer pels somriure tiparraca toro provocar pres valer pena
FAVOR	lexhumacio franco trencar tabu imposar transicio intocabilitat franquisme convenir quedarse aqui trencarne daltres lexclusio dret pronunciarse republica lautodeterminacio
NONE	kogoro millor #detectiuconanxl
FAVOR	realment independentista violent policia contra levidencia
NONE	️ avui podrir daltra maner sumar #diainternacionalcontralalgtbfobiaeneldeporte aquest febrer dir #lgtbifobia futbol lesport general
FAVOR	pinya indepes volar colom colar coscu rabell fer indepes cosa pasara justificar tripartir autonomic
FAVOR	seriosament crear algu brigada matar feixista
FAVOR	parar escriure famos missatge jordi sanchez rotundament #judicitvcatradio
AGAINST	quin mania parlar sempre dignitat sentir comu pragmatisme hauriem estalviar patiment
FAVOR	veure tothom amoinat saber poder aplicar ser independent algu recordar
FAVOR	quant repressio indepes determinar entendre entendre comportar
AGAINST	millo acusar violent criminalitzar posar relatar sen perseguir penalment
NONE	#totesmoutv cansare repetirho malvat monstruós equiparar error politics evident duns indepes error formar violencia preso repressio altre monstruos comprar marcar sisplau
AGAINST	parlar carrejar responsable
AGAINST	veure tergiverssi veure capaç dentendre dacord veure
NONE	aniversari programar inpa passar temps millorar xifrar faltar millorar felicitat lequip
FAVOR	arribar puntar voler introduir marcar mental dialeg referendum pactar solucio aixo renunciar ultims any manifestació doctubre hosties rebuda tornar
AGAINST	clar vitores gent laclamava
AGAINST	bo part catalunya ploure febrer dia pluja #alcanar recollir generar pluja apreciable #montsia #meteocat
AGAINST	millorar maquiavelo putu estrategia alliberar metre passat
AGAINST	sortir talegon timeline
FAVOR	carles puigdemont fara acte febrer universitat groningen paisos baix
AGAINST	santi vila fake simbolic trascendencia processistes traidor ratar botifler vendre turull fake simbolic trascendencia processistes exemple dignitat heroi politic gent ️️️
AGAINST	alla mantenir dialeg dificil
FAVOR	directe expectacio conferenciar president puigdemont torra brussel·les
FAVOR	autodeterminacio dret social civil politics llibertar presa politiques retornar exiliar dissabte manifestacio imprescindible barcelona
AGAINST	abdul aziz muhamat refugiar sudanes confinar centrar reclusio guanyar prestigios prémer internacional #dretshumans #martinennals
NONE	fill ideologics coronel galindo allo dir tenterren calçar viu torturar intxaurrondo
AGAINST	quan tensar covar pero aleshores dedicar politica dedicar empresaria explotadorao algo aixi
AGAINST	boye respondre graciar deure ironic
FAVOR	despanyar amenaçar sindicat regir callar metre recordar sindicalisme pais nòmer conquerir espai poder fort poder front repressio
NONE	sanchez descartar pacte postelectorals despres excepcio
FAVOR	company willy toledo llibertar provisional despres declarar davant jutjar solidaritat forçar lluitar #lanostrasentencia independencia #mecagoendios
NONE	alejandro fernandez criticar dissabte liderar #ciudadanos #catalunya ines #arrimadas anar #waterlo belgica retorica populista caure lexpresident generalitat carles #puigdemont
AGAINST	aixo entrevistar periodistica periodisme esta fotre doncs
FAVOR	deure politics conduir emoció racionalitzar situació trobarhi sortir clau descriure posicionament actual principal forçar independentista
NONE	buscar periodista experiencia lambit comunicacio politica projectar periodistic interessat interessar miquelpellicer@laviniatc graciar
FAVOR	votar junqueras miquel roca echenique favor llistar unitari transversal lobjectiu república català votar poblar viure república català
FAVOR	tambe visitar parlament flandes reunir president cambra peumans puigdemont torra conferenciar conjuntar brussel·les malgrat censurar tajani
AGAINST	franco necessitar any exercitar tancar generalitat jutjarne governar prohibir catala graciar processisme exercitar jutjar funcionari enviar madrid prou #processisme submissio #judicio
FAVOR	trescents vintinou vuitantavuit trescents quarantavuit preten aguantar violent #garrotuit #llibertatpresospoliticscatalans #llibertatpresespolitiquescatalanes
NONE	complir any morir dantonio machado
FAVOR	aquest dia pensar discussió sortir aixo elogi lempatia davant tecnocrates racional provocar emocional jordi graupera robot
AGAINST	debo graciar galleda merda creure jair pressionar llaçar ell cervell
AGAINST	estiuar marie antoniette
FAVOR	seguir comprar d@esquerraerc seguir tenir nòmer moment castigar canviar cosa #jojanocomprofum #aojuntsores
FAVOR	cridar votar intencionat gilipolles caure pota intellegent pensar beneficiar votar partit indepes
AGAINST	magrada insultar tenganyis acostumar ruc copiar bernat dedeu
FAVOR	directe nieto durar junt seguretat insistir referendum il·legal situacio risc possibilitar xoc violent
AGAINST	semblar cridar nacional caure tuit seriar llastima romandre internet posterioritat
FAVOR	buscar tenir dinar proper #setembre passejar bornar organitzar dinar popular paella opcio vegetarià aigua postrar tambe fer acte politic faltar #organitzemrepublica
AGAINST	devocio català sant valenti mil·lenaria tresar segle nhan venerar diferent conèixer #dulia #etnografia #devocio #reliquies #reliquiaris #santoral
FAVOR	guaitar raiz despres rectificar recordar recordar saber personar començar preparar quant credibilitat #faketrial
AGAINST	revocar conveni signar linss
FAVOR	interes dissabte tornar sant jaume quda decencia dignitat podrieu aturar #omplimsantjaumes
AGAINST	indepe dubtar votar comú factor votarlos general pero lajuntament
FAVOR	proposar diccionarivikipedia definicio terme cínic sacompanyi il·lustrar fotre daquest individu quin vergonyar veritat tipus politics escrupols quant mentir impostura despentinarse #millo
AGAINST	dimitir dimitir laltre comú jurar
AGAINST	graciar interessar salut anar començar setmana recuperacio lamentar molt pero suspendre acte publics tenir programar proxims metre
FAVOR	llistar unitaria aixi tenir referendum llistar unitaria
FAVOR	temps avisar doctubre paper mullar voler portar tupinada referendum manipular perdre aixi donar acabar proces
AGAINST	guiar manifestacio diada lonze setembre necessitar saber
FAVOR	#davantdelsuorem considerar prendre politic judici judici politic dire veritat acusació falsar #absolucio #freetothom
FAVOR	car lindividu punyeta peliculero #judiciproces
FAVOR	boye puigdemont desmuntar latac fiscalia contra slesvigholstein
AGAINST	dema anar boig pero organitzar aconseguir
AGAINST	fenomen miraculos se´n resultar bisexual deixar politica tambe s´ho plantejar esclatar masters assegurar oferir parlar dira tenir vocacio monja
AGAINST	campanya brutal processistes twitter desacreditar anul·lar gran compte dusuaris independentista aixo voler republica pensar discriminar apartat dir feixista pero igual pitjor
FAVOR	canviar lema adoptar moral victoria sempre endavant estar tenir guanyar llibertar independencia sentir tristor rabia pero tenir clar cami republica català
AGAINST	pot servir dret respondre preguntar advocat fiscal salar argumentar inocencia mitin total any comdemna sentenciar culpable nòmer
FAVOR	acompanyar conseller legitims saber judici politic pero determinar explicarse demostrar delicte sino nòmer urna democracia #judicialesurnes #freetothom
FAVOR	sindicalisme independentista guanyar elecció sindical generalitat
FAVOR	escoltar nòmer escoltar superior vicent sanchis tensar edat poder plantarli car aqui faltar granar tambe #tonisolerdimissio
FAVOR	breu anàlisi durgència defensar formidable defensar estrictament politica oferir relatar dignitat poblar catala dret lautodeterminacio sentenciar esta dictar defensar tecnica heure humiliar gràcia
AGAINST	exactament aixo gent deixar portar lemocio
FAVOR	veure perpinya cartell festival fotoperiodisme visar pour limage direccio festival voler exposar foto proces independentista catalunya aixo moviment catalanista nord organitzar diferent exposició tractar témer
FAVOR	pero veure fairy enlloc #millomentider #judicidelavergonya
FAVOR	democracia tambe esta judici espanya washington pondre
NONE	mosso mosso desquadra idiota manifestar acollir dret declarar
FAVOR	unica maner posar catalunya sxxi tenin competencies financiacio realitat aquest realitat sera possible tenir independencia encarar tenir poguem començar treballar
FAVOR	#llibeats ángel gozalo guardia civil catalunya l#oct condecorar exveterans division azul lexercit nazi explicar
FAVOR	avui semblar judici vergonyar pero esperar declaracio jordi cuixart creure haura despres dir optimista #thisistherealspain #joacuso #autodeterminacionoésdelicte #makeamove #llibertatpresospolitics
FAVOR	gonzalez pondre demanar detenir puigdemont entrar parlament europeu psicopata indecent
FAVOR	proces farsa judicial saguanta enlloc judici democracia sobirania legitimitat poblar catalunya aqui poder veure lentrevista sencer
AGAINST	violeta joana bonet
FAVOR	#judicialesurnes conseller mandat democratic clar part ciutadania catalunya complir mandat democratic buscar lequilibri limperi llei principi democratic #freetothom
NONE	parapetar executar executar francesc abad sinaugura febrer plaçar #forum festa ciutadà participar andrea motis sabor graciar brodas brossar info
FAVOR	encarar registrar aquest registrar perfomance eina necessaria #autodeterminacionoésdelicte #judicifarsa tenir dubte fer ullar explicació daquest article
FAVOR	article lluitar pres dignitat respecteversus toxicitat primaria destructiu deixar arrossegar pensament toxic respectar perspectiu compromis
FAVOR	candidatura independentista revolucionar elecció cambra comerç
FAVOR	segon perez cobos murallar votant organitzar dirigir jerarquicament car tapar agredir video #mentiders #judicifarsa
FAVOR	kontra korrent cantar #lanostrasentencia independencia musicar tambe #organitzemrepublica
AGAINST	vídeo crit dindependencia xiular massiu ballesteros diada sant tecla
NONE	impoant aqui any tindra estatua plaçar catalunya deixar comentari
AGAINST	ruc treballar raval gentussa alumne odin llengua maco mara fotre felicitar bonic despres dentran blog veure nivell piular sentir esta inter
AGAINST	elecciones prometer convergencia vuelta puigdemont simbolica farol independencia metre referendum fullar ruta pactar fiscal
FAVOR	lescenari presentar llibre proposta barcelona reivindicar dialeg #llibertat repressió #lasetmana
AGAINST	republica necessitar jutjar fiscal culpabilitat innocencia acusat sera determinar futbolista mossèn folklorics proregim
AGAINST	fixeula frase questiocom pronunciar pels politics campanyano sentir significar lindependentisme qualitat independentista personificar retoric paret dolent travessar
NONE	tothom mitjó sandalies #detectiuconanxl
FAVOR	politics ferm coherent carles riera lenduen arrastrant vergonyar policia greu dirho governar cridar carrer mateix fora
AGAINST	català darreu republica rosario palomino
AGAINST	quin problema falangista voler saber
AGAINST	tambe esta publicar preso provisional destitucio puigdemont
AGAINST	quin mandra creure idiota volsatres parlament catalunya tenin majoria imaginar parlament espayol portar lindependencia fer contrari volsatres traidors
AGAINST	tintar mancha mejor gilipua
FAVOR	començar judici lajut duns voluntari intentar cordinar massa independentista contrarestar fake news lestat ajudar mobilització apuntar telegram
NONE	cert lalt campar ecologics necessitar malgastar fairy
AGAINST	puntar avui publicar rectificacio hora hora despres tuit inicial seguir alla
AGAINST	marcar lobjectiu desterrar patriarcat #parlament perspectiu generar transversal funció actuació cambra digualtat parlament catalunya article
AGAINST	portal enderrocar deliminacio murallar
FAVOR	altamirano aqui haura independencia republicà treballar plegat
AGAINST	tipica gent
AGAINST	tot parlar millo fossiu nen petit veure voler veure mentres parlar dells parlar independencia
AGAINST	sort castellà emigrar catalunya shan adaptar societat dacollida pacifics esdevenir català catalunya shauria netejar colon inadaptat repressor violent
AGAINST	jefe peron tilde
AGAINST	resposta tuit plorar
FAVOR	voler preso #perjuri #judicifarsa retuit compartir
FAVOR	fort dapoderar espanya remeiar esclafar destruir mirament aqui mentra milió indepes perque pels
FAVOR	exclusiu filtrar imatge vestir lluira farlivera #fashionweek #fakejustice #fakesuprem #judicialademocracia #oct #judicifarsa #judicitvcatradio
AGAINST	graciar puigcerda defensar dret tabarnesos lautodeterminacio albert piñeira brosel sisplau autodeterminis pare catalanitzador cognom alcalde
FAVOR	aqui girona persona gratar pero diferenciar president puigdemont trobar faltar miserable mentider mal persona
FAVOR	matar mentir cinisme fer fastig escoltar perez cobos fastig veure tornar declarar pero acusat davant tribunal internacional miserable #judicifarsa #judicialademocracia
FAVOR	algu pensar rendir #nosurrendercat
FAVOR	politica extranya company llitar costar ppcs detenir president puigdemont conferenciar parlament europeu vena franquista topar
FAVOR	#femxarxa #llibertatpresospolitics #republica #llibertatexiliats #capalarepublica #nocallarem #noatot #joacuso #niunpasenrere #olot #judicialademocracia #judicifarsa #seguim
FAVOR	pais votar independencia demanar absolució sentenciar justar justicia ser actuar ser ocupar enemic sino recuperar ostatge ser presoner
NONE	romeva copiar lestrategia junqueras prendre politic
FAVOR	seminari visió catalunya despanyar president catalunya pensament politic obra governar organitzar cordinat matricular obrir
FAVOR	quin partit independentustes parlar catalunya nòmer gent independentista partit politics veure guanyar elecció
FAVOR	atenció comunicat️ suportar escalfar companya encausar tocar tocar totes️ #decidimser #cdrenxarxa
AGAINST	vemos plaçar sant jaume #totsasantjaume #omplimstjaume #republicacatalana porcar queremos #llibertatpresospoliticsiexiliats
AGAINST	politica querellar sistema democracia parlament dialogar debatre amenaçar
AGAINST	esta estavem escolar ciutadà aixo poder pegar
AGAINST	llegir algu malgrat tenir idear completament diferent parlar veracitat
FAVOR	ladvocat john philpot convidar international trial watch alertar perillar dintentar arreglar problema politics acusació penal
AGAINST	març datar sempre amant meteo recordar granar nevar tenir barcelona catalunya #efemeride aixi carrer #guinardo #meteo #eltemps
FAVOR	marcar politica republica carrer tenir clar fara nosaltresel poblar organitzar dubtar #femxarxa #organitzemrepublica
FAVOR	caldre recordar testimoni juramentar #judicifarsa #joacuso
FAVOR	aclaridor camera lent lestranya agressio independentista dahir agressor agredir caminar junt justar abans lagredit vermell agredir personar passar exactament arribar saber
AGAINST	aquet simpatic esta nervios jair
NONE	manifestar consistori expectant traduir negociació perfilar detall
NONE	acte comemoracio any #cndc consellar nacional #dones #catalunya presenciar nelly palacios comissio felicitat #sororitat #dretsdelesdones
AGAINST	dir colar comerç proximitat importar pero realitat dona suportar mant #bcn #barcelona #vallsbcn #esmorzarscomerç
AGAINST	lemapie fotre dona inferior pujar raça pur total impunitat auquesta donamb aquixxxx podrir tambe
AGAINST	trigar anarse merda
AGAINST	rivera dimissio imediata d´acord ciudadanus
FAVOR	arribar metre corredor #vueltaciclista #lleida pancarta estelat llaç groc crit #llibertatpresospolitics
FAVOR	puigdemont acusar tajani daplicar llei mordassa parlament europeu
FAVOR	futur pres politics exemple defensar llibertar
FAVOR	començar plantejarnos votar
AGAINST	busquets iniesta jordi alb
NONE	podemos quin partir politic
AGAINST	sap numerar tensar fetitxisme feixisme #larepublicanoexisteidiota escoltar #lasilenciosacat
NONE	mercat municipal tercer servei valorar ciutadania vendre comprar mercat
NONE	llegir pais jutjar suprem proposar crear tipus penal formar expres veure rebelio saguanta enlloc evident judici nòmer venjança contra artifex vergonyar
AGAINST	lescola català produir parlant competent catala castella vegada angle parlant perfecte varietat dialectal accent prestecs llengues normalitat linguistica favor plurilinguisme
AGAINST	parlar #assembleaccoo idea sempre avançar conquesta dret veure dajuntar retrocedir mirar realitat car lalçada #ambtutenimlaforça #ofensivaccoo
AGAINST	portar metre autoproclamantse model virtut humanitat empatia bramar contra montserrat toro enfotentsen testimoni moment dangoixa viure
FAVOR	sap projectar pressupuestari poder milió creure témer numeros dominar #republicacatalana
AGAINST	tenir oprimidet #eixamplantlabaseindependentista
FAVOR	majorar tirania perpetrar lescut llei justicia charleslouis secondat avui complir mobilitzacio sacusa sedicio jordi sanchez jordi cuixart #catalunya
AGAINST	avui comentar lactualitat politica barcelona tho explicar #actualidadcs
FAVOR	duna menar maner tresar fundar partit politics comentari joan semblar asserenar estar mateix costar referendum dona pais sencer acceptar conjuntar
FAVOR	vague general indefinit votar formar massiu partir grup partit independentista molestar votació congreso votar regalar partit majoritari
FAVOR	voler aixo desprogramen enviar brimo pero toçuts anar final #nosurrendercat
FAVOR	discutir lautoritat pero esta compondre membre nomenar pels partit politics seguir consignar daquests partit
AGAINST	granar mentir denunciar testimoni estar obligar mentir sap dir veritat aixo nòmer difamar pamflet
FAVOR	directe forn assegurar reunio especificar pels requeriment creure basar legal organitzar referendum delicte afirmar
NONE	vall dhebron liderar primer guiar internacional vacunacio papil·loma poblacio risc
NONE	espejosavedra madrid arrimadas carrizosa seguir parlament
AGAINST	lliri millorar posar laltra galta sera catolic pero dimbecils
FAVOR	caixa dirigir lopus preferir vendre feixisme grup perdre dinersabans català saber
AGAINST	convidar copsar passar restar desallotjar lautopista heure possen xulo antifisturbi cert policia politica embrutar soler culpar company acte dalguns
AGAINST	indult condemnat sentenciar esta escriure
FAVOR	acabar veure avui pero violació dret fonamental recordar despres acusat mala manera fiscalia advocat lestat judici politic suprem pres tornar dormir reixa soto real #thisistherealspain
FAVOR	insolit leurocambra vetar puigdemont torra pero permetre parlar golpe estado català aixo inaceptable
FAVOR	sortir carrer demostrar rendir #nosurrendercat
AGAINST	pregar sabí criticar quimtorra puigdemont artadi aquest opinadora organica evidentment veure criticar català aixi
NONE	diversas denuncias unidades investigacion cervera lleida granollers sant llobregat barcelona #coches #catalunya #estafa
NONE	final primer columna insuperable
FAVOR	confondre democracia llei obrir portar totalitarisme hannah arendt
FAVOR	pais normal justicia independent mentider seriar encausar delicte dodi lespanya lamelas llarenas feixisme lodi catalunya meritar carrera judicial aquest pocavergonya president malgrat mentir curriculums
AGAINST	cosa unica odiar gent barna general tato ciutat claro poblar esta lluny venir pensar tardar menys fer trajecte inveit gent fora barna tenir targeta pixapí merda
AGAINST	aquest senyor vulnerar dret civil tractarme colona terra
AGAINST	defiende monarquia parlament cataluña verde
AGAINST	viure esperançar lenfortiment moviment feminista donar retrocedir milimetre assolir exigir govern donar respondre greu problema patir igualtat motor llibertar democracia #parlament #laespañaquequieresesfeministra
FAVOR	campanya suportar cuixart soci dòmnium delicte #judicitvcatradio
NONE	vanguardia notael periodico cosa nefast historiar pais esperar mediapro comprar aviar tenir diari serios minimament democratic respectuos poblar temps donar confiança
AGAINST	veritat dubtar daltra banda traidors tambe
FAVOR	preguntar processar independentista vegada rebre copsar porra
AGAINST	pero nòmer tenir penar malotes
AGAINST	#totsasantjaume #omplimsantjaumes #republicaésllibertat #tothomasantjaume #tardorcalenta #femxarxa
AGAINST	compartir part discurs politic xavier domenech pero lamentar marxar politica agradar menys pero temps estar gent predicar lodi votar assistir manifestació pels pres necessaries
NONE	#vaga #demarç a #mataro #mcadadia #ensplantem deixar constancia reivindicació donar
NONE	dimecres vespre jo convidar presentacio cerveza parar dumies fabricar moritz barcelona venir apren cosa cervesa assaborir moritz fresc entrar gratuita completar aforament
FAVOR	avui col·laboracionista tornar lluir tuit suportar excompany dicv declarar suprem canvi aconseguir dictador fotre grup parlamentari #noespot diputada sobiranista
FAVOR	espanya posicionar criminal nivell internacional christophe marchand advocar lequip puigdemont #faqsbacallatv
AGAINST	agradar canviar punt veure aixi retratar fotografiar mentir parlar pintar llumsempre captar moment tajuda captarlos lluitar trobar allo buscar periodisme tambe aixo
AGAINST	noia any agredir sexualment noi abandonar ahir tristament tot venjança quedar curt
AGAINST	molt personar creure coneixement esta renyir romanticisme opinar reva
AGAINST	#marcaespaña exportar modelar debatre arreu borrell girar feina #spainisnotademocratstate
FAVOR	planar perfecte #diada anar lhomenatge salvador #allende #badalona despres #barcelona #femlarepublicacatalana passar dinar passejar bornar #organitzemrepublica
AGAINST	sorprendre colar dirigent podemos eivissa dir privar fer servir castella aixi arribar gent respectar promocio llengua bilinguisme espanyol #aixino
NONE	dema sacaba enquestar seguir votar siusplau️
FAVOR	#otv gravar copsar porra memoria sempre marxar impossible tornar enrere
AGAINST	advocat europeu indignar pels atac amenaçar gonzalo boye advocat belga paul bekaert michele hirsch christophe marchand
FAVOR	turull suprem ganga constitucionalista
AGAINST	perdre proxim divendres #cafeciudadano proceso proces febrer seure balmar thi esperar
FAVOR	espanya #empresoneneldebat permetre debatre parlamentari llei transitorietat juridica referendum portar dia preso motiu alliberar carme #lanostrasentencia independencia
AGAINST	doncs rabo fotre junqueras forn descandol imaginar arribar posarne
AGAINST	sindicar classe lluitador abaixar #fetsnoparaules aixo reconèixer tascar #votaccoo #ensplantem
FAVOR	doncs trigar donar comptar collonsovaris cobardia desobeim elecció #omplimstjaume #noatot #autoconvocat #puigdemontpresident
AGAINST	denunciar organitzemnos actuar #vagam #mcadadia #ensplantem feminisme treballar
FAVOR	nòmer romandre amorosament organicament lligar poblar acostumarse obtenir politica voler poblar donar home carn feina il·lusió barri comarca coperatives entitat
AGAINST	@valtonyc urna convidat #diada #diadarac
NONE	diu guiar documental dahir
FAVOR	#feixisme intentar avançar suportar l@hotelalimarabcn feixisme combatre carrer
FAVOR	pero independencia lhaurem daconseguir daltra maner quin pero judici laconseguirem
FAVOR	aixi feixisme podra tenir cabre republica català
AGAINST	viquipedia recollir catalunya independent
FAVOR	hola imobiliaries igual presentar #larepublica primer imobiliaria etica independentista #ecologica #catalunya tot benefici dedicar causar social mediambiental suportar #republicacatalana
NONE	#demarç #noconsento quan mite invisibilitzen realitat sap #dinamarca pais reconèixer pioner igualtat generar presentar indexar violacio alt deuropa aqui explicar
NONE	marchena rebutjar reunirse observador internacional proposar pels independentista
AGAINST	avui quin honorar dir seriar aconseguiriem votariem pero urna junt protagonitzar lexercici dignitat democratica granar historiar urna problema solucio
AGAINST	catalunya prepubliketa pdiu mentir etcètera
FAVOR	#judicialesurnes conseller mobilitzacio protestar detenció gent considerar arbitrar vostes parlar tumulto instrumentar coactivo dret manifestacio #freetothom
FAVOR	escoltar srmillo primer demanar disculpar ferit despres acusar datacar #fairy #judicifarsa #judicialademocracia octubrar març
AGAINST	doncs mirar voste trobar interessar piular evidenciar fer raó partidista partir identitarineonazi programari lliurar voste tindriem conversar milió linies programari lliurar
AGAINST	governar generalitat complice cdrs avui caos
FAVOR	#govern pas necessari tirar endavant #pressupostos euro destinar politiques social comú renunciar milió deuros salut educacio afer social #parlament
FAVOR	ell maig agredir platja #canet personar defensar creure reclamar llibertar pres politics tardar militar rebre centernars damenaces morir
AGAINST	enhorabona tot gent raval lluitar guanyar #capalamisericordiaja
FAVOR	que estas fer rosar seure cansar dacord pero pot seient blanc per perque distorsionar normalitat #noespot #diada
AGAINST	ahir tenir segon trobar taular dialeg aquest necessaria portar judici infamar shauria produir catalunya respondre lexcepcionalitat dialeg ampliar majoria
AGAINST	bonic foto jornada benvingut noure activista presenciar d@adacolau cada #sumemperguanyar
FAVOR	bo tothom estar portar duna setmana calent #tardorcalenta començar descansar omplirnos forçar agafar determinacio capaç #omplimsantjaumes demanar festiu feina
FAVOR	pero manar mosso escoltar golpista choni poligonera poblar damer mosso
FAVOR	avui lestat voler provocar atemorir aturar referendum sortir carrer impedir tocar defensar mandat popular viure poblar catala #organitzemrepublica
FAVOR	lligar futbol professional espanyol evitar partir gironabarça jugar miami primavera convertir reivindicacio anhel politics catalunya
FAVOR	quin rabia fatxa #faqsforojuecestv urna arribar rabia envejar vegada #acampemastjaume mateix victoria final seguir #omplimsantjaumes
AGAINST	anda mirar madrid vestir amarar tiempos revueltos ferse passar pelayo asturiano semblar republica realitat nacionalista
FAVOR	escurçar politica politic disposar sempre parlar politic ser tendencia ser lunic demostrar disposar tenir argument mantenir dialeg sino thas
FAVOR	catalunya sera tombar feixisme #omplimstjaume
AGAINST	creure discutir catalunya existir fracturar dividir poblacio comprar normal aixo comprar normal parlar
FAVOR	resumir independentisme independentisme hiperventilat lautonomisme vida lindependentisme creure laltra banda anomenar hiperventilats sentir dirtho autonomista
AGAINST	castellvi quedar malament deixar evidenciar comandament politics instrumentalitzar interès
AGAINST	#judicio #judicialademocracia
FAVOR	persona requerir informacio lactar presentacio llei referendum juliol facturar euro abonar
FAVOR	mande creibles fiable unic poblar nostre #presidentpuigdemont #puigdemontpresidentja
FAVOR	estar protegis dema casa republica davant lanunciada arribar descamots ultrar espanyolista encapçalar larrimadas prou castigar lexili tolerar actitud menyspreable gent malalt dodi #freetothom
AGAINST	referent proces prendre politic assassinar policia
FAVOR	politics incompetens poblar tirar carrar sortir endavant preguntar ser meucas portar pais endavant servir mirar joieta omnipotent tardar campuzano pascal aixo gobernara
FAVOR	pedro sanchez balsam societat català
FAVOR	sempre agradar jugar actitud manifestació dedicar pres politics victoria bernabeu ladmiri profundament coratge compromis pais enhorabona girona
AGAINST	absolucio sera injusticia
FAVOR	aixo aquest objectiu imediats lindependentisme parer perfectament assolible climax emocional suposar judici pres politics soler depen jo
NONE	#agendacccb avui lassagista cineasta lagitador cultural franco berardi dialogar voltar consequencies emocional sesdevenen viure digitalitzar viure travar duna pantalla
AGAINST	lactivista adria carrasco acusar rebel·lio terrorisme desaparèixer dabril brussel·les
AGAINST	preguntar governar politica industrial moment saber quin valoracio pactar nacional industriar neixer duna resolucio #parlament quin estrategia governar
FAVOR	democrates combatiu lluitar llibertar valer dret crear nacio abandonar lluitar #nosurrendercat #alcemnos
FAVOR	ciutadanaia catalunya poder decidir democraticament referendum doctubre delicte referendum paisos democratics solucio politica progres social #empresoneneldebat
