LABEL	preprocessing_A
AGAINST	este juicio precioso tirar lado culpar demas defender chulerias politicos otro salvar pellejo enterar nada aplaudir
AGAINST	mayoria catalán quedarnos huerfanos politicamente lacrar democracia libertad habitante largate dejanos vivir
FAVOR	periplo familiar preso politicos minuto cristal
AGAINST	nieto forzar minimo imprescindible querer agradecer valentia janietob #juiciodelproces defender labor policia guardiacivil #orgullososdenuestrapolicia
FAVOR	amigo dejar seguir poner perfil votar insultar pedrosanchez psoe hacer amigo hilar amigo navarro independentista discutir independencia
FAVOR	maldito monarquia medieval wahabita #saudiarabia hambrear poblar #yemen maldito monarquia moderno corrupto #españa suministrar armar maldito sionista #israhell yankee #eeuu marioneta #ayudahumanitaria
AGAINST	votar prohibir tribunal constitucional incumplir saltarse ley constitucion español apartar saltarse estatut ley parlamentar cambiar arbitrariamente funcionalidad transitoriedad delito
AGAINST	tractorianos procesar llevar dodotis puesto pobre iluminar republica collons republica existir idiota #equiparacionya
AGAINST	españa españa ciudadano querer españa feminista igualdad oportunidad españa prosperar ecologista españa irse querer irse #laespañaquequieres
FAVOR	despues bernabeu barcelona madridista insultar culé presenciar partido politicos preso hacer caso merengue malo ganador perdedor volver animal rastrero
NEUTRAL	triomf conocer sitiar friki
AGAINST	@rfecaza reune presentar #lacazatambienvotaespaña trasladar absoluto compromiso #caza institucion federativo refrendar #lacazatambienvota #españa #laverdaddelacaza
FAVOR	engañeis anoche berbenabeu tactica estar hispanico desviar atencion farsa juicio preso politicos bueno sedicios@s rompepatrias putaspanya fascista quedar
NEUTRAL	venezuela entero millón mayoria protestar maduro imagenes impactante multitudinario apoyar oposicion guaido perder
AGAINST	#felizjueves independentista chocar histeria fairy escribir gabriel rufian informar
AGAINST	#siguemeytesigovox gracia participar seguir retuitean seguir seguir escribir tuit hashtag #siguemeytesigovox #porespaña #españaviva #eleccionesvotoderechas
FAVOR	haber herir recordar policia pegar recordar referendum lego pues españa grande libre santiago españa democracia claro franco vivir
AGAINST	izquierdo necesitar enfrentar sobrevivir luchar declases generar dividir enfrentar gobernar politicos frenais espiral odiar rencor tardar
AGAINST	vivir golpista amigo asesino fascista delincuente inutil secesionista incitador odiar violencia hipocrita demagogo diputar congreso lindeza pagar €año rufian tela
AGAINST	nazi apartheid militar guardia civil constitucion catalán
NEUTRAL	acabar privilegio franquista punto torrar presentar sanchez
NEUTRAL	diez frase turull juicio proces exconseller asegurar buscar referendum pactar
FAVOR	envolver bandera patrio saquear patrio defender querer subir salario minimo pensionar regular preciar alquiler bajar recibir blindar sanidad #lapatriasonpersonas
AGAINST	verguenza persona absoluto fascista verdad criminal merecer tipo homenaje consideracion decir batasunizacion independentista catalán pasar cortar
NEUTRAL	vagabundo foda cria
AGAINST	disfrutar juicio golpista catalán lote ⁦@pigdemont⁩
FAVOR	este trampa fairy pero preguntar generalizar brotar alergia sufrir agente atacar armar quimica cdrs #millo #judicifarsa #fairy
FAVOR	directe repren judici declaracio jose antonio nieto numerar zoido puigserver responsable interior aixo promet
NEUTRAL	apoyar generalitat devolver papel salamanca tambien pedir hacer entregar separatista querer romper unidad españa
AGAINST	asco gobierno sanchez acceder exigencia golpista nombrar mediador tratar maquillarlo hablar relator mesa partido
AGAINST	para solucionar problema cataluña solucionar problema españa emplear educacion #lnarrimadas #graciasines
FAVOR	#relatorarv cosa cierto indepes aumentar pasar ligero cuanto peor mejor
AGAINST	esperate siguiente mossos jaume fechorias comisario politicos cabo cuerpo policial primo obediencia juez
FAVOR	este chulo puto analfabeto pactar derechona convergente mañana golpe democracia imaginar nazi hormonado peor sueño
FAVOR	creer tajani poner riesgo libertar expresion europa #tajanipuppetoffascism
AGAINST	gustaria obra tipo pueblo restar españa diana quim torrar procesar armaria indepes
FAVOR	reconocer referendum legal homenajear agente violento armar atacar ciudadano propiedad privar motivar alguno
FAVOR	ultrafachis sabiamos juicio farsa tambien preso politicos inocente dudar pero haber fiscal memo ridículo #joacuso #devastados #thisistherealspain #marcaespaña
AGAINST	soberbio indepes limitar suponer señor jurista
NEUTRAL	queria nesse momento
AGAINST	despues negativo independentista aprobar presupuesto socialista catalán pedir elección torrar
FAVOR	quizas tratar desprestigiarla constitucionalista negar derecho alcaldesa negar constitucion negar democracia
NEUTRAL	bolsonaro seguro exoneração bebianno novela fritura ministro segue marchar
AGAINST	desde avanzar plan estrategico #ayudahumanitaria #feb aprobar iniciar fase atencion crisis salud desnutricion severo ciudadano ongs iglesia comunidad internacional militar vzla necesitar todo #vamosbien
AGAINST	descortesia #colau simbolos nacional monarquia bandera vergonzante impropio cargar activista independentista #yoconbou
NEUTRAL	situacion #venezuela concertar venezuela live
FAVOR	españa este cagar partido europeo planificar accionar conjunto favor cataluña respaldar abrir preso politicos
AGAINST	mucho ciudadano salir vosotros harto politicos utilizar guardiacivil policianacional victimar propiciatorio calmar infulas socio secesionista arriesgar vida hombre seguridad ciudadano
AGAINST	quizas democracia venezolano comian perrarina aunque anecdota mediatica repetir tirania negar #hambre muerte falto comer #comunismo #diamundialdelaalimentacion caricaturar
AGAINST	bernardhenri levy puigdemont escupir caro españa democracia europa
AGAINST	padecer cinismo manipulacion mentira utilizacion resorte estar favor partido #psoe siempre inconsistencia
FAVOR	amargar machismo corrupcion fascismo abusar infantil iglesia pobreza pero ver perfil pintar subdito mafia estar esperar llegar momento pedirle poblar
FAVOR	partido independentista cargar presupuesto pasar gobierno derecho acusar gobierno pactar independentista alguien explicar
AGAINST	esloveno decian incapaz levantarse hora andaluz tócate peineta #eleccionesvotoderechas
FAVOR	represion caracteristica estar borbonico aceptacion plurinacionalidad españa generador independentismo
FAVOR	lastimar unico pedian partido catalán poder aceptar socialista diálogo #thisistherealspain
AGAINST	comentar retuitea ferran burriel pagar trabajar quejar reformar laboral #lasilenciosacat #juiciogolpistas #tabarnia
NEUTRAL	alegato politico junquera pragmatismo forn admitio ilegalidad vacuidad ilustrar disenso independentista #opinion
AGAINST	golpista prision traidor prision ideologia generar violencia generar corrupto prision español primero vida trabajar ayudar resurgir ciudad fantasma talavera transformar ciudad vida
FAVOR	pedir dimision sanchez dialogar cataluña apoyar robar arca publicar todo orden #sanchezdimision
NEUTRAL	español mujer lograr campeonato mundo motociclismo mundial supersport
NEUTRAL	gente bloquear enfadar cosa
FAVOR	borrar video traicionar subconsciente popular #siemprepsoe #votapsoe #abril #laespañaquequieres
AGAINST	deber creer dominar seguro suponer dominar magnificos politicos para intmidad decia aznar poquito cosa
AGAINST	españa golpista oriol junquera declaracion confundir amar amenazar recordar amenazar economia español tambien amar españa farsante
FAVOR	president puigdemont encontre disposicion dialogar absoluto receptividad rajoy ningun mostro proactivo encauzar temer basura periodistica
AGAINST	#cuatroaldia cartel constitucionalista exigir ayuntamiento olot retirar mural hablar mosso desquadra obra arte juzgar artista
AGAINST	intolerante supremacistas educar fascismo realmente politicos independentista aprovechar ignorancia persona ponerlas escudar mostrar verguenzas
AGAINST	jxsi pagar euro celebrar acto presentacion referendum
FAVOR	curioso españolista insultar faltar respetar menospreciar indepes indepe practicamente mismo sentir ofender
NEUTRAL	independentismo mes enclaustramiento tomar partido verdaderamente terrible esperar volver esquinar
AGAINST	mossos avisar puigdemont escalar violencia
AGAINST	independentismo frenar actividad parlamentario juicio proces
NEUTRAL	tomar caminar inesperado
AGAINST	como recibir ines arrimar cibertrol toni alba decirnos humor vestir criticar citar
NEUTRAL	deber maduro cubano ir poder borges grupo limar
NEUTRAL	maior brasileiros quer escolas tratem gênero sexualidade pesquisar encomendar pelar divulgar hoje pelar mostra favor ideia defendem isso seja ilegal bolsonaro você errar
FAVOR	tierra natal adoptivo sentir ligar humano vinculos juridicos historicos afectivo #lapatriasonpersonas bandera #lapatriasonpersonas frontero persona razon bienestar mantener unir
AGAINST	escuchar juicio mirar sanchez bancada independentista completar voto necesitar investidura serio ininteligible
NEUTRAL	estimar aquest home
AGAINST	independentista cabrón escoger resto serie español respaldar teorias geneticas torrar valer
AGAINST	todo unir contactar construir #redporespaña hacer seguir retuitean seguir seguir escribir tuit hashtag #siguemeytesigovox #porespaña #españaviva apoyar seguir abrazar todo
FAVOR	miquel iceta octubre semana rebelion tuit violencia generar
NEUTRAL	bailar nois midia bailar meno marola aperta balão acende puxa prender solta numa copao wisk redar outra lança perfumar
FAVOR	españa separacion poder clasicos legislativo ejecutivo judicial separacion monarquiaestado separacion iglesiaestado independencia medio llamar democracia pleno
FAVOR	exconsejero independentista creer acusar desarrollar defensa correctamente
FAVOR	cuando acabar juicio supremo juicio democracia español caera caro verguenza gente inocente catalunya perdonar
AGAINST	edificio publicos neutral representarnos todo pensar catalán independentista bestia formar humano sorprender #institucionesparatodos
NEUTRAL	momento barcelona catalunya movimiento social expresar rechazar golpe estar imperialista venezuela respaldar poblar bolivariano presidente gracies companys vencerem sempre
NEUTRAL	juicio reanudar declaracion enric millo coronel perez cobos siguelo directo catalunyapress #juicioalproces #juicioproces
NEUTRAL	directo perez cobos considerar plan mossos actuacion impedir celebracion referendum
FAVOR	entrevistar ferran monegal roures comprar periodico convertirlo independentista
NEUTRAL	pasar fronterizo venezuela colombia soldar fuerza armar venezuela desertar esperanzar oposicion venezolano
FAVOR	sera tienencomo servir cuestionar honor concienciar estorbar hacerte millonario causar alegria descubrir politicos poseer
NEUTRAL	guaido responder decretar presidencial anular clausurar instar militar facilitar entrar ayudar humanitario
AGAINST	pobre indepes cuan falto realidad estais
AGAINST	desear alma ganar elección ayudar poder ganar policia velar idear compartir proteger pais hasta luchar españa ️ #siguemeytesigovox
AGAINST	decir #adiospedro nacer salio elegir primario partido pactar independentismo acabar presidente prudencia memoria poder dios votar sacarnos cancer encimar
FAVOR	joder enterar juicio medio internacional caso haceis catalán para derribar regimen empezar #republicacatalana derribar monarca
AGAINST	año honradez año golfo ladrón dimitir #eleccionesvotoderechas
NEUTRAL	este cretino paular tafner instituto millennium especie pensamento econômico pelar tanto empregada domesticar aposentar medio ano patroa tolerante essa gente muita canalhice junto
AGAINST	debilidad sanchez separatista dejar aplicar seguir volar falcon
AGAINST	zapatero gravar aceptar estatuto ilegal romper pactar constitucional pagar consecuencia pero peor moncloa obedecer instrucción golpista profugo waterlo
FAVOR	ilegalizar querer preso picar piedra embargar calzoncillosa beneficiar gansters
AGAINST	#bondia puigdemont hijo secretar buenaventura durruti caso dignar investigador intrepidos ignasi popla novela negro misterio gintonic chocolate belga editar desafinar boks #felizlunes #objetivopresidente
FAVOR	operacion casa real felipe aseverar democracia españa falacia tomadura pelar nombrar mentira apllico cataluña juicio preso politicos catalán engañar fachado falacia mentira sostenerse
AGAINST	bueno agotador españa jonqueras acabar afiliar #larepublicanoexisteidiota
AGAINST	david torrents mozo escuadrar excedencia postular alcaldia badalona partido puigdemont
NEUTRAL	queria sexo desses agora
AGAINST	figaro como cataluña volver loco independentista catalán sectario inglés brexiters liga italia
FAVOR	argumentacion unionista puto bandera ilegal vayense mierda australia
FAVOR	seguir esperar liberacion rehén estar secuestrar lledoners puig basses denric #freetothom #llibertatpresospolitics
FAVOR	tildar viajar arrimar waterlo numerito cobarde
FAVOR	hijo ernest lluch acercar preso carceles vasco
FAVOR	club formación encontrar caminar abonar crecer propagar mentira independentismo catalan puerta institución cerrar editorial
FAVOR	cuando condenar persona sabiendas #estrasburgo condenar reinar españa #justicia estar vengativo autoritario sacar callar juzgadxs #altsasu #bateragune #catalunya
FAVOR	#relatorarv menudo papel psoe apoyar facha exigir manar duro catalunya acusar antidemocratico dialogar haberse producir tardar
AGAINST	creer republica segundo decir pequeño nicolas
NEUTRAL	directo funcionario oponer tipo resistencia aplicacion insistir
AGAINST	puigdemont cargar socio prision con declaración agravar situacion este para puigdemont independencia validar alegar simbolica guerra servir #jovesscc
NEUTRAL	jdjsjsjss verdade lamentar
FAVOR	punto escribir dudar democracia participativo restar punto repetir sentimiento nacionalista tanto renunciar doblar nacionalidad burocratica
AGAINST	detallar pasar audio intervencion arrimar casa pepa bueno quedar claro estafar monumental politica snchz dar legitimidad gobierno racista legal
FAVOR	preso politicos rehén fascismo judicial español pasar pasar accionar versar mediatizar ellos
AGAINST	domingo convocar manifestacion plaza colon madrid cesión independentismo gobierno pedro sanchez este partido defender constitucion estar derecho #eleccionesya
AGAINST	problema secesion aqui haber cataluña formar españa simplemente burdo intentona desestabilizar estar violar constitucion caso fallir perdedor enjuiciar
NEUTRAL	arrimar reunira puigdemont waterlo
NEUTRAL	habitacion muerte alto tecnologia abuso sexual niño menor edad pago millonario politicos enemigo enterrar vivo asesinato crimenes chapar revelar juicio
FAVOR	menos partido votar mierda pdcat actualmente cagar inservible independencia crida valiente mandar distanciar
FAVOR	anoche llevar cuanto crear independentista rajoy repasar ley vigente español proxima
FAVOR	quereis decir españa querer vendra manar prometer cambio urgente urgente listo evasor amnistia fiscal derogar mordaza reformar laboral lomce votar rogar #laespañaquequieres
FAVOR	excluir nacionalismo catalan sobre criterio nacionalismo español excluir nación componer españa reconocer
AGAINST	jose antonio nieto mossos manifestar voluntad cumplir mandato judicial referendum desconvocar
AGAINST	politicos golpista favor reirse cosa serio haber violencia imaginación proces pacific democratic luego fascista saber
FAVOR	florentino perez favor independencia cataluña unica formar ganar liga decir
AGAINST	millo dedicar puigdemont olvidar planteamiento suicidar referendum
AGAINST	#video actuacion mossos holgar desquiciar separatismo pegar urna
AGAINST	movimiento independentista catalan obtuso continente europeo ahora
AGAINST	idear feminazis para feminista simpatizante proponer matar beber recien nacido #eleccionesvotoderechas #yoconespaña #fuerachiringuitosdegenero #yonovoym #femininineciassinfronteras #nohablesenminombre #equiparacionya
AGAINST	llamar participar elección preso politicos blanquear estar opresor mundo verguenza deberia comportarte vulgar colaboracionista prou
FAVOR	estar hartar fanatismo patrioticos ser todo finalidad convertir politica arte engañar gente hacer olvidar principal problema todo nacionalismo dictadura pensamiento incapacidad mirarse mismo
FAVOR	igual medio comunicacion poner indepes euskadi cataluña elefante blanco emepuntorajoy ejemplo
FAVOR	joaquin sabino pregon carnaval colmar cadiz torrar puigdemont artadi sudar deducir abascal rivera casado sudar nada izquierdo progre
FAVOR	defender indefendible #judiciproces grupo anciano agresor uniformar porra pegar españa juicio perder honorabilidad cataluña
AGAINST	grande luchar coraje españa unir democracia catalán interno autonomia
FAVOR	colonoscs fijaos liderar seguir ejemplo contar volvais pueblo podreis instalar voyage #republicacatalana #ciudadanoscs #colonoscs
AGAINST	concentracion cataluña infame listo esperar sanidad cerrar cama hospitalario tasar universitario caro españa brutal recorte generalitat favor golpista dolors bassa ahora afiliate
AGAINST	personal viejo politicos respetar persona politicos retirar pasar generación toxico mariano rajoy españa pasar generacion
AGAINST	alquiler ines arrimar hipotecar casa irene montero porque aire pagar €mes hipoteca pues verdad medio
FAVOR	durisimo editorial diario britanico independent condenar causar preso politicos catalán ultrajar derecho humano terrible error
NEUTRAL	candidato pdecat insistir diferenciar compromiso politico referendum actuación policial
AGAINST	llenar escenario niño estelado colgar capar foto pancarta publicar adudulto poner corear libertar preso politicos definir este
FAVOR	diras reves quien respetar simbologia curiosidad poblar cunar democracia donde formar ejemplar tolerante
NEUTRAL	dato listo forbes social remontar mercar bursatiles sufrio fuerte caida
AGAINST	recordar director punt girgo xirgo decir anunciar referendum sacar internet enviar insertarlo valiente cobarde juez
FAVOR	diselo medio indepes indepes
FAVOR	franquismo durar puro descendiente heredero facismo genocida valer democracia democracia ciudadano frenar cortijo querer sumision desmán vivir ellos
FAVOR	palabra común diccionario #neolenguaespañolista adoctrinamiento todo indepes adoctrinar legalidad santo sagrado unidad españa
FAVOR	conocer carcel golpe octubre ver tardar amnistiarlos
FAVOR	pues mentir liderar indepes pasar fatal sentir
AGAINST	#fakenews cuperas cuanto odiar montaje estan acostumbrar vivir erario publicar posibilidad perderlo madrugar ganarse cosa
AGAINST	rajoy declarar testigo juicio golpista febrero
FAVOR	conseller referendum apelar democracia respetar nombrar anarquia este proponer consecuente dimitir tendencia anarcocapitalista libertar primordialmente negocio
FAVOR	poder reir querer seguro final año quedar fascista seguis injusticia cataluña independentista martires reireis
AGAINST	mientras arreciar criticar sesudo analista politicos normalmente asustarian politico español multiplicar whatsapps posts facebok twitter contar porque creer puto madre joder cabrón
NEUTRAL	padre expulsar pelar papar estuprar exfreiras elogiar eduardo bolsonaro
FAVOR	este vivir este democracia tener encarcelar rapero injuriar coronar principiar libertar expresion presunto corrupcion emerito investigar porque compartir
AGAINST	imponer masoquismo catalunya politicos indepes optar largar durar millón catalunya palo totalidad poblar catalan indepes constitucionalista cobrar afecto
FAVOR	huerfanos politicos vision estrategica doce participante consultar crida preguntar convocar consultar
FAVOR	violencia nudo europa parar pope economicos quemar telefonos merkel macron tusk juncker ciatica sanchez dira golpe estar rotar convivencia constitucion verdad
FAVOR	sabado atochar cibeles madrid movilizar represion poblar catalan libertar todxs presxs exiliadxs politicos derecho decidirlo todo #llibertatpresospolitics #nohaydemocracia #autodeterminacionoésdelicte
AGAINST	prometi este esplendor pablo iglesias justificar muerte iran cambiar dinero cambiar politico manar chavez maximo #eleccionesvotoderechas #siguemeytesigovox
FAVOR	independentista catalán gente sufrir atentar llorar victimar solidarizar confundir pacificos unica violencia venir guardia civil policias
AGAINST	bipartidismo aprender nacionalismo casado cometer error pactar pujol convergencia leal cuponazos regalar #ppsoe conjuntar español abrir etapa
FAVOR	aqui resumir politica #trifachito aplicar continuo generalitat aplicar continuo erario publicar aplicar articular lomu andaluz sentir peticionar clase popular
NEUTRAL	marchar multitudinario oposicion numeroso ciudad multiplicar repudiar usurpador
FAVOR	oriol nunca oido documentar enfocats parecio documentar extravagante #judicitvcatradio
AGAINST	manel castellvi exjefe informacion stasi heterogeneos transversal tejer asociativo nacionalista espiar ciudadano constitucionalista falto hermanitas caridad
AGAINST	proetarras advertir pedrosanchez llave gobernar este votar psoe golpista proetarras chavistas frente gobierno españa
AGAINST	mañana brusela gobierno españa hacer prensar internacional ocurrir cataluña importante mensaje constitucionalista llegar europa #lnarrimadas
AGAINST	querido elsa hablar forcadell virtud extremera desafiante verias verdadero llenaros bolsillo pamplina independencia creeis vosotros engañar bobo
AGAINST	parecer orgulloso amenazar turnar palabra pleno distrito mientras afilar colmillo utiles ciudadano seguir trabajar sociedad barcelonés catalán español europeo #nonoscallaran
AGAINST	lazar preso simbolo independentista aixo democracia cuento indepes progre tragar enteritos
AGAINST	donde societat civil catalán plantar caro nacionalismo titubeo ahora rendir piessiguiendo indicación eliseo fomentar cordon sanitario cataluña seguir vuestro
AGAINST	alarmar ciudadano cesión sanchez separatismo
AGAINST	loco siempre verdad testimonio ayer exsecretario nieto letrado parlament secretario mesa tumbar defensa golpista bendecir ayer detallar hecho formar claro
AGAINST	indepes tanto aixo democracia querer comprar discursar hacer
AGAINST	para seguidored votante seguir todo tener unir fuerza derrotar enemigo españa comunista golpista etarra seguir #yovotovox #siguemeytesigovox
NEUTRAL	disse frotar voluntariado invadir venezuela
FAVOR	pablo hasel solidaridad abimael guzman preso politicos peru
FAVOR	casado llamar sanchez felon peligrar continuacion democracia españa terminos justificar acto violentar producir sanchez salvar nacion
FAVOR	einstein barcelona año nacionalsocialista campalans llamense catalanista golpe estar posmoderno decir
AGAINST	jajaja podemospartido sacar perezreverte poner ocupar portavoza cuanto inculto demagogo payaso andar vestir morar #eleccionesvotoderechas
