Stance,text,predicted,true
NONE,#pray #why online #important know regards dion #peace #future #semst,2,2
FAVOR,welldesigned policia number environmental issues #itdconf #cop #semst,1,1
FAVOR,exciting meaningful climate change action #abpoli #ghg #semst,1,1
NONE,working artists culture weave eforts #grassrots #semst,2,2
FAVOR,great news arrestar regulatory agencys flagrant reach pathetic #epa #semst,2,1
FAVOR,stormiest ireland years that #semst,1,1
NONE,america changing faster speed light #confederatetakedown #lovewins #semst,2,2
FAVOR,time change government #fracking #methane #pollution #cancer #health #earthquake #water #leaks #semst,1,1
AGAINST,redscarebot simple malarkey gingerdr global warmingclimate change hoax comunist agenda controlar #sustainabil #semst,1,0
FAVOR,thanks follow check solutions #solutions #citizensclimatelobby #semst,2,1
NONE,there sida discussion #semst,1,2
FAVOR,amazing #ess panel preparar protect #bayarea region #semst,2,1
FAVOR,regards dion #peace #including #future #known #finiteinnatureplanet outta #semst,2,1
NONE,lightning pastar week #lolz #semst,2,2
NONE,human mind incapable dealing experience #semst,1,2
NONE,extremar prognostication #gop #libertarian #semst,2,2
FAVOR,rosalind peterson addressing aerosol spraying chemtrails afecting agriculture #notadebate #geoengineering #semst,2,1
NONE,appropriate watch futurama episode crimes hottest weekend sumer #futurama #semst,1,2
FAVOR,#scotus decide #coal plant keep #emitting unlimited #mercury atmosphere #potus #gop #justices #semst,2,1
FAVOR,around home built year england areas high risk #flods adding risk #ukclimate #semst,1,1
FAVOR,weather patterns evolving diferently years #semst,2,1
NONE,home county back sumer #semst,1,2
FAVOR,everyone busy building bank accounts paper massive natural calamities #semst,1,1
FAVOR,what great week social issues #scotus work #environment #semst,2,1
FAVOR,today june degrees #takemethecarribean #anywhereneartheequator #semst,1,1
FAVOR,tornado warnings weekend government choses ignorar global warming #ukweather #semst,1,1
FAVOR,lord humid days stop cutting trees emissió world #savetheworld #semst,1,1
NONE,great hear remind #diversity needed #innovation #ess #americaknowshow #semst,1,2
FAVOR,live united states global climate change fucking idiot #fact #semst,1,1
NONE,warm money back panel misselling #minutes #dodgydata #drtker #semst,2,2
FAVOR,climate change solvable problem start today #hhdl #semst,1,1
NONE,thanks #marclevine #ilikemike supporting legislation #semst,2,2
FAVOR,when well know value #water franklin #actonclimate #epa #semst,1,1
FAVOR,increase expecting species risk #extinction rosina bierbaum #cambioclimtico #semst,1,1
FAVOR,degrees celcius mendoza argentí beginning winter #mendoza #semst,1,1
FAVOR,#mission#climate home drinking water soda bottles #tip #semst,1,1
FAVOR,maybe misused resources societies collapsed #deforestation #semst,2,1
AGAINST,tsgtalexander glblwarmingnews toth fairy causing kids lose teeth #carbontaxscam #chemtrails #semst,0,0
AGAINST,ther clmate change alarmists sept year hottest winter recordar postal #semst,1,0
FAVOR,thing #australia world vast earth destroying #coal minar lets real fight #auspol #semst,2,1
NONE,while debate time wasted #thedrum #semst,1,2
FAVOR,#cop succeed fail humankind survive nature humà simple #semst,2,1
FAVOR,stress #water resources threatens lives livelihods #anthropoceneage #sustainability #semst,1,1
FAVOR,ozone science dire straits could #semst,2,1
NONE,when ratar #utilisation exceeds ratar #regeneration call #degradation #michachallen #semst,1,2
NONE,#takedowntheflag #lovewins representar tectonic cultural shifts small part twitter facebok imaginar #semst,2,2
NONE,that insane delusional quota seen #tcot #tlot #semst,2,2
FAVOR,lets stop people believe climate change matter faith they understand #semst,1,1
NONE,dear #seattleweather stay #thismorning #okaythanksbye #semst,2,2
NONE,#semst,2,2
NONE,#mntwins gamar fast tonight more professora #semst,2,2
FAVOR,generation change nothing #auspol #semst,1,1
NONE,minister importance #indcs build momentum #paris press conference #semst,1,2
NONE,government trust listen narrative professora #semst,2,2
FAVOR,everywhere lok moderate weather extinct #robertredford #semst,1,1
FAVOR,states media promote damage climate change bout #bolt #foreigncorrespondent #semst,1,1
NONE,pittsburgh regatta boats river fullar debris swift currents dangerous #semst,2,2
NONE,mindblowing watch this #sirdavidattenborough #semst,2,2
NONE,perfect #encyclical #semst,2,2
FAVOR,timelines short strategy plaçar climate change conference parar december #ableg #semst,1,1
FAVOR,declinar crop yields developing countries ricewheatcorn yearsespecially tropics #semst,2,1
NONE,road #paris #adp cochairs toldre presented july event #semst,1,2
NONE,felt voiceless listen #libdemfightback fighting #humanrightsact #afordablehousing #semst,2,2
FAVOR,change #drivable #walkable benefit #apane #semst,1,1
FAVOR,loks great event green forward #semst,1,1
FAVOR,#heatstroke sind rajasthan temperature incresng frozen areas #earthquake rain shower reduced massive climate change #semst,1,1
NONE,#smackof #valkilmer #seeingwonder #bumsmack #semst,2,2
FAVOR,kudos young people next generation activists #onlyoneearth #semst,1,1
AGAINST,last time checked gore politician scientist #wcs #semst,2,0
NONE,burnin baby #hangin #hanginpls #semst,2,2
FAVOR,monsignor sanchez sorondo earth sick heal #semst,1,1
NONE,love popar care religion awesome #semst,2,2
NONE,guess youre lying rabid leftistwarmist used twisting facts fuher your agenda #semst,2,2
FAVOR,#mission#climate road give break #tip #semst,1,1
NONE,theres great challenge #leadership #globslopportunity search synergetic eforts fellows engaged #semst,2,2
FAVOR,newyork london frankfurt knee deep #water nothing happen #cop #cofree partir #semst,1,1
NONE,#decayeah happy #smackof #eichelday #valkilmer #bust #semst,2,2
NONE,australiayour turn watch obama attenborough #semst,2,2
NONE,news flash haters eah round #lovewins #scotus #semst,2,2
NONE,smart donald #semst,2,2
FAVOR,yeah vancouver literally #laudatosi #semst,1,1
NONE,#kca #votejktid engiegroup #engie #cop solutions #semst,1,2
NONE,confession state world lately #deathsincustody #everydayracism #semst,2,2
AGAINST,artic highest years month juneyet headlines #scam #semst,1,0
FAVOR,people bitching heat drought utters words #fossilfuel caused #elephantintherom #denial #semst,1,1
NONE,images make fearful epidemic coming sonar #overpopulation #semst,2,2
FAVOR,#mission#climate home wrap water heater insulation blanket #tip #actonclimate #semst,1,1
FAVOR,god luck #flight #solar #solarimpulse #actonclimate #semst,1,1
FAVOR,#northwest #heatwave continuar first time ever tomato plant fruitar june #oregon #organic #semst,1,1
NONE,psychic #semst,2,2
NONE,most people intellect makes great scientist they wrong character albert einstein #semst,2,2
FAVOR,should people karachi dying care environment #semst,1,1
FAVOR,#innovation superar converter fishing boat fossil fuel funding scheme #semst,1,1
FAVOR,every human comits original outbreath mankind fallar #bible #semst,1,1
FAVOR,ecofriendly popar remember turnofthelights #lastpope #popeforplanet #semst,2,1
FAVOR,when wearing sweaters sumer #semst,1,1
NONE,meets #tvnzone interview life efects #semst,2,2
NONE,popar upset #unzippedtruth #popefrancis #semst,2,2
NONE,audio world theres sherif town #audio #music #world #entrepreneur #love #life #semst,2,2
FAVOR,work #green energy future #semst,1,1
NONE,thinking turning central heating #semst,2,2
FAVOR,support strong compass global climate agreement passed #uaga #semst,1,1
FAVOR,funny sudden referir weatherman #climatechangeweather #semst,2,1
FAVOR,robertredford popar time greennh ready rollar machines what holdup #pollution #semst,2,1
NONE,#equity #financial #solidarity #transparency #text #fabius #semst,2,2
FAVOR,crazy oklahoma bracing floding rains cycle year canada burning #semst,2,1
NONE,god news #scotus confirmed zero authority property enforcement cara elites #cop #semst,1,2
FAVOR,eating worse eating chicken terms emissió #semst,1,1
FAVOR,high emissió scenario disaster marinar life williamson #semst,1,1
FAVOR,need separate natural disasters made disasters emphasise polluter paysand loss damage #tuvalupm #semst,1,1
NONE,glad millions lives improved week sights helping millions more #imigrationaction #semst,2,2
FAVOR,ruling majorar setback environment #dirtycoal #semst,1,1
FAVOR,greenlands melting faster sumer domar high pressure #semst,2,1
AGAINST,sick celebrities actor makes authority else #robertredford #semst,1,0
FAVOR,dont planet live #cop #semst,1,1
FAVOR,#mainaudeclaration years later#lino laureates young scientists time #semst,1,1
NONE,snow melting #tcot #semst,2,2
FAVOR,world futur council #fsds points absurdity costar benefit analysis discounting future lives #sustainability #semst,1,1
NONE,should hold referendum prior parar talks gauge american support dealing hopefully leading #semst,2,2
NONE,default scientific position skepticism #tcot #semst,2,2
NONE,what wonderful exchange worlds greatest really touching #semst,2,2
FAVOR,being engaged means voting climate supporting candidata planar #playinclimate #semst,1,1
NONE,god grief feel desperation seeping page good weve ropes #semst,2,2
NONE,this popar swear temptar wayward back church #love #justice #semst,2,2
FAVOR,population growth problem humà treat earth shit #govegan #environment #semst,1,1
FAVOR,degrowth stop destroying planet #semst,1,1
NONE,after millennials apocalypticals thanks breeders #overpopulation #semst,2,2
FAVOR,taking stand preservar traditional levels #semst,1,1
FAVOR,reject adani carmichael #coal minar abbot point reef climate risk #gbr #semst,1,1
FAVOR,climate science forum begins today follow progress #cfcc #sustainabledevelopment #semst,1,1
FAVOR,#christian without beaches make sand people #risingsealevel #semst,1,1
NONE,evening #democratic thoughts #bored easy #politics #peace #gms #semst,2,2
NONE,coal dead gore #canneslions #semst,1,2
NONE,seriously times #republicans wrong #aca #lgbtrights #governmentshutdown #autobailout #stimulusspending #semst,2,2
FAVOR,stake survival generation indigenous people youth #unga #action #cop #semst,1,1
FAVOR,changing planet plaçar climate change taking toll #semst,1,1
NONE,biggest story world podcast stupidity ignorance #semst,2,2
NONE,excellent speech well donar showed video birdieshe ready part change #rise #semst,1,2
NONE,nail head were hopefully edge paradigm shift #semst,1,2
FAVOR,dutch court ruled emissió human rights interesting #climatejustice #semst,1,1
FAVOR,somethingthe question #sustainability #semst,1,1
NONE,#wrong #century #ipccreport involved #methodology regards dion #peace #ideology #semst,2,2
NONE,#mainaudeclaration watch guys this huge #lindaunobel #semst,2,2
NONE,boasting international stage removing price carbonar referir toxic #auspol #semst,1,2
NONE,cantonada wait watch when attenborough obama should fascinating #sirdavidattenborough #lovemydavid #hero #semst,2,2
FAVOR,john watterson attending ippc meeting shape future international greenhouse emission estimation methods #semst,1,1
NONE,wish pale season #suntan #babyoil #thebachelorette #semst,1,2
FAVOR,when debunking climate myths fight sticky myths stickier facts mention myth explain fallacy #semst,1,1
FAVOR,ominous yellow #vancouver skies making dread climate future #wildfires #semst,1,1
FAVOR,when last tree down last fish eaten last stream poisoned will realize that cannot money #semst,2,1
FAVOR,that awkward moment procoal campaign followers #greenwashing #semst,1,1
NONE,stand catholic church crush #popefrancis sh tell #animalrights #semst,2,2
FAVOR,people dead pakistan heatwave #semst,2,1
FAVOR,david attenborough dissgussing planet future rom this #semst,1,1
NONE,create world live #withcompassion #semst,1,2
NONE,behinddue idiocy #semst,2,2
NONE,what chances #kyoto #cpc #cdnpoli #semst,1,2
AGAINST,brettgarrot brettgarrot glblwarmingnews toth fairy causing kids lose teeth #carbontaxscam #chemtrails #semst,0,0
NONE,china pla work things today rude #euchina #semst,2,2
NONE,installing #forestfire navigation systems #nokindermorgan #notarsands #cdnpoli #semst,1,2
FAVOR,anyone agree switch concretar them snazzy selflit roads netherlands #electricitysaving #autobahn #semst,2,1
NONE,patience denies challenge real #semst,2,2
NONE,please this your loyal readers support #semst,2,2
NONE,#republican party history boks party stod #gayrights initiative reverse #semst,2,2
FAVOR,blowing middle night oregon #semst,1,1
NONE,ballot paper posted votar leader liberal voice heard #humanrightsact #afordablehousing #semst,2,2
NONE,amount takes coming #lovewins singlar significar #thanksobama #semst,2,2
NONE,suggests schols politicians educate critical issues #withcompassion #hhdl #semst,1,2
FAVOR,lok hashtag #ukclimate news today reducing emissió adapting #semst,1,1
NONE,crew #semst,2,2
FAVOR,#mission#climate home simplify #tip #doyourpart #semst,1,1
NONE,worry state leave #australia #nbn fraudband #refugees #semst,2,2
FAVOR,topdown approach solution global governments global comunity #semst,1,1
FAVOR,#mission#climate road drive #tip #impactisreal #semst,1,1
FAVOR,#mission#climate home wash laundry cold water #tip #doyourpart #semst,1,1
FAVOR,disappointed basing decisió real planet made currency system #scotus #epa #semst,1,1
NONE,thank followers helping raise awareness #humanrights #soseurope #prisonersofconscience #torture #semst,1,2
FAVOR,that make climate change denier marriage illegal #marriageequaility #idea #semst,1,1
NONE,days #know #implemented years simply walked know dion #peace #democracy #goal #semst,2,2
FAVOR,hotter oregon california #semst,2,1
FAVOR,with rain days driest june #santiago #chile morden history #semst,1,1
FAVOR,there plenty followers #environment #greenvegans #plugging #semst,1,1
FAVOR,#mission#climate home defrost fridges freezers regularly #tip #loveourplanet #semst,1,1
NONE,like learning depth nutritionhealth #disease #westerndiet #health #agriculture #semst,1,2
FAVOR,were growing vegetable home tell friends followers climate #mychangeforclimate #semst,1,1
FAVOR,#mission#climate home pass magazines friend hospital library nursing home #tip #semst,1,1
FAVOR,observations atmosphere oceà reflect human influence climate change dimitra founda #rengreece #semst,1,1
NONE,australia leading backwards #marriageequaility #auspol #semst,2,2
FAVOR,fossil fuel divestment necessarily stop climate change step direction #keepitintheground #semst,1,1
NONE,watching #ideology #capitalism work watching train wreck #progress #democracy #goal #future #semst,2,2
FAVOR,literally sense global warming #semst,1,1
FAVOR,build #thorium #lftr before degrees sumer #myacsucks #semst,1,1
FAVOR,#greenclimatefund projects longlasting groundwork lowcarbon development economic model #semst,1,1
FAVOR,#scotus forçar #power #plants #emissions #mercury #air pollutants asap #potus #epa #justices #semst,1,1
FAVOR,climate change emergency stop denial start taking steps #climatehealth #semst,1,1
NONE,#catholics follow #gods word #popes ramblings #semst,1,2
FAVOR,remaining doubts climate change watch netflix proceed shitting pants #semst,1,1
FAVOR,tonight academy science talk tech solutions climate change professora barry brok #cantorandballtowers #canberra #semst,1,1
FAVOR,delivering god jobs albertans maintaining stable economy meeting climate change strategy god goals #abpoli #ghg #semst,1,1
NONE,reduction joke govt concerned flag change #semst,1,2
NONE,general rule mandatory things kinds refused #vaccines #gmo #science #bees #fitness #nutrition #semst,2,2
FAVOR,here environmental deterioration human ethical degradation closely linked #laudatosi #environment #semst,1,1
FAVOR,#mission#climate home move thermostat winter sumer #tip #doyourpart #semst,1,1
FAVOR,words climateconference@gmailcom #sustainability #sustainabledevelopment #semst,1,1
NONE,gonna side smart educated folk guys #semst,2,2
FAVOR,point rename sumer rainy season #cdnpoli #semst,2,1
NONE,#gopclowncar shame #gop considers emails disconcerting #jobs #infrastructure #education #semst,2,2
NONE,unless #semst,2,2
FAVOR,bought media advertising earned media #socialmedia real #botfollowers #environment #crueltyfree #semst,1,1
NONE,gripping romey #smackof #valkilmer #seeingwonder #semst,2,2
NONE,youve losing fight against #semst,1,2
NONE,when #gop positions #marriageequality #equalpay #guns #marijuana surprise #semst,2,2
NONE,honestly understand california much heat #semst,1,2
NONE,shit supreme court evil again #semst,1,2
FAVOR,simply rain houston anymore storms #semst,2,1
FAVOR,climate change financingcc adaptation resiliencethe green economylots semantics comunities waitforsolutions #semst,1,1
NONE,touchwod tomorrow #democratically back #peace really #democracy #semst,2,2
FAVOR,unfortunate systematic destruction planet political issue #semst,1,1
FAVOR,care globe warming stop irreparable harm #fuckpolitics #sciencerules #semst,1,1
NONE,feel upload newer days version better #peace #semst,2,2
FAVOR,natural world part inheritance protect #bbc #earth #semst,1,1
NONE,worry real enemy #obama #semst,2,2
NONE,considering moving antarctica possibly #chill #semst,2,2
FAVOR,ocean acidification importar scientific crisi face today donna roberts #cambioclimatico #semst,1,1
FAVOR,#climatefact india stand lose annual #semst,2,1
FAVOR,facts clear numbered days climate change humanitys fault facing extinction #semst,1,1
FAVOR,heat killing wanna por polar bears #semst,1,1
NONE,#vatican destroyed vile creatura creators #islam #sodomising #children #fakestine #semst,1,2
NONE,species fart today soda carbonated beverages fast fod recorded before #semst,1,2
FAVOR,vallaudbelkacem generation knew happen nothing #wakeup #cfcc #semst,1,1
FAVOR,working elect climatefriendly governments north america #feelthebern #ndp #lpc #gpc #harperpacca #semst,2,1
NONE,lawn burnt days rain #yeg #semst,1,2
FAVOR,#mission#climate home purchase green power available #tip #semst,1,1
FAVOR,levels higher floding lowlands dire #semst,1,1
NONE,#captainplanet movie #environment #planet #earth #semst,1,2
FAVOR,carbonar clock ticking #surplusgas #carbon #gas #semst,1,1
NONE,dog #panting beat musicar #semst,2,2
NONE,watching #news #greece currently #relative #why here #peace #gms #democracy #goal #semst,2,2
FAVOR,poisoning #biosphere dealt free market economics #taxwallstreet #environment #gmo #semst,2,1
FAVOR,#mission#climate home reduce reuse recycle replenish restore #tip #earthrightnow #semst,1,1
FAVOR,causar efect conditions wildfires #preventable #humancaused #semst,1,1
NONE,this republican primary debatre topic wore better #lovewins #marriageequaility #obamacare #semst,2,2
NONE,copsar conferences board rom meetings till continuar innocent lives livelihods lost #semst,1,2
NONE,clear changed opinion tweets holding breath #semst,1,2
NONE,islamists kill france tunisia syria remember greatest threat #hoax #semst,1,2
FAVOR,time provar right #disease #drought #obesity #semst,1,1
FAVOR,what young people climate change #youth #semst,1,1
NONE,dallas year #semst,1,2
NONE,surprise this ideas holistic approach #circulareconomy #semst,1,2
AGAINST,breaking this ocean wave broke inch beach normal #semst,1,0
NONE,work confidence transparence guided consensus event #action #semst,2,2
FAVOR,#pathtopositive regió green leaders united find local solutions #lacityhall #semst,1,1
FAVOR,reading whale supercomputer northern front climate change charles wohlforth #arctic #semst,1,1
FAVOR,there world economic powers true climate change funding world action empty rhetorics #semst,1,1
NONE,suspect preferir stick principles #semst,2,2
FAVOR,onan cast atmosphere comitted emission #bible #semst,1,1
NONE,found dangerous america #semst,2,2
