LABEL	preprocessing_B
NONE	i aquest divendres al #postgraugovobert expectatives  sessió de director general datenció ciutadana d q ens parlarà de les tendències de futur  i no tant futur en la governança digital  de les #aapp
AGAINST	tothom sap que lesquerra autèntica recolza ferotgement la república catalana i que no dona suport a fanàtics dultradreta com torra
FAVOR	referèndum sobre estatut i independència però què és això a escòcia va ser així oi que no ja prou tardà de veritat prou per molt que repeteixis cada dia el mateix la gent no tho compra i espero que no tho compri mai
AGAINST	 la intel·ligència artificial permet identificar nous gens relacionats amb el càncer
NONE	en yokomizo vs lamuro daprenents den kogoro #detectiuconanxl
NONE	atacar un autobús que va amb una foto de hitler banalitzant el nazisme no és un atac a la llibertat dexpressió no existeix el dret a banalitzar el nazisme si aturar un autobús amb una foto de hitler és aturar aquestes idees doncs ben fet que fa la generalitat expulsantlo
AGAINST	només recordar pq de vegades la memòria és selectiva que el sraznar és còmplice de lassassinat de quasi mig milió de persones espero i desitjo que com tots els assassins algun dia et jutjin i et podreixis a la presó
AGAINST	️  boom alemania demana a lue que suspengui la regla de lunanimitat per les decisions de política exterior això vol dir que espanya no podria bloquejarnos per entrarhi
AGAINST	la revolució la fareu vosaltres el sindicat vertical de la dreta català puaf
NONE	les dones hem de superar els esquemes de poder actuals i configurarne uns altres més dacord amb el nostre marc mental ens convida a construir un lideratge femení basat en lautenticitat i no en la sobreadaptació per construir una societat millor i més justa
AGAINST	tho estant repetint cada dia si votes erc el #a no et sorprenguis lendemà quan tornin a votar amb el psoe de franc i a fer de nous duranilleida a madrid no volen el vot indepe que confien mantenir de franc cerquen exvotants de podemospsoe lícit pero no amb el meu vot
AGAINST	si si només faltaría que reconeixesin la culpabilitat aixi de primeres pero encara falten el testigs de la acusació que tenen tanta credibilitat com els acusats
NONE	rajoy podria haver guanyat les eleccions generals del amb factures falses i pagaments ocults segons publica el confidencial
AGAINST	es un estafador botifler i malparit
AGAINST	 el parlament de catalunya sempre treballant pel que realment importa
FAVOR	#judiciprocés ️ aquest dimarts arrenca la segona setmana declaracions amb la compareixença de jordi turull a les h  consulta aquí com aniran les sessions 
FAVOR	com ja vam fer amb al vaga de lany passat els diputats i diputades donarem el nostre sou del dia de la vaga a entitats feministes explica al #parlament
FAVOR	veus ho sabía porto messos que no em deixen pujar videos del #oct només puc pujar els ja pujats molts messos abans i si els trobo
AGAINST	atenció  marxem cap a lefta  tothom a signar si us plau  a tope   govern de catalunya demanem al govern de catalunya que es posicioni per pertànyer a la efta firma la petición vía
AGAINST	però és evident el que he dit no la declaració dindependència com a cosa articulada i jurídica és a la llei de transitorietat del sisisetdesetembre
NONE	laia tia contestate el movil que es una emergencia el storie de mimi
FAVOR	no entenc com al parlament europeu donen veu a aquests feixistes agressius i violents i silencien la veu de persones pacifiques com el nostre president legítim a lexili
NONE	forn nega en el judici que la declaració dindependència del o tingués valor #judicitvcatràdio
FAVOR	el sistema judicial vol carles puigdemont a espanya no com a testimoni sinó com a presoner advocat de valtònyc #faqstherealtv ️
FAVOR	maragall un paio que va passar de l ajuntament franquista de porcioles a fidel servidor del psoe de mister x als tripartits d infausta memoria i per ultim indepe es algu de solids principis i projecte clar i si a mes te l experiencia de anys es un candidat excel·lent
AGAINST	en una cosa té raó no es poden barrejar les coses per això lajuntament actual fa polítiques socials com mai vistes i a més és lúnic partit q ha portat a judici les càrregues policials de lo i fa actes actes en defensa de labús de la gent empresonada
NONE	 carles puigdemont es tracta dun judici polític des de fa més dun any la unió europea ha tingut presoners polítics
NONE	la comissió de defensa dels drets del col·legi de ladvocacia de barcelona critica les declaracions de felip vi en què defensava que no hi ha democràcia fora de la legalitat
FAVOR	ara entenc laltura q va haver d saltar pobre no sé com no es va trencar el turmell #joacuso #judicifarsa
NONE	 ens jutgen a tots perquè no ens poden afusellar
FAVOR	quantissima dignitat en cada nota massa no mereix el que ens estan fent els nostres cuanta vergonya indignitat i egoisme hi ha als despatxos però no ens fareu còmplices de la vostre traïció no passaran els feixistes però vosaltres vosaltres tampoc mori el mal govern
AGAINST	 plaça sant jaume ara mateix catalunya combat al feixisme
AGAINST	del soy de las que se patea la calle recorda al i al els anys que han estat al govern i aquells projectes que ara retreuen a però que ells no van fer siempre es la misma cantinela #plesantandreu
FAVOR	turull he sentit alguna acusació per part de la fiscalia que considero una falta de respecte als ciutadans de catalunya #judicio
AGAINST	millo menteix tant que no sap que a badalona el de setembre del no hi havia alcalde hi havia alcaldessa no es bo ni per a mentir el cabró aquest #fairy #joacuso
FAVOR	volen detenir a willy toledo per no presentarse a declarar sobre un suposat delicte de blasfèmia i el seu règim cada dia sassembla més a la inquisició o a una pel·lícula dhumor no ho tenim clar #llibertatdexpressió #holarègim
FAVOR	 #faqsstrubeltv espanya amb catalunya ha estat disposat a fer de tot de tot menys política
NONE	el tribunal de tòquio deixa en llibertat sota fiança lexpresident de nissanrenault carlos ghosn acusat de frau fiscal i abús de confiança
FAVOR	lestaca a sant jaume gallina de piel #omplimstjaume #omplimsantjaume #llibertatpresespolítiques #llibertatpresospolítics
AGAINST	sento nervis a la panxa la fantasia de mesos avui serà real les senceten avui espero que tothom les gaudeixi i que serveixin per nodrir de contingut feminista i lgbti el discurs dalliberament nacional actual gràcies i 
FAVOR	des de quan la facultat dinterrogar a un testimoni de la contrapart està condicionada a les preguntes que li hagi formulat abans el proposant de la prova el feixisme togat espanyol innovant una vegada més el dret #judicifarsa
FAVOR	virginia alguacil mata casada fill anys professió parada el o vaig estar desde las del matí a las portes del casal davis defensant las urnes plovia i molt hi havia molte gent com jo i a las del matí vaig votar sol cop #judicifarsa
NONE	#totesmoutv quina barra dir q ara hi ha crispació i ara els catalans patim i negar q fons ara els catalans no patíem cony q des q vaig néixer han pretès q demanes perdó per ser catalana catalanista i separatista
AGAINST	️ les dones sempre han estat part important dels meus equips polítics i de govern quan vaig presentar la meva candidatura ja vaig dir que seria llista paritària #vallsbcn #vallsperlaigualtat #barcelona #diadeladona #diadelamujer
AGAINST	els sous baixos la temporalitat la precarietat es pateixen a madrid ia barcelona el que necessitem és unitat per #redistribuirlariqueza al servei de la majoria #quenoensenfrontin #felizdomingo
FAVOR	els murs humans al llarg de la història shan convertit en una icona universal de la defensa dels drets i les llibertats som un mur humà sí som el puto mur humà que molts que avui volen tombar trobaran a faltar el dia que el feixisme els entri a casa
AGAINST	 tarda de teatre a r de primària amb els tres porquets
AGAINST	aquí podeu veure en jaume asens i liglesias comparant albert rivera amb eichmann per cert que algú els expliqui com es pronuncia aquest cognom tot en ordre
AGAINST	quan turull demanava presó per a uns nanos per lassalt al parlament qui era el represor
AGAINST	i a què espereu per signar els convenis que marca la llei per tal de fer front a la #condonacióndedeuda
AGAINST	preciosa massatgista eròtica catalana farà les delícies amb les seves mans i el seu cos blanca puig catalana i calenta
AGAINST	saps pilar crec que és la diada que vaig amb més ganes i més emocionat pel record dels nostres presoses i exiliatsdes i per totses aquellses que van patir la violència de l o #joanirealadiagonal #diada
AGAINST	menteixes aixó de vox es fals i no ho dic pas jo
AGAINST	el pregonero de las fiestas de cerdanyola llama prostituta a inés arrimadas vía
FAVOR	 tossudament alçats camí cap a la república #omplimsantjaumes #femxarxa #s #llibreslliures
NONE	una desena de joves del col·lectiu universitats per la república mostra cartells que reclamen la llibertat dels presos independentistes durant un discurs del president del tribunal constitucional
AGAINST	això era pel reglament aprovat el juliol del després el i de setembre no van aplicar lesmentat reglament per favor no retallis un titular si no coneixes la notícia sencera
AGAINST	segurament hi havia gent vinguda fins i tot de frança 
AGAINST	el nostre més sentit condol a lalcaldessa per la mort del seu marit tot el nostre suport i escalf en aquests moments difícils
NONE	hem descoltar i compartir el que ens arriba des de ens queixem que nos ens escolten a ells tampoc #llibertatpresospolítics
FAVOR	realment ens hem plantejat si volem de veritart la independència potser és més bonic anar a un espai el que tots pensem igual i cridar independència i que no vingui ningú a fernos fóra hem destar disposats a fer tots el sacrificis necessaris per assolir el nostre objectiu
FAVOR	a les portes del suprem el parlament europeu ha destar molt pendent del que passi avui perquè sap que en la persona de raül romeva shi juga molt #judicio
AGAINST	cupvercgència distreu els idiotes dels seus votants amb la pastanaga reial perquè no vegin lestafa del procés per contra cada vegada que #cupvercgència ataca el rei els espanyols es fan més monàrquics processisme i monarquia es necessiten mútuament
FAVOR	o comencem a tenir clar que la única solució és votar massivament la o no en sortirem
NONE	 un espectacle brutal dos personatges en majúscules oferint tot el que duen dins  brillant guió i millor representació primeres reaccions #postfunció de #dansavenjança després del seu pas per divendres ja comencem funcions
NONE	 només pels somriures que la tiparraca de la toro aquesta ha provocat als presos ha valgut la pena
FAVOR	amb lexhumació de franco es trenca un tabú imposat a la transició la intocabilitat del franquisme convindria no quedarse aquí i trencarne molts daltres com lexclusió del dret a pronunciarse sobre la república o lautodeterminació
FAVOR	conclusions dels observadors internacionals que van assistir a les tres primeres sessions del judici del procés #judicitvcatradio
FAVOR	iniciem tertúlia política a #laciutat amb debatint sobre el futur del amb i
AGAINST	jlluís espinós hem conclòs que no hi pot haver uns grups de formació dual i uns de general sinó que cal una sola estructura que permeti totes formacions per ex treballar més per projectes amb més hores i per treball més competencial #perqueapostem
NONE	ran i en kogoro son els millors #detectiuconanxl
FAVOR	 avui sha aprovat al #plehg un prec que hem presentat demanant que el govern impulsi campanyes de foment de lesport femení de base i en contra les desigualtats de gènere a lesport proposta que vam extreure de la campanya a lesport hi som totes gràcies
FAVOR	 realment els independentistes van ser violents policies contra levidència
NONE	️ avui com no podria ser daltra manera ens sumem al #diainternacionalcontralalgtbfobiaeneldeporte aquest de febrer i cada dia diem no a la #lgtbifobia al futbol i al món de lesport en general
FAVOR	el que cal es fer pinya entre els indepes no fer volar coloms sobre que colau coscu i rabell es facin indepes cosa que no pasara mai per justificar fer un tripartit autonomic
FAVOR	no seriosament quan crearà algú unes brigades mata feixistes
NONE	josé antonio nieto exsecretari destat de seguretat vam pensar que hi havia una organització perquè es fessin crides a concentrarse on hi havia els escorcolls de la guàrdia civil #judicitvcatràdio
FAVOR	no ni jo ni el meu pare hem escrit el famós missatge a jordi sánchez no rotundament no #judicitvcatràdio
AGAINST	quina mania de parlar sempre de dignitat un xic més de sentit comú i pragmatisme i ens hauríem estalviat tot aquest patiment
FAVOR	 veig tothom molt amoïnat amb un nou sabeu com no te l poden aplicar sent independents algú se n recorda d aquesta p
FAVOR	 quanta més repressió més indepes o més determinats ni ho entenen ni ho entendran mai pq es comporten com a col
AGAINST	 i jo vull que desapareguin lescòria de vox
AGAINST	millo acusa els cdr de violents els criminalitza i posa el relat per a que sens persegueixi penalment
NONE	el general en cap de la guàrdia civil a catalunya durant l doctubre ángel gozalo diu que quan es parla de defensarem les urnes sota el meu punt de vista defensar és un llenguatge prebèl·lic #judicitvcatràdio
AGAINST	aquest article és un espectacle això no és fer un gir de això és fer la via làctia de punta a punta de la primera a lúltima frase
FAVOR	si tot sha de fer per la independència i ja no podem ni celebrar coses que van marcar social i culturalment la ciutat perquè la gent de la capital no les entén o només li importa anar a cremar coses pues apaga i vamonos saps
NONE	#totesmoutv no em cansaré de repetirho és malvat monstruós equiparar els errors polítics evidents duns els indepes i els errors en forma de violència presó i repressió dels altres monstruós no compreu aquest marc sisplau
AGAINST	no parla de carreges el responsable de tot aixo va ser el
AGAINST	no veig que tergiverssi res veig que no ets capaç dentendre els que no estem dacord amb com ho veus
NONE	è aniversari ja del programa inpa a com passa el temps com han millorat les xifres i quan falta encara per millorar més felicitats a i tot lequip de la umi
NONE	hola paula voldria posarme en contacte amb tu podries indicarme alguna direcció demail o bé seguirme un segon perquè pugui ferho per dm moltes gràcies
FAVOR	arribem al punt que i la ens volen introduir al nostre marc mental que el diàleg i un referèndum pactat són la solució això és renunciar a els últims anys de manifestacions al doctubre i totes les hòsties rebudes és tornar al i fer de psc
AGAINST	clar amb els vitores de la gent que laclamava
AGAINST	a bona part de catalunya no hi plovia des de l de febrer dies sense pluja a #alcanar es van recollir m el de gener i avui és el è dia sense pluja apreciable #montsià #meteocat
AGAINST	ahir era un dia per acabar amb aquesta dèria però heu preferit provincialisme carca
AGAINST	dixi de publicar twits millo qualsevol que vegi el vídeo sencer sadonarà de la classe de persona que és vostèper cert li recordo que el seu partit té quatre diputats a catalunya un alcalde dels als municipis i a més a més está en vies de desaparèixer
AGAINST	ets molt millor que en maquiavelo noi el putu amo de la estrategia i com es que no els heu alliberat aquest mesos passats
AGAINST	com es fa perquè no em surti la talegón al timeline
FAVOR	 el mhp carles puigdemont farà un acte el dia de febrer a la universitat de groningen als països baixos
AGAINST	santi vila la dui va ser un fake simbòlic sense trascendencia processistes traidor rata botifler venut turull la dui va ser un fake simbòlic sense trascendencia processistes exemple de dignitat heroi polític de la gent ️️️
AGAINST	 allà hi serem per mantenir el diàleg encara que sigui molt difícil
NONE	airbus deixarà de fabricar la el després que el seu principal client laerolínia emirates ha cancel·lat part de les comandes daquest model
AGAINST	cal recordar que tot i parlar i actuar com un subnormal no ho és tant li deuen més de k€ que li pagaran en forma de càrrec com tot el que forma part del procés una farsa
FAVOR	 en directe expectació per la conferència dels presidents puigdemont i torra a brussel·les via
FAVOR	autodeterminació drets socials civils i polítics llibertat preses polítiques retorn exiliades dissabte h manifestació imprescindible a barcelona
AGAINST	abdul aziz muhamat refugiat sudanès confinat en un centre de reclusió guanya el prestigiós premi internacional de #dretshumans #martinennals
NONE	els fills ideològics del coronel galindo si no fas allò que et diuen tenterren en calç viva o et torturen a intxaurrondo
AGAINST	quan tens com tú el cove plé potser si pero aleshores no et dediquis a la política dedicat a ser empresaria explotadorao algo així
NONE	 el conseller dexteriors alfred bosch compareix després de la declaració de raül romeva hem vist un home de pau #judicitvcatràdio
AGAINST	això és una notícia de juny de aquesta era la gran unitat que hi havia entre la inmensa majoría dels catalans lluitant junts contra les retallades contra el pp i artur mas ja nhi ha prou #quenoensenfrontin unimnos ⁦@recortescero⁩
FAVOR	sha darribar a la independència com sigui espero que el camí que han triat govern presos io exiliats hi condueixi tot i que no sigui el que crec amb lexperiència el més convenient el primer principi de tot revolucionari és adaptarse a la realitat per a canviarla
AGAINST	 boye ha respost amb un gràcies degà ben irònic
FAVOR	brutal #igualada milers de persones omplen la plaça de lajuntament de dignitat i coratge en defensa de la democràcia i per la #llibertatpresospolítics #llibertatpresespolítiques
FAVOR	des despanya ens amenacen amb un nou els sindicats dels règim del van estar callats durant aquells mesos recordeu ens cal un sindicalisme país només conquerint tots els espais de poder serem forts i podrem fer front a la repressió ️
NONE	sánchez no descarta pactes postelectorals després del a a excepció de vox
FAVOR	benoît hamon excandidat dels socialistes francesos veu el judici del procés com una regressió #judicitvcatràdio
FAVOR	 el company willy toledo en llibertat provisional després de no declarar davant el jutge solidaritat força lluita #lanostrasentència independència #mecagoendios
NONE	alejandro fernández ha criticat aquest dissabte que la líder de #ciudadanos a #catalunya inés #arrimadas aneu a #waterlo bèlgica perquè cau en una retòrica populista que és caure en el joc de lexpresident de la generalitat carles #puigdemont
AGAINST	si això és una entrevista periodística el periodisme està fotut doncs
FAVOR	en sobre el deure dels polítics de conduir les emocions racionalitzar les situacions i trobarhi sortida clau descriu a més el posicionament actuals de les dues principals forces independentistes 
NONE	a estem buscant un periodista amb experiència en làmbit de la comunicació política per a un nou projecte periodístic interessats o interessades cv a miquelpellicer@laviniatc gràcies
FAVOR	no sé si votar a junqueras miquel roca o echenique  feu el favor de fer una llista unitària i transversal amb lobjectiu de la república catalana votada pel poble x visca la república catalana
FAVOR	també visitaran el parlament de flandes on es reuniran amb el president de la cambra jan peumans puigdemont i torra fan avui la conferència conjunta a brussel·les malgrat la censura de tajani
AGAINST	franco va necessitar anys i tot un exèrcit per tancar la generalitat jutjarne el govern i prohibir el català ara gràcies al processisme no els cal cap exèrcit amb un jutge i un funcionari del enviat des de madrid nhi ha prou el #processisme és submissió #judicio
AGAINST	 marchena li demana al fiscal que pregunti concretament
FAVOR	haventhi alternatives com lefta no sé perquè hauríem de voler formar part daquesta ue podrida ets un titella del feixisme #tajanipuppetoffascism firmem per demanar lingrés a lefta
FAVOR	trescents vintinou i cent vuitantavuit i trescents quarantavuit i es pretén que aguantem els violents #garrotuit #llibertatpresospolíticscatalans #llibertatpresespolítiquescatalanes
NONE	es compleixen anys de la mort dantonio machado
FAVOR	però accepten a vox mira quina europa tant maca #judicifarsa #judicidelavergonya
FAVOR	#conferència #directes a la #independència a #tàrrega biblioteca visualitzala a partir de les h del diumenge de març de conferència realitzada a tàrrega el de febrer de h a h #proucensura
FAVOR	aquests dies he pensat molt en les discussions amb i i mha sortit això un elogi de lempatia davant dels tecnòcrates els racionals i els que provoquen un emocional jordi graupera i els robots
AGAINST	ara de debò us fa gràcia el de la galleda de merda crec que jair et pressiona molt el llaç el cervell 
AGAINST	estiu del i marie antoniette
FAVOR	si el #a seguim comprant el fum d@esquerraerc i seguirem tenint només fum és el moment de fer un vot de càstig i canviar les coses #jojanocomprofum #aojuntsores
FAVOR	la crida a no votar és intencionada els gilipolles en tot cas són els que hi cauen de quatre potes cal ser més intellegent i pensar a qui beneficia que no votem partits indepes
AGAINST	us en recordeu daquest magnífic article den miquel martín sa riera el paradís devastat doncs aquesta foto ho diu tot la natura i el paisatge daquesta cala només perviurà en la literatura lajuntament de #begur vol convertir sa riera en sa benidorm
AGAINST	a mi magrada insultar no tenganyis acostumo a dir ruc o ruca mho he copiat del bernat dedeu
AGAINST	#terrassa no es pot permetre el luxe de provar un bus no tripulat i alhora renunciar als punts de recàrrega de vehicles elèctrics en només uns dies la resposta del govern del psc és del tot inacceptable si volem un projecte de ciutat modern i sostenible
FAVOR	en directe nieto durant la junta de seguretat els vam insistir que el referèndum era il·legal i que la situació era de risc per la possibilitat de xocs violents
AGAINST	ups sembla que a la crida nacional se li ha caigut aquest tuit seria una llàstima que romangués a internet per a la posterioritat oi
FAVOR	no busqueu més ja teniu on dinar el proper #setembre al passeig del born i organitzem un dinar popular paella amb opció vegetariana amb aigua o vi i postres € també farem un acte polític a les h no falteu #organitzemrepública
AGAINST	 crònica dels aiguats a #granollers  xavier casals i #mataró  #eltemps
AGAINST	la devoció catalana a sant valentí és mil·lenària i des de fa tres segles i mig se nhan venerat de diferents els coneixeu #dulia #etnografia #devoció #relíquies #reliquiaris #santoral
FAVOR	guaita na va dir que a raíz del #s després va rectificar en no recorda el que va dir que no recordava vés a saber i ara aquest person diu que el van començar a preparar quanta credibilitat #faketrial
AGAINST	heu revocat el conveni signat durant el amb linss
FAVOR	per si és del seu interès dissabte tornen a sant jaume si us quda un bri d decència o dignitat ho podrieu aturar #omplimsantjaumes
AGAINST	davant el model de participació del govern colau només ens queda pensar en aquesta imatge #comissionsbcn #participació #barcelona
AGAINST	tot i que confessaré que mai he estat tan feliç com en aquells escassos segons en què em va arribar la foto descontextualitzada i vaig creure que definitivament havíem perdut el molt honorable que deixava de servir catalunya per convertirse en caçador de pa
FAVOR	que algú li digui al miserable aquest de lisrael que si tan segur està de la malversació en la compra durnes que ensenyi les factures mentrestant són innocents el què en democràcia ve a ser la presumpció dinnocència #faqsforojuecestv
AGAINST	no és el meu cas no indepe que dubtava votar comuns i que aquest factor em fa no votarlos a generals però sí a lajuntament
FAVOR	la qüestió que ens hem de fer cadascú de nosaltres és si creiem que els tancs disparen o que no disparen la independència arribarà quan es demostri el farol de lamenaça de violència de lestat espanyol #recuperaelpoder
FAVOR	proposo que a can diccionarivikipèdia la definició del terme cínic sacompanyi per il·lustrar de la foto daquest individu quina vergonya de veritat aquest tipus de polítics sense escrúpols quanta mentida i impostura i sense despentinarse #millo
AGAINST	 jo no he dimitit ha dimitit laltre sí els dels comuns jo no ho juro
FAVOR	urgent gent de #femxarxa em passen aquest missatge atenció tothom els feixistes segueixen pels carrers del voltant de la plaça sant jaume mentre que per altra banda ha marxat molta gent a la plaça sant jaume necessiten a médls gent van a per els que hi estan acampats
AGAINST	gràcies a tots els qui us heu interessat per la meua salut tot ha anat be i ara comencen unes quantes setmanes de recuperació lamente molt però que he de suspendre tots els actes públics que tenia programats els pròxims dos mesos
NONE	associacions de jutges a catalunya consideren ofensives les paraules del fiscal de laudiència nacional posant en dubte la imparcialitat dels jutjats catalans
AGAINST	 qui és rosa parks emparper què vosaltres casa vegada us assembleu més a una altre cosa
FAVOR	i per què no llista unitària i així ja tenim fet el referèndum llista unitària de tots fins hi tot la cup
AGAINST	montareu camps de concentració tipus gulag per reeducar als botiflers o ens matareu directament aixo tha posat catxondoeh nazi
NONE	marlaska a favor de canviar la llei dacusacions populars com la de vox
FAVOR	fa temps que aviso l doctubre va ser paper mullat ens volen portar a una tupinada de referèndum manipulat on perdrem i així donar per acabat el procés
AGAINST	 la guia de la manifestació de la diada de lonze de setembre tot el que necessiteu saber
FAVOR	#davantdelsuorem em considero un pres polític aquest judici és un judici polític diré solament la veritat les acusacions són falses #absolució #freetothom
FAVOR	 lhc li diu a la cara a lindividu de les punyetes que és un peliculero #judiciprocés
FAVOR	els culs llogats que treballen dins dels partits indepes molt especialment les direccions derc i pdcat i que són gent sense ofici fora de la política i per tant condemnats a viuren della per sempre més han decidit obro fil
FAVOR	 boye i puigdemont desmunten latac de la fiscalia contra slesvigholstein
AGAINST	demà anirem bojos però organitzats ho aconseguirem
AGAINST	el fenòmen és miraculós se´n va a i resulta q és bisexual deixa la política i ella també s´ho planteja esclaten els màsters i assegura q a ella li van oferir i va dir q no q no parli o dirà q va tenir vocació de monja
AGAINST	hi ha una campanya brutal dels processistes a twitter per desacreditar i anul·lar els grans comptes dusuaris independentistes això voleu una república on els que no pensen com vosaltres siguin discriminats i apartats dieu dels feixistes però vosaltres sou iguals o pitjors
FAVOR	canviem els nostres lemes i adoptem moral de victòria ni un pas enrere gt sempre endavant no esteu sols gt estem amb vosaltres no tenim por gt guanyarem llibertat gt independència sentim tristor i ràbia però cada dia tenim més clar que el camí és la república catalana
AGAINST	si pots fer servir el teu dret de respondre a les preguntes dels advocats i fiscals de la sala per argumentar la teva inocència per fer un mitin com cal total els anys de comdemna si et sentencien com culpable son teus només teus
FAVOR	amb avui acompanyem els consellers legítims i al ts saben que aquest és un judici polític però estan determinats a explicarse i a demostrar que no hi va haver delicte sinó només urnes i democràcia #judicialesurnes #freetothom
NONE	josé antonio nieto exsecretari destat de seguretat lús de la força va ser el mínim imprescindible si haguéssim prioritzat leficàcia dels operatius la violència hauria estat molt superior i leficàcia del #judicitvcatràdio
FAVOR	 el sindicalisme independentista guanya les eleccions sindicals a la generalitat
FAVOR	escolta que només escoltes als del i al teu superior vicent sanchís i ja tens prou edat i poder a per plantarli cara a mi aquí mhi falta el gran fes  si a tu també #tonisolerdimissió
FAVOR	breu anàlisi durgència la defensa de ha estat formidable una defensa estrictament política per oferir al món el relat de la dignitat del poble català i el seu dret a lautodeterminació la sentència està dictada i una defensa tècnica hagués estat humiliant gràcies
NONE	els consellers artadi bosch i calvet segueixen aquest matí el judici del suprem des de la sala de vistes #judicitvcatràdio
AGAINST	exactament això la gent es deixa portar per lemoció
FAVOR	vist a perpinyà en cartells del festival de fotoperiodisme visa pour limage la direcció del festival no ha volgut exposar fotos sobre el procés independentista a catalunya per això el moviment catalanista de cat nord ha organitzat diferents exposicions per tractar el tema
AGAINST	admet al #judiciprocés que va deixar el perquè li feien respecte les responsabilitats penals de lo lexportaveu del govern assenyala que estava desbordada de feina i no estava bé anímicament
FAVOR	 dec ser jo però no veig el fairy per enlloc #millomentider #judicidelavergonya
FAVOR	 la democràcia també està sota judici a espanya diu el washington post
FAVOR	davant levidència que lindependentisme es convertia en una opció majoritària es va decidir tancar el pas a qualsevol debat quan no hauria de ser competència del tc ha afegit junqueras #judiciprocés
AGAINST	b r u t a l dolça catalunya alcanza las visitas vía
FAVOR	️ un miler de rourencs viatgen a madrid i es graduen en segons #melosquitandelasmanos #mastersgame #santestevedelesroures #catalonia #catalunya #cdr #sedr #més #tictaccasado #tictacrivera
NONE	 mosso el mosso desquadra que li va dir idiota a un manifestant sha acollit al dret a no declarar
NONE	 ladvocat august gil matamala al les preguntes a turull no tenen a veure ni remotament amb el delicte de rebel·lió del qual se lacusa #judicitvcatràdio
FAVOR	la única manera de posar a catalunya dins del sxxi és tenin totes les competències i la financiació pq sigui una realitat aquesta realitat no serà possible si no tenim la independència encara no la tenim no vol dir que no poguem començar a treballar
FAVOR	#llibeats ángel gozalo cap de la guàrdia civil a catalunya l#oct va condecorar els exveterans de la división azul de lexèrcit nazi ho explica
NONE	diego pérez de los cobos el pla del major trapero era més adequat per cobrir unes eleccions normals que no pas per prohibir un referèndum il·legal #judicitvcatràdio
AGAINST	 francesc colomé no pot ser que leso sigui un tall tan definitiu per als nostres alumnes #perqueapostem
AGAINST	si penses dius i fas com el partit x què fas militant en el partit y de maragall a romeva o ara alamany marxen de pscicvcomuns criticant la incoherencia quan son ells qui sen van a un partit indepe te gracia els ve de nou q aquells partits no ho eren que esperaven
FAVOR	avui mha semblat un bon dia en el judici de la vergonya però jo espero cada dia la declaració den jordi cuixart crec que hi haurà un abans i un després diguem optimista #thisistherealspain #joacuso #autodeterminaciónoésdelicte #makeamove #llibertatpresospolitics
NONE	diego pérez de los cobos la interlocutòria deia que si els centres estaven oberts ocupats per a altres activitats el que no podia ferse era prepararhi el referèndum #judicitvcatràdio
FAVOR	gonzález pons pp demana detenir puigdemont si entra al parlament europeu via psicopata indecent
NONE	avui dijous comença la una setmana per aprofundir en la nostra relació amb la tecnologia amb més de activitats repartides per espais #mweekbcn més info
FAVOR	el procés de lo és una farsa judicial que no saguanta per enlloc un judici a la democràcia la sobirania i la legitimitat del poble de catalunya  aquí podeu veure lentrevista sencera al 
AGAINST	el día violeta joana bonet
FAVOR	marchena vol un judici ràpid i àgil però ja hem vist q és un judici lligat a la política ens podem trobar que laccelerin i que caiguin més testimonis i proves vulnerant encara més el dret a defensa o q laturin per les eleccions #més #judicitvcatràdio
