LABEL	preprocessing_D
FAVOR	davantdelSuorem Em considero un pres polític, aquest judici és un judici polític. Diré solament la veritat. Les acusacions són falses! absolució FreeTothom 
FAVOR	RT albertcuesta: L'HC quimforn li diu a la cara a l'individu de les punyetes que és un peliculero . JudiciProcés
FAVOR	RT VilaWeb: Boye i Puigdemont desmunten l’atac de la fiscalia contra Slesvig-Holstein 
AGAINST	Demà anirem bojos, però organitzats, ho aconseguirem !! 
AGAINST	El fenòmen AdaColau és miraculós. Se´n va a salvameoficial i resulta q és bisexual. Deixa la política XavierDomenechs i ella també s´ho planteja. Esclaten els màsters i assegura q a ella li van oferir i va dir q no. Q no parli sorluciacaram o dirà q va tenir vocació de monja
AGAINST	Hi ha una campanya brutal dels processistes a Twitter per desacreditar i anul·lar els grans comptes d'usuaris independentistes. Això voleu?? Una República on els que no pensen com vosaltres siguin discriminats i apartats?? Dieu dels feixistes però vosaltres sou iguals o pitjors!
FAVOR	Canviem els nostres lemes i adoptem moral de victòria: - Ni un pas enrere -&gt; Sempre endavant - No esteu sols -&gt; Estem amb vosaltres - No tenim por -&gt; Guanyarem - Llibertat -&gt; Independència Sentim tristor i ràbia, però cada dia tenim més clar que el camí és la República Catalana
AGAINST	jorditurull tornergran Si. Pots fer servir el teu dret de respondre a les preguntes dels advocats i fiscals de la sala per argumentar la teva inocència, per fer un mitin com cal. Total els anys de comdemna, si et sentencien com culpable, son teus . Només teus
FAVOR	Amb elsa_artadi avui acompanyem els consellers legítims jorditurull raulromeva i joseprull al TS. Saben que aquest és un judici polític però estan determinats a explicar-se i a demostrar que no hi va haver delicte sinó només urnes i democràcia. JudiciALesUrnes FreeTothom 
FAVOR	RT DiariVapor: El sindicalisme independentista guanya les eleccions sindicals a la Generalitat  
FAVOR	Escolta soler_toni, que només escoltes als del 155 i al teu superior, Vicent Sanchís, i ja tens prou edat i poder a tv3cat per plantar-li cara. A mi, aquí, m’hi falta el gran tonialba! — Fes RT si a tu també. ToniSolerDimissió 
FAVOR	BREU ANÀLISI D'URGÈNCIA La defensa de eyndePenal ha estat formidable Una defensa estrictament política per oferir al món el relat de la dignitat del poble català i el seu dret a l'autodeterminació La sentència està dictada i una defensa tècnica hagués estat humiliant GRÀCIES
AGAINST	GrasGene Exactament això, la gent es deixa portar per l’emoció.
FAVOR	Vist a Perpinyà en cartells del festival de fotoperiodisme Visa Pour l’Image. La direcció del festival no ha volgut exposar fotos sobre el procés independentista a Catalunya; per això el moviment catalanista de Cat. Nord ha organitzat diferents exposicions per tractar el tema. 
FAVOR	RT sebastiacros: Dec ser jo, però no veig el Fairy per enlloc... MilloMentider JudiciDeLaVergonya 
FAVOR	RT salvadorcardus: La democràcia també està sota judici a Espanya , diu el 'Washington Post' 
NEUTRAL	RT linformatiu_tve: MOSSO | El mosso d'esquadra que li va dir idiota a un manifestant s'ha acollit al dret a no declarar | mossos 
FAVOR	La única manera de posar a Catalunya dins del S.XXI és tenin totes les competències i la financiació pq sigui una realitat. Aquesta realitat no serà possible si no tenim la independència. Encara no la tenim, no vol dir que no poguem començar a treballar.  
FAVOR	LLIBERTATS | Ángel Gozalo, cap de la Guàrdia Civil a Catalunya l'1Oct, va condecorar els exveterans de la 'División Azul' de l'exèrcit nazi  Ho explica albertmartnez 
FAVOR	Avui m'ha semblat un bon dia en el judici de la vergonya... però jo espero, cada dia, la declaració d'en Jordi Cuixart. Crec que hi haurà un abans i un després... diguem optimista!! ThisIsTheRealSpain JoAcuso AutodeterminacióNoÉsDelicte MakeaMove LlibertatPresosPolitics
FAVOR	González Pons (PP) demana detenir Puigdemont si entra al Parlament Europeu via elnacionalcat  PSICOPATA INDECENT
FAVOR	El procés de l’1-O “És una farsa judicial que no s’aguanta per enlloc. Un judici a la democràcia, la sobirania i la legitimitat del poble de Catalunya”. 📌  Aquí podeu veure l’entrevista sencera al diariARA: 📺 
AGAINST	El día violeta, Joana Bonet lavanguardia 
FAVOR	⚖️ | JudiciALesUrnes | 🎥 conseller joseprull: Hi havia un mandat democràtic clar per part de la ciutadania de Catalunya i nosaltres vam complir amb aquell mandat democràtic. Vam buscar l'equilibri entre l'imperi de la llei i el principi democràtic FreeTothom🎗 
NEUTRAL	El “Parapet de les executades i executats 1939-1952”, de Francesc Abad, s’inaugura el 24 de febrer a la plaça del Fòrum, amb una festa ciutadana en què hi participen Andrea Motis, Sabor de Gràcia i Brodas Bros. + info 👇📺 
FAVOR	Encara no us heu registrat al  ? Aquest registre no és una perfomance més, és una eina molt necessària. AutodeterminacióNoÉsDelicte JudiciFarsa Per a qui tingui dubtes, que faci una ullada a les explicacions d'aquest article:  
FAVOR	Nou article: Lluites, presos, dignitat, respecte...versus toxicitat primària i destructiva No ens deixem arrossegar pel pensament tòxic Respecte, perspectiva i compromís 
FAVOR	RT TotBcn: Una candidatura independentista revoluciona les eleccions a la Cambra de Comerç assemblea CCatalaNegocis 
FAVOR	Segons Pérez de los Cobos, les muralles de votants estaven organitzades i dirigides jeràrquicament, alguns amb la cara tapada i agredint a la PN i la GC, tal com es veu vídeo. Mentiders JudiciFarsa 
FAVOR	RT fuster_guillem: A Kontra Korrent canteu ben alt : LaNostraSentència : Independència! Amb música també OrganitzemRepública 
AGAINST	RT Francis42448047: [VÍDEO] Crits d’independència i xiulada massiva a Ballesteros durant la diada de Santa Tecla 
NEUTRAL	RT RMGBCN: IMPORTANT! D' aquí 100 anys qui tindrà una estatua al mig de Plaça Catalunya ?? FES RT I DEIXA COMENTARI
AGAINST	AnnaParanoid JordiGraupera Soc gay ruca i treballo al Raval on gentussa com tu ha fet que els meus alumnes odiïn una llengua tan maca com la de la meva mara! Si ets la de la foto et felicito per ser tant bonica! Després d’entran al teu blog 🤮 i veient el nivell de la teva 2a piulada sento no està inter
AGAINST	En estas elecciones, qué va a prometer Convergència? La vuelta de Puigdemont? Una DUI simbòlica? Un farol? Una independència en 18 meses? Un referèndum? Un full de ruta? O un pacte fiscal?
FAVOR	A l'escenari 2, ple de gom a gom, JordiGraupera presenta el seu llibre Una proposta per Barcelona i reivindica un diàleg en llibertat i sense repressions. LaSetmana18 
AGAINST	A la República no necessitarem de jutges i fiscals perquè la culpabilitat o innocència dels acusats serà determinada per futbolistes, mossens i folklòrics pro-règim.
AGAINST	QuimTorraiPla PalmiraTercera Si us fixeu,la frase en questió-com totes les que son pronunciades pels polítics en campanya-no te cap sentit ni significat. L'independentisme es la qualitat dels independentistes , i personificar en ell, es retòric. Es com dir: la paret es dolenta, per que no la puc travessar
NEUTRAL	Rampoina Tothom va amb mitjons i sandàlies DetectiuConan3XL
FAVOR	Polítics ferms i coherents com Carles Riera és el que ens cal. Els mossos sé l'enduen arrastrant! Vergonya de la nostra policia i (em sap molt greu dir-ho) del nostre govern que ens crida a estar al carrer i ell mateix ens hi fa fora! 
AGAINST	RT elmatidigital: Catalans d'arreu per la República, per Rosario Palomino (rosariopalomi71)  
AGAINST	miqueliceta elconfidencial Quin problema miqueliceta , els neo falangistes no volen saber rés dels neo ni se sap!!
AGAINST	També està publicada al BOE la presó provisional, i la destitució de Puigdemont. I vosaltres ni cas... 
AGAINST	Quina mandra, us creieu que tots som idiotes com volsatres o que, vosaltres no feu res al Parlament de Catalunya tenin majoria imaginat al Parlament Espayol on porteu mes de un any sense fer res per l’independencia, mes bé fent el contrari, volsatres sou ja un 155 traïdors!! 
AGAINST	TroyanaLa RosaMCampamCorb mabelsa2000 Es que la tinta mancha, mejor así, la gilipuá !
FAVOR	Comença el judici HashtagsxRep i DivendresXRep amb l'ajut d'uns quants voluntaris intentem coordinar la massa independentista per contrarestar les fake news de l'Estat i ajudar les mobilitzacions. Apunta't via Telegram 
NEUTRAL	RT CarlesHeredia: Per cert, a l'Alt Camp som més ecològics, no necessitem malgastar Fairy. 
AGAINST	RT AresCases: El Punt Avui ha publicat aquesta rectificació fa mitja hora. Hores després. El tuit inicial segueix allà. 
AGAINST	Ens hem marcat l’objectiu de desterrar el patriarcat del Parlament i que la perspectiva de gènere sigui transversal a totes les funcions i actuacions de la cambra. “Un pla d'igualtat per al Parlament de Catalunya”, article a elperiodico. 
AGAINST	RT premsahistoria: Portal del Mar al 1852. Fou enderrocat al 1859 dins el pla d'eliminació de la muralla del mar. 
FAVOR	RT altamiranoMLG: Altamirano: Aquí no hi haurà cap independència si els republicans no treballem plegats via elnacionalcat 
AGAINST	lluisgibert Típica gent de pau.
AGAINST	Tots parlant del Millo avui com si fóssiu nens petits. No ho veieu que fan amb vosaltres el que volen?? No ho veieu que mentres parleu d'ells ningú parla de la independència????
AGAINST	Per sort el 99% dels castellans que ahir van emigrar a Catalunya s'han adaptat bé a la societat d'acollida, són tant pacífics com nosaltres i han esdevingut tant catalans com el que més. Catalunya del que s'hauria de netejar és de l'1% de colons inadaptats, repressors i violents.
AGAINST	lovenjaire axlcosta 33Joanot JordiMasFont marianpy1 vlc_JI cava_SEdR airebros ochoabravo32 RafaColono David_n_Goliat anguestar CDRTabarnia RAGAFO1 silvia_yucca MontseG94398156 CODEXREVISUS RamonBerenguerI jordivergesb AlfonsoIXLeon Capdecul1 rumbletoe canilero9 auroraborreal88 ElPaco17170917 Julii1985 LauraFangs may_adell bla_7863 Morafanova barnazen ap_poch crmontoro Jrgen27307674 kiko0243 Argumentosepara JesusFase2 Ibermensch states_spain TabarniaSur fhaherrera serem1infern Blamitter berguetanu Oletros hlcannibal vivi190473 mosnunez nuriapatona Sam46a Si jefe, Perón por la tilde 🤓
AGAINST	Les respostes a aquest tuit són per plorar 
FAVOR	toniaira elsmatins Jo vull EnricMillo a la presó per Perjuri JudiciFarsa Feu retuit i compartiu.
FAVOR	Hem de fer fort el  hem d’apoderar en KRLS .. Espanya no té remei i ens vol esclafar i destruïr sense cap mirament.. i aquí que fem? No m’entra al cap que si som més de 2 milions d indepes.. no estiguem tots al CatalanCouncil , perquè? Pels 10€?
FAVOR	🚨Exclusiva 🚨 S'ha filtrat aquesta imàtge del vestit que lluirà Farlivera a la FashionWeek FakeJustice FakeSuprem JudiciALaDemocràcia 1Oct JudiciFARSA JudiciTV3CatRàdio 
AGAINST	Gràcies, Puigcerdà, per defensar el dret dels tabarnesos a l'autodeterminació. Albert Piñeira Brosel (sisplau autodetermini's dels seus pares al catalanitzador de cognoms) es el alcalde de... 
FAVOR	Aquí a Girona ets persona non grata, però a diferència del President Puigdemont ningú et trobarà a faltar, miserable, mentider i mala persona!!! 
FAVOR	Pel matí, EnricMillo mentint amb un cinisme que feia fàstig. Ara, escoltar Pérez de los Cobos encara fa més fàstig. Us veurem tornant a declarar, però com acusats davant dels Tribunals Internacionals. Sou uns miserables JudiciFarsa judiciaalademocràcia
FAVOR	RT EstherCatCats: Algú es pensava q CAT es rendiria? mai! NoSurrenderCAT 
