Stance,text,predicted,true
NONE,mayor baltimore give rioters rioters #blacklivesmatter #exceptdemocrats #sanger,0,2
AGAINST,support #abortion never abortion youll give account creator taking innocent life #semst,0,0
AGAINST,generation ends abortion care toes step ofend time #semst,0,0
AGAINST,time #deathpenalty united states #wholelife #semst,2,0
FAVOR,americà support family planning cutting title wrong #protectprevention #savetitlex #semst,0,1
AGAINST,#dailywordsofwisdom pats hell children defines goverment #fostercare #adoption #semst,0,0
FAVOR,singlar importar factor womens advancement society ability controlar fertility #semst,0,1
AGAINST,continuar bless america country continuar approve glorify things opposition #ssm #semst,2,0
NONE,spent whole highlight filmar israel tripill pondre link instagram link #ballislife #semst,2,2
AGAINST,settled abortion constitutional necessarily means carrying #semst,0,0
FAVOR,today grateful controlar body govt influence #antichoice leaders stop this #abvote,1,1
AGAINST,hurts ofended flagsymbol deathsabortions millions innocent children #flag #mississippi #semst,0,0
AGAINST,pretend #tree #save babies everywhereyouthgen #semst,0,0
AGAINST,#debbiewashermanschultz woman voice doctorar voice speaks baby askin #semst,0,0
FAVOR,people prolife probirth when mother provide then #semst,0,1
FAVOR,assaulting manipulating pregnant people reduce #semst,1,1
AGAINST,womens rights joke even keeping #semst,1,0
AGAINST,forcing anything abortion medical help options very proud #semst,0,0
AGAINST,scotus again blocks texas enforcing part abortion stop killing babies #semst,1,0
FAVOR,consenting consenting pregnant like #semst,2,1
NONE,brownback visits cities #kansas signatura #bill #woman #semst,2,2
FAVOR,inching diabetes supporting #chocolatemadness #mapoli #semst,2,1
FAVOR,bodily autonomy human right persons access abortion human right #reprojustice #reprorights #semst,0,1
NONE,legal #semst,0,2
AGAINST,cursed takes bribe shed innocent blod people amar deuteronomy #dropsmic #semst,0,0
FAVOR,happiness body #semst,1,1
NONE,disagree love hard feelings #semst,2,2
NONE,forget nation nation under #reagan #christian #doglover #conservative #semst,0,2
AGAINST,nation kills children nation hope popar saint john paul #prolifeyouth #alllivesmatter #semst,0,0
AGAINST,mothers advising daughters abort insane unacceptable #condoms #itsnotonitsnotsafe #semst,0,0
AGAINST,does #pregnant #woman heads hearts arms legs #prolifeyouth #prolifegen #didntthinkso #semst,0,0
AGAINST,#peoplesdebate better child bornar marriage mothers #loneparents allowance singlar #vinb #semst,0,0
FAVOR,funny male politicians deciding women bodys,0,1
AGAINST,dia movie phase babies abortion #semst,0,0
AGAINST,focus energy keeping people alive deciding marry #semst,2,0
AGAINST,love injustice abortion abolished #alllivesmatter #semst,0,0
NONE,pressure failing miserably keeping promises made #gop #pjnet #amnesty #obamacare,0,2
NONE,happy america making people married love #marriageequaility #semst,2,2
NONE,wife blow head sound #elsalvador #semst,0,2
NONE,ever notice cruz love constitution change #aca #gaymarriage #semst,2,2
AGAINST,justice breyer injections arms killers heinous word acidic salinar executing unborn babies however #semst,0,0
FAVOR,killing baby tonight care wrong right #semst,0,1
AGAINST,thrilled announce opening satellite ofice well street #asu #semst,2,0
AGAINST,thought tissue #semst,2,0
AGAINST,thats cannibalism abortioncomparing eggs loving chicken #cannibalism #analogy #semst,0,0
AGAINST,pregnant abortion clinics starbucks #semst,1,0
AGAINST,refusar stop praying abortion #semst,1,0
NONE,what makes human race behave undignified gain attention #furgison #prideparade #potus #isis #lgbt #semst,2,2
AGAINST,begin prayer ephraem syrian #semst,2,0
NONE,joining studio amo josh musicar career kobi kihara #bands #semst,0,2
AGAINST,true progressiu work greater inclusion protections marginalized standing unborn progressive,0,0
AGAINST,prayers babies urgent prayer detroit diego caone antonio life begins conception #semst,0,0
AGAINST,abortion #abortionondemand #menstruationmatters #semst,0,0
AGAINST,thanks kudos caring safety unborn children #auspol #semst,0,0
AGAINST,sense again abortion healthcare with abortion human lies #semst,0,0
FAVOR,defunding fewer abortions dead women #prochoice,1,1
AGAINST,could before even bornto justar tinyar little thing that doesnt matter #semst,0,0
NONE,people spoke nazi world live live people #semst,1,2
AGAINST,still waiting libs explain premeditated murder premature baby reproductive healthcare #ccot #semst,0,0
AGAINST,#prolifeyouth feminist fighting womans life womb #alllivesmatter #semst,0,0
NONE,#liberals realize conceded debate shaw haggle price #idiots #semst,2,2
AGAINST,#potus seals legacy wins #gop agenda still repeal #gun laws #obamacare access #totallosers #noideas #semst,2,0
AGAINST,gag face #semst,2,0
AGAINST,gonna abortion clinic firar anyone wanna join #semst,0,0
AGAINST,theres gray area abortion discuss #legal #ethical #dilemas #doctors #patients face #semst,0,0
FAVOR,massively reduces abortion education access birth controlar #semst,0,1
AGAINST,#americans #life #liberty #pursuitofhappiness dont #unborn americà #semst,0,0
AGAINST,more #blacks killed abortion #slavery #confederateflag #semst,0,0
FAVOR,today grateful #reproductiverights families escapar poverty #abvote #semst,0,1
NONE,thank treating kindness respectar wellness exam #womenshealth #yaycondoms #semst,0,2
AGAINST,amar brothers minar #prolifeyouth #semst,0,0
AGAINST,turning racial thing #semst,0,0
AGAINST,when laws passed scotus defy gods laws children sufer bless children #promarriage #semst,0,0
NONE,narrative black lives matter black lives matter time #blackonblackviolence #semst,0,2
FAVOR,brilliant #lovewins extend equality womens rights #abortionrights #semst,0,1
NONE,hypocrisy #lovewins supporting #quitkillinggirls #semst,2,2
FAVOR,god time adjudicating womens reproductive systems results god #rape #semst,0,1
AGAINST,beautifully comunicate prolife message consistently blow away #semst,0,0
AGAINST,will #voice unborn babiesyouthgen #semst,0,0
FAVOR,premise wrong nothing earth right someones body wout consentir #rapeculture #semst,1,1
AGAINST,pollar abortion doctor told woman abortion required casar #semst,0,0
AGAINST,children greatest blessing bestowed woman popar franci #semst,0,0
AGAINST,bless america kill babies year #semst,0,0
NONE,excellent speeddating #ethics discussion today class #morality #semst,2,2
AGAINST,mint listening live talking #margaretsanger total evil even pro#abortion #semst,2,0
AGAINST,women enjoy experience #semst,0,0
AGAINST,black lives matter womb #semst,0,0
AGAINST,govt largest corporation murders babies defund #semst,0,0
AGAINST,morally wrong life sacred giver onlyhim it#haveyoursay #semst,0,0
NONE,glad home #nmh #scotusmarriage #aca #semst,2,2
AGAINST,without #life liberty pursuit happiness possible #prolifeyouth #alllivesmatter #semst,0,0
NONE,influence policy info presented whole listed partner #semst,2,2
FAVOR,whether children completely personar carrying pregnancy,0,1
AGAINST,agonist abortion vasectomy #semst,0,0
AGAINST,like weak strong #christian #wewillovercome #semst,2,0
AGAINST,#mozambiques penal code takes efect wednesday significar elementsincluding #decriminalisation #semst,2,0
FAVOR,watching teen watching farrah bitch makes abortion more #semst,0,1
FAVOR,keeping pregnant people safe great reason abortion though,1,1
NONE,protesters everywhere goal change minds rational adult scar minds kids #pgh #semst,2,2
NONE,love love terms keep faith jesus anchor storm hebrews #semst,2,2
AGAINST,equal equal work freedom fear rapar sexual objectification right abort,0,0
NONE,obamcare loses supreme court religious freedom #scotus #tcot #semst,2,2
AGAINST,equal rights bornar rights bornar #liberallogic #liberalism #life #semst,0,0
AGAINST,there sinister naziesque folk support killing babies #qanda #auspol #semst,0,0
AGAINST,long allowed show medically correct photos contraception family planning table #stopabortion #semst,0,0
AGAINST,everyone choice heaven hell #promarriage #profaith #eternallifematters #semst,2,0
AGAINST,explained baby business helped medicaid #semst,0,0
AGAINST,abortion clinics back alleys profit center conditioning #semst,0,0
AGAINST,from millionyr millionyr only make declinar making abortion criminal #semst,0,0
AGAINST,mary help christians persecuted everywhere pray #holylove #unitedhearts #maranathasns #profamily #marriage #semst,2,0
FAVOR,people kids prochoice abortion prochoice people miscarriage prochoice #semst,1,1
AGAINST,#scotus majority opinion substitute abortion capital punishment opinion texas clinic casar #semst,0,0
FAVOR,dont life abortion woman doctorar #semst,0,1
NONE,already #semst,2,2
AGAINST,notion century killing #semst,0,0
AGAINST,life #precious babies mothers fathers please support sanctity human life think #semst,0,0
NONE,provide demonstrated sexual training preparation marriage from coming woman #sexed #marriage #boks #semst,0,2
AGAINST,before formed #womb knew #prolifegen #prolifeyouth #god #semst,0,0
NONE,spirits live family bloodline once your blodline destroyed will never reincarnate again #lgbt #semst,2,2
NONE,abstinence spokesmodel brawler bristol palin pregnant happy por rich girl #hypocrite #semst,2,2
NONE,justar legal make honoring #samesexmarriage #themovie #audacitymovie #semst,0,2
AGAINST,here because mothers granted gift life abort life value #prolifeyouth #semst,0,0
FAVOR,forbid walk mile shoes then chose #semst,0,1
NONE,#bristolpalin alaska asked promote wide open spaces pretty talking state #semst,2,2
NONE,they figurar schol work #semst,2,2
AGAINST,child matters skin colorar nation continuously aborting them #alllivesmatter #semst,0,0
NONE,marcus slightly scared radical liberal side #feministally #semst,2,2
AGAINST,precisely gods eyes life precious lets make generation ends abortion #prolifeyouth #semst,0,0
NONE,god alive deserves choice marry personar love #lovewins #equalityforall #semst,0,2
NONE,cora ignorar exportar problemto #itwontgoaway #repealtheth #semst,0,2
NONE,define anything right bigot stick closedminded agenda #bigot #semst,0,2
NONE,show liberal start thinking consequences actions #polygamy #gaymarriage #semst,2,2
AGAINST,never pregnancy pregnant persons body cease support bodily autonomy #semst,1,0
AGAINST,ginsburg supports death penaltyshe call #semst,0,0
FAVOR,people government care words bible women bodies #semst,0,1
AGAINST,every human personar inestimable worth created image likeness jpii #semst,0,0
FAVOR,god morning planar women deserve chose #cdnpoli #peipoli #semst,0,1
AGAINST,ready defeat #assistedsuicidelike defeated #abortionexpansion #nopasny #semst,2,0
NONE,greatest mistakes little #humandignity #semst,0,2
AGAINST,#blacklivesmatter black babies womb somehow lives matter puzzled #catholic #semst,0,0
NONE,refusar comply wbad laws justar because #scotus forced laws make right they forçar laws #semst,0,2
AGAINST,sinnfein voted kill unborn sick children #semst,0,0
NONE,government exceeded size scope reach lives citizens #armenia #semst,0,2
AGAINST,poverty decided child live wish mother teresa #semst,0,0
AGAINST,#blacklivesmatter planned parenthod #ycot #semst,2,0
AGAINST,prolife legislative party lansing today yall there #sopumpedgen #semst,2,0
FAVOR,unfortunate #thebriefcase adoption answer #semst,0,1
AGAINST,god morning patriots continuar pray great nation #unborn great #ccot #semst,0,0
NONE,ironic sitting swiping #semst,0,2
NONE,people upset black killed knew blackkids killed #baltimoreriots #semst,0,2
NONE,gods #law #truth #supressed they thing eternal #gaymarriage #lovewins #semst,2,2
AGAINST,prochoice promurder couched liberal rhetoric #semst,0,0
NONE,#supremecourt rollar week discover #cofee something #marriageequaility #semst,2,2
AGAINST,providing medical care trap regulations #scraptrap #semst,0,0
FAVOR,defunding fewer abortions dead women #semst,1,1
AGAINST,live murder speechless rajar hurt completar disgustfinding vhard hold tongue #semst,0,0
NONE,parent left role teachers parent skills reach children importar #semst,0,2
NONE,decide firar gays allowed married choice support #semst,0,2
AGAINST,equality forgotten innocent smallest precious unborn #catholic #semst,0,0
NONE,peer pressure real parent real facts misleading shame #semst,2,2
NONE,islanders definitions timely access #irony #peipoli #peivotes,0,2
NONE,part celebration dancing butts lgbtqia pride inspired playlist what songs list #semst,2,2
AGAINST,safe contrally comandments kill #itsnotonitsnotsafe #semst,0,0
FAVOR,agree decision decisioni critics support abortion #semst,0,1
AGAINST,#scotus blocking part texas antiabortion maybe callar supreme tyrant #tcot #tgdn #semst,2,0
AGAINST,great #scotus eliminated years called murder children #semst,0,0
FAVOR,free country freedom includes freedom choice #semst,2,1
NONE,wedlock pregnancy lecture give them stunnng #semst,0,2
AGAINST,feel qualified make healthcare decisió women #thingsyoudontsayasapolitician #semst,0,0
NONE,fact todays population equivaler resident york florir pennsylvania wheres outrage this,0,2
AGAINST,#blacklivesmatter bornar black lives matter #abortionismurder #liberallogic #semst,0,0
FAVOR,when abortion responsible choice when woman choses #semst,1,1
AGAINST,#scotus support equality well equality unborn #semst,0,0
AGAINST,women womb precious #prolifeyouth #alllivesmatter #semst,0,0
FAVOR,thank godness politicians sense recognised womens rights bodies #semst,1,1
FAVOR,best health #semst,1,1
AGAINST,mothers womb safe guess churches specifically black #whoisburningblackchurches #semst,0,0
AGAINST,marriage murdering unborn gods eyes #ccot #tcot #jesus #bible #semst,0,0
FAVOR,exactly apologia needed #fundamentalist kind stop apologia rights #semst,0,1
AGAINST,senate votar paincapable unborn child protection early contactar senators,0,0
AGAINST,#prolifegen abolish abortion lifetime #prolifefuture #tcot #semst,0,0
AGAINST,bornar months premature perfectly finar killing babies legal country,0,0
AGAINST,great samesex marriage made legal long make abortion illegal #semst,0,0
NONE,#cogar #questions #ballott #irelands #dail stuck well #help #drugswar #landwar #etc #tanks,0,2
AGAINST,babies blessing loving preaching #semst,0,0
FAVOR,what reduce abortions making illegal what does education caring pregnant personar #semst,1,1
AGAINST,dare sexual preference choice dare dismembering preborn isnt #liberalism #semst,0,0
AGAINST,people child entitled life liberty abortion legal #semst,0,0
AGAINST,worldwide agent support prolife group uchose nocost proliferealestate@yahocom #semst,0,0
AGAINST,pregnancy planned unplanned brings spousesfamilies closer other #life beautiful #usa #semst,0,0
AGAINST,even #smallest #person change #futureyouthgen #semst,0,0
AGAINST,#chose thats #lie #babies chose #die prolifeyouthgen #semst,0,0
AGAINST,surprised murder legal israel illegal civilized countries #semst,0,0
NONE,love matter love #semst,2,2
FAVOR,like govt literally taking live life defunding #semst,2,1
FAVOR,support mens wrongs womens rights #standforchoice #womensrights #semst,1,1
AGAINST,canadas legal definition human being based century science time update #prolifeyouth #cdnpoli #semst,0,0
NONE,speaking rarely discussed voice #semst,0,2
FAVOR,theres undeniable inverse correlation womens chose crime ratar #womensrights #semst,0,1
FAVOR,definitely #scotus today landed women #texas #clinics #issues #semst,1,1
AGAINST,#human life problem usyouth #itisahumanlife #semst,0,0
NONE,they listening justar radar today #prayfornepal,2,2
FAVOR,refusar people shame insultar women accessing healthcare sorry justar,0,1
NONE,reminder awful representar #prolove #proeducation #prohealthcare #semst,0,2
AGAINST,them sufer children forbid kingdom #semst,0,0
AGAINST,responsible care baby unprotected #semst,0,0
AGAINST,justar abortion scotus marriage legal make moral #scotusmarriage #freedomofreligion #semst,0,0
NONE,help friend figurar stay spend night,0,2
FAVOR,monday twitter wing troll sends video abortion #reprorights #semst,0,1
FAVOR,input thanks #womanschoice #controlyourownbody #semst,2,1
NONE,equality states nice step forward america #proudtolove #semst,0,2
AGAINST,pregnancy crisi gift whether wanted else child unwanted #choselife #adoption #semst,0,0
FAVOR,nothing choice yours dictate woman choses #feminism #semst,1,1
FAVOR,justar reminder eyes #scotus #reprohealth line #womensrights #reprojustice #reprorights #semst,2,1
AGAINST,abortion workers charged manslaughter after another woman dia from #semst,0,0
AGAINST,adoption choses live obviously huge diference that right #adoption #semst,0,0
FAVOR,choice kill living babies ahead #semst,0,1
FAVOR,women independent making choices #semst,1,1
AGAINST,church prolife meeting voice unborn #savethebabiesbumpthemanimals #godislovesolovewins #semst,0,0
AGAINST,jesus loves children world bornar unbornyouth #semst,0,0
FAVOR,advocating punishment would forçar give birth wills #rapeculture #semst,1,1
AGAINST,speak themselves #prolifeyouth #everylifematters #gay #straight #baby #semst,0,0
AGAINST,mozambique thank recognizing #equality allowed make choices #semst,0,0
AGAINST,illegal kill unhatched eagle legal kill unborn human babyisright,0,0
AGAINST,#children that #flowers mother teresa #prolifeyouth #semst,0,0
AGAINST,prevent killing preborn children birth address rotar #semst,0,0
AGAINST,limitar doctor choice forçar himher abortions protect life human dignity #semst,0,0
FAVOR,coming female ability children women ability chose #semst,0,1
AGAINST,motherhods wage penalty kids kill premature babies wtfs point libs #pjnet #semst,0,0
FAVOR,lmao schol thinks giving women abortion feminism they feminism #wtf,1,1
NONE,action work #datadatadata #semst,2,2
FAVOR,people faced frothing abortion death penalty justar wondering #deathpenalty #semst,0,1
AGAINST,abortion prevent rapar kittington #semst,0,0
AGAINST,plenty reasons christians support hillary mind stand wdems,0,0
AGAINST,status preborn girls vulnerable women society #peivotes #semst,2,0
NONE,gonna fuck next weekend #semst,0,2
AGAINST,younger friends expecting babies #beentheredonethat #choselife,0,0
AGAINST,religious prolife life sacred #semst,0,0
NONE,god friday morning #patriots make ever #smile long #lnyhbt #rescuepets #sot #sov #nevergiveup #semst,0,2
AGAINST,because long ending innocent lives love nothing #semst,2,0
AGAINST,ironic perform lifesaving therapies animal preservar livesbut staunch views favor #semst,2,0
FAVOR,once again body right wout consentir still waiting #rapeculture #semst,1,1
AGAINST,pray pray abortions dangerous facilities remain unchecked #facepalm #semst,2,0
AGAINST,unjustified homicide always illegal including #prolifeyouth #semst,0,0
FAVOR,when abortion responsible choice when woman choses #semst,1,1
AGAINST,this dispersal chemical weapon kills children #semst,0,0
AGAINST,such thing unforced #prolifeyouth #semst,0,0
AGAINST,#prolifeyouth human life human life inside womb #semst,0,0
AGAINST,typo meant dia with abortion human dia #semst,0,0
NONE,matter abortion next #semst,0,2
AGAINST,megana babys heart starts beating days conception time time life #kellyfile #semst,0,0
AGAINST,abortion contraception contraception preventing pregnancy abortion terminating life #ccot #semst,0,0
NONE,many reasons changed partir #semst,2,2
FAVOR,body life fuck prepared kill #semst,1,1
NONE,fenna heat watch #semst,2,2
FAVOR,watched #aftertiller gave perspective womans chose #womensrights,0,1
AGAINST,persons personar matter small suess #waar #semst,2,0
AGAINST,equal rights except unborn #ycot #overturnroe #semst,0,0
NONE,made hollywod #blacklivesdontmatter #whitebrunch #semst,2,2
NONE,undergirding importar issue today this truth #marriage #racism #gender #semst,0,2
AGAINST,very importar #praytherosary #prayforthepersecutedchurch #semst,2,0
FAVOR,forçar woman risk health sanity life continuar domed pregnancy against will,0,1
AGAINST,abortion wrong wrong powerful words blessed mother teresa #semst,0,0
NONE,today passed comittee judiciary help #semst,2,2
NONE,words meant trigger strong emotional responses medical inaccuracies misogyny #semst,0,2
NONE,hated #progod #progun #semst,2,2
AGAINST,#hillary heres christian religion views adaptar include abortion abortion murder #semst,0,0
AGAINST,what equal rights unborn humà grow lgbt #lovewins #semst,0,0
NONE,woah hashtag pudir rainbow heart weird #butimnotgay #semst,0,2
NONE,changing cisnomative atmosphere dificultar #semst,2,2
NONE,there will never enough slogan #semst,0,2
AGAINST,#poverty decide #child #die live wish mother teresa #prolifeyouth #prolifegen #semst,0,0
AGAINST,well marriage focus abolishing abortion stoping murders unborn children #semst,0,0
NONE,lifeboatcofee thanks follow donar companies left #ccot #semst,2,2
AGAINST,ways people world america great satan #gaymarriage #drugs #wakeupamerica #semst,2,0
AGAINST,get daughter pretends existed #parenttrapplot #semst,0,0
NONE,asshat protesting #sofiavergara disgrace entire womens rights movement live live #semst,2,2
AGAINST,adoption #sorrynotsorry,0,0
NONE,planar endorse whod #peipoli #semst,2,2
FAVOR,stand people life stillborn loss #semst,0,1
AGAINST,world #semst,2,0
AGAINST,life beautiful choice adoption abortion,0,0
NONE,like yall push views remain #semst,0,2
AGAINST,perspective rapecaused pregnanciesyr abortionsyr #strawman #waronwomen #semst,2,0
FAVOR,stop calling embryos fetuses babies #semst,0,1
AGAINST,thank life lord #christian #catholic #teamjesus #semst,0,0
FAVOR,prolife probirth baby support itself #makesnosense #prowomen,0,1
FAVOR,mass state house tomorrow planned parenthods sexual health lobby #reproductivejustice #feminism #semst,0,1
NONE,people taking #semst,1,2
FAVOR,absurd referir healthcare saves pregnant peoples lives killing #semst,0,1
AGAINST,when abort baby abort personar abort generations #semst,0,0
