LABEL	preprocessing_A
NEUTRAL	hoje tive alegria almoçar doi queridos amigos ministrar ernesto ministrar damares cardapio amorar pelar brasil fidelidade nosso presidente deliciós sobremesa whatsapp nosso amigar professora olavo carvalho
NEUTRAL	actual presidente camara català reivindicar segundo referendum parar solucionar crisi territorial tengan presentar volveremos votar
FAVOR	atentos lobby juego reunio politicos españoles parar presionar favor sector aparecen nombre cabanillas rafael catala codere exdiputado andres ayala orenes #maspartidopopularmasigualdad #maspartidopopularmasludopatia
AGAINST	alla pintar parar trapero pintar parar forn parar todos esto esta orquestado desde arribar orden guion parten gencat pasan omnium mosso cdrs grupos varios título película todos eran golpistas poco imbeciles
FAVOR	quien ciudadanos resucitar puigdemont parar campaña generala este show debilitar todos pais necesitan unos otros puigdemont recoge guante arrimadas recibira waterlo
NEUTRAL	vilalta alertar psoe quiere aprovechar tramitacion presupuestos parar hacer electoralismo costar independentismo
FAVOR	alguien conoce algun argumentar favor independencia cataluña quiero hacer hilo contrargumentandolos ocurren pocos ayudas
AGAINST	parte izquierda este pais comprado relatar separatistas colar iceta ejemplos personas avalan discurso mediadoresrelatores
FAVOR	apoderar gobernar proxima legislatura apoyo partidos independentistas bildu permitir parar derecha poner encimar metre negociacion estado terminar pais terminos partido
AGAINST	tras linchamiento indepe montserrat toro redes
NEUTRAL	nou coluna gostei muito escrevêla porcar exigir bastante pesquisa area nou politica entretenimento bolsonaro produto midiatico cultura espetaculo politica show business parar pessoas feias
AGAINST	unico cambio debe realizar avenida princep dasturies renombrarla princesa asturias #colau quiere cambio nombrar parar complacer separatistas vistas futuros pactos barcelona #yoconbou
AGAINST	tienes razon cataluña esta años cataluña vive regimen dictatorial adicta governar medios propaganda parecido sociedad indepe corea norte
NEUTRAL	junqueras nòmer respondre preguntar defensar #orioljunqueras #judiciproces #junqueras
FAVOR	colar participar besamanos motivar cena mobile world congress considerar acto pleitesia vasallaje impropio democracia siglo #felizmartes
NEUTRAL	arrimadas podrir anunciar saltar politica nacional mismo
NEUTRAL	teve amorar teve compaixão teve soliedariedade teve gigantismo somos inimigos somos rivais somos sereshumanos
FAVOR	vais escoria humà buscais guerra vais tener hacerla vosotros contra vuestras propias paranoias solar sois unos malnacidos ordenar pistolero crear dios vamos reventar urnas #apuntaminombrevox
FAVOR	entiendo preguntar esta usted socio òmnium ninguno interrogados gurtel tarjetas black preguntaron gobierno daba subvencionar fundacion francisco franco #judicirac #judicitvcatradio
AGAINST	traicionado todos catalana defendemos unidad españa declaraciones nuestro presidente #parlament #sanchezdimision
AGAINST	mejor solar aceptamos damos bienvenida poco decencia socialista dir esta bien tonteria cesion politicos separatistas golpistas justicia esperar todos
FAVOR	ines arrimadas posar madrid quedarshi madrileña esta tierra
AGAINST	indignación total toda comunidad esta noticiar bomberos forestales manifestándose creando altercados uniformar total impunidad asuntos internos citar declarar mosso republica existe idiota #comparte indigne
AGAINST	parar colar todos tienen lengua matern menos hablan español #dolcacataluña #jacobialcalde #barcelona #tabarnia #españa
AGAINST	perdais periodista xavier riure desmonta todas mentiras separatismo menos cinco minutos podeis siguiente enlace
FAVOR	ademas medios comunicacion arabes bombardean constantemente poblacion toda estrategia parar demonizar españoles algunos politicos arabes califican terroristas golpistas criminales acusan violentos cuando solar violentar policia
FAVOR	mismo libreto jose antonio nieto afirmar hubo cargas policiales escriba gogle cargas policiales octubrar car verguenza
NEUTRAL	padraic kenna mientras bancos interese precio vivienda alto politicos poder hacer néixer
AGAINST	funcionariado hunde defensar golpistas
FAVOR	#inesssss cuidao vendre drones indepes bonito quedado jefa
AGAINST	ofreces competencias parar lograr satisfacer nacionalismo siempre habra cosas parar sentirse insatisfecho error querer satisfacer nacionalismo competencias
AGAINST	calladitos estai golpistas fascistasno esta gustando mucho juicio eh golpistas fascistas violentossois chulos ocho
NEUTRAL	contado trabajo unos cuantos indepes pua
AGAINST	#pensamiento causar sonrojo verguenza ajena escuchar quim torra cuando manosea conceptos democracia libertad
FAVOR	huevo heridos colegios policias heridos colegio vaya rebelion mierda mucho ruido tumulto pocas nueces tergiversar difamar algo quedar #thisistherealspain #nioblitniperdo #judicifarsa
AGAINST	sorprende buenisimo aquellos apoyan indepes dices superiora diferentes mejores solar quieren deshacerse crear inferior carga guay apoyar burgueses luego solidarios tecla tocan
NEUTRAL	tomando anta
AGAINST	siguen campando anchas toda hasta puntar solar atreven acosar jueces politicos atacar sedar judiciales paso alla atacado pintura amarilla cuartel #lasilenciosacat
AGAINST	alguien mencionar bien pagar monica terribas llamadas desde parar conocer desplazamientos vehiculos #judicitvcatradio #juiciodelproces
FAVOR	este tipo cuyo cargo sido votado titular impuesto dictador fascista cuya familia fuente legitimidad nido opacidad corrupcion latrocinio lecciones democracia porra
FAVOR	trivagos holigans verguenza ladran anta jeure dominguera #reclamamosrepublica parar ilegalizar condenados corruppcion desenmascarar mentirosos pacstan paqui pallar combatir fascismo perros vxeros pasarán
AGAINST	#deabril todasos izquierda progresistas ciudadanos sensatez sentido comun tenemos #votapsoe #siemprepsoe #yoconpedro
AGAINST	hospital sant esteve piensa ladron todos somos condicionar pides grabaciones videos hacen indepes lazitos amarillos todo premeditar preparan parar maquinar urdir intrigas vetar acuestate cama hospi
FAVOR	pais normal irene lozano upyd habria dimitido comparar votar violar pasarse presuncion inocencia entreforro pero españa premiar #psoe #joacuso #fakesuprem
AGAINST	pontar situacion atrevete levantar parar discrepar rodeado simbologia golpista supremacista jefe todos cortesanos coreando hospital siun hospital
FAVOR	cancer faltando respeto sufrido cancer independencia proyecto legitimar unidad millones independentistas creciendo como extirpar estilar franco habra recurrir bien referendum quieres imponer
NEUTRAL	#últimahora soraya rodriguez baja psoe discrepancia profund politica partido independentismo
FAVOR	albert rivera haciendo campañaluego vengais diciendo sabiaispor cierto este caballero contra subida podemospara prioridades quedar claro gente necesidades #eleccionesgeneralesabril #sisepuede
FAVOR	director votar referendum ilegal cometer violacion sexual entrevistador escandaliza palabras nacionalismo español grado maximo #freecatalanpoliticalprisoners #republicacatalana #cataluña
AGAINST	miercoles comienzan testificales primero politicos despues testigoses decir interesante
NEUTRAL	empresarios independentistas concurren elecciones todas camaras catalanas #economia
AGAINST	despues escuchar roger torrent ayer crear debe vamos tengo claro parlament catalunya debe existir fuerza parar molestar independentistas
FAVOR	verguenza españa haya gente mintiendo delante juez aqui pasa néixer todo proporcional sabe medio mundar hasta psoe presentar queja contra cataluña esta flipando injusticia saldra indepes
AGAINST	limpiate boca cuando hables #guardiacivil nombre palabra #paz cuerpo seguridad mayor #codigodehonor sufrido violencia banda #eta #bandaterrorista cobarde deleznable
AGAINST	habia menos esteladas corto parar relacionar independentismo unionismo unos marroquies casi saber hablar castellano digo ahora futuros votantes indepes
FAVOR	estos piensan canada vieron imagenes como hace frio twitter estaba congelado octubrar
FAVOR	entiendes nacionalismo quiero supuesto néixer identitarioetnico parecido proceso yugoslavo hablo solar decidir democraticamente organiza cualquier sociedad
NEUTRAL	contatinhos sofrer pelar mesma pessoa coisa adolescente adulto ficar esperando melhor cartão fazer comprar
FAVOR	lugar cotar juan deva alza #puente romanico testigo #historico #ballada #independencia libro contra #franceses #febrero #historia unica #identifica
FAVOR	diselo compañera hilo generalizando clasificando bandos indepes noindepes
AGAINST	#quenoensenfrontin divide venceras quien pone lazo amarillo quien quitar bancar quedan guitar
AGAINST	incomprensible esta desapareciendo voluntad propia cataluña tras victoria autonomicas primero sacrificaron siglas ahora arrimadas todo parar hacerle hueco impostor frances vall verdad gobiernan desde parar
AGAINST	alejandro fernandez madrid pedir nuevo solucionar politica
AGAINST	guardia civil suspendido grabar desde dentro coche policial tras furgon golpistas actuar pero expte faltar leve suspenderlo inmediato evidenciar desverguenza director general politicos interior cobardes
NEUTRAL	desde españa estaremos pendientes salida
AGAINST	podido hablar hora comer socialista siempre principios sentido estado dedos frente solar puedo decir #sanchezdimision
AGAINST	sanchez cierra volver pactar independentistas tras elecciones abril
NEUTRAL	ministerio interior vetar president llevar seguridad oficial mosso acto compartir tardar puigdemont
FAVOR	estar deseando catalana monten follon tresar pare haya violencia decir esto terrorismo tiene néixer independencia solar buscan relatar violentar violentar
FAVOR	deberias aprovechar estar pres madrid parar contarnos aravaca harvard facha
FAVOR	peter gabriel apoya causar democratica catalunya apoyo internacional empieza contundente deja evidenciar estado español #judiciproces
AGAINST	fiscalia investigar independentistas difundido fotografiar secretar judicial ratas miserable
AGAINST	grabacion desvelar presunto cobrar psoe andaluz comisiones empresas subvencionadas seguimos corrupcion psoe señoresy votar rita cantaora generala #eleccionesvotoderechas
AGAINST	traduzco respetamos democracia obviamos mayorias parlamentarias necesarias imponemos nuestras medidas contra pueblo
FAVOR	todo dice acerca restaurar democracia venezuela solar encubrimiento parar configurar paisa latinoamericanos segun criterios estadounidenses reiterar director departamento america latina cancilleria rusa
AGAINST	ser excelente muestra circulos cercanos governar talento hace triunfar siquiera profesionalidad
AGAINST	consejero actualmente fugado justicia toni comar pide separatismo suba tension cataluña
AGAINST	verdad sabe iban ell nadie quien determinar verdad juez primero democracia algo escasea catalunya
AGAINST	estoy viendo puigdemont sacando bandejar pastitas invitando arrimadas demostrando dialogante buenrrollista pero quien ocurre darle profugo tardar gloriar
AGAINST	dice sumisa pua dimitio entonces bien arrodillo bajo mesas represores tiene nombrar
NEUTRAL	sera morir auto prenderse proprio rsrsrsrsrsrsrsrs
FAVOR	cobos decia estaba intentando aplicar articular puerta atras hizo fuerza probablemente colegios electorales marchena decide acabar sesion seguir mañana partir
AGAINST	aqui tuit borrado referido millo juicio autor toni alb publicar mintiendo origen fotre sugiriendo trataba herido octubrar
NEUTRAL	concordar definitivamente odiego tipo anta dessa turminha acha lindo plantinhas fazendo fotossintese
NEUTRAL	deixar minha principal criticar pottker podar titular titular podar terminar paida jogando essa bolinha ninguém podar intocável
FAVOR	cuentan directo policia entrar hacer fuerza colegio puigdemont pero resultar entraron destrozando puertas interior habia prensa internacional conectando directo
AGAINST	pua levantado sintiendome ciudadano imperio cartagines exijo poder autodeterminarme ciudadano carthago inmediatamente mediante referendum puedo votar unicamente autodeterminarse delitar estado español fascista
AGAINST	#siguemeytesigovox aqui estoy votando desde primeras elecciones presentaron
AGAINST	republica burguesa yanqui alemana francès donde siguen mandando mismos cambia explotador néixer estoy republica democratica popular donde poder verdad gente
FAVOR	dice presidente primer partido condenado corrupcion tiene cas abiertos politicos condenty carcel pagar dinero pactar partidos extremar derecha todo legal
NEUTRAL	essa velha politica jornalista brasil mudou muitos querar aceitar isso
NEUTRAL	presidente lamentar independentismo tiene pavor sentarse dialogar descartar pactos tampoco cierro podemos
AGAINST	ordenar referendum dicho forn mosso
AGAINST	profugo puigdemont colado exposicion catalan parlamentar europeo acompañaban restar fugados pobre alimentar esos numeritos parar aparentar pintar algo europa convencer catetos️para apuntarse cridar
AGAINST	pua parece descabellado noticiar esperanzadora noticiar transmite nacionalismo tiene curar
AGAINST	convertido #parlament club privado separatistas impide partido votado cataluña defienda todos catalana
FAVOR	cantar victoria todavia quedar carta
NEUTRAL	ferrovias aeroportos rodovias brasil paisa alinhados ideologicamente desviando nosso dinheiro cuba venezuela carioca brasileiro contribuintes agradecem investimentos trarão empregos desenvolvimento parar nosso brasil
AGAINST	recuerdo perfectamente desde medios radiofonicos afinar pruses hicieron llamamientos movilizacion tipos rejas dejo confiar justicia española #juicioproces
FAVOR	pero estas acuerdo paguemos mrda campaña españa parar limpiar imagen deteriorar futuro saba preferimos pagar anta agentes privados parar proteger nuestro president puigdemont
NEUTRAL	dice asesinato motivos parar tomar decision asesinarlo
NEUTRAL	cuanto dialogar todos saber admiten crisi català empatar catastrofico indepes indepes apuesta largo plazo solar viable alcanza poder frente nacional tradicionalista pide ilegalizaciones
AGAINST	chile volvio pais corrupto empresarios prebendarios politicos corruptos instituciones debiles importante sociedad civil empodere sacar principal activar nuestro pais honestidad
NEUTRAL	tenista destacar solucionar conflicto pasa convivencia
AGAINST	durante años visto cataluña establecia discurso unico separatista habido contradiscurso parte constitucionalistas haya fallado habido siendo hora gente hable reparos menos fuera cataluña
AGAINST	esta siendo juicio precioso tirar parar lado todos culpan demas defiende chulerias politicos otros intentan salvar pellejo enteran néixer aplauden
AGAINST	varar considerar votante deberia castigar partido niega dialogar equivoquesel votante castigar partidoal dialogar filoetarras independentistaspor #eleccionesvotoderechas
AGAINST	mayoria catalana queremos quedarnos huerfanos politicamente lacrar parar democracia libertades todos habitantes largate dejanos vivir
FAVOR	periplo familiares pres politicos minutos cristal
NEUTRAL	quem medo
AGAINST	nieto fuerza minimo imprescindible queremos agradecer valentia janietob #juiciodelproces defender laborar policia guardiacivil aquel #orgullososdenuestrapolicia
AGAINST	fascismo seguro ell@s autodenominan socialista todo contrariar
FAVOR	ahora viene turno gratuito pueden creer paradigma existe animar lucrar #fakedemocracy #faketrial #judicialesurnes #judicitvcatradio
AGAINST	referendum ilegal costado fuga miles empresas cataluña fuga millones euro depositos siguen mismo
AGAINST	esperar deseo ejercito venezuela mantenga protegiendo democracia
FAVOR	amigar dejo seguir quien puesto perfilar votar quien insultar pedrosanchez psoe porcar hicimos amigos hace hilo amigar navarra independentista discutiendo independencia
FAVOR	maldir monarquia medieval wahabita #saudiarabia hambreado pueblo #yemen maldir monarquia modern corrupte #españa suministrado armas malditos sionistas #israhell yankee #eeuu estar detras estas marionetas #ayudahumanitaria
AGAINST	votar algo prohibido tribunal constitucional incumplir saltarse leyes constitucion españolas apartar saltarse estatut leyes parlamentar cambiando arbitrariamente funcionalidad parar conseguir transitoriedad delitar
AGAINST	tractorianos proceso llevan siempre dodotis puestos pobre iluminados republica colló republica existe idiota #equiparacionya
AGAINST	españa queremos españa nuestros ciudadanos quieren españa feminista igualdad oportunidades españa prosperar ecologista españa nadie tenga irse nadie quiera irse #laespañaquequieres
AGAINST	linea siempre separatistas llorar mintiendo manipulando sacando contexto dicen
FAVOR	despues bernabeu barcelona cuatro madridistas dieron insultar todos cular habiamos presenciado partido politicos pres hicimos caso merengue malos ganadores perdedor vuelven animales rastreros
NEUTRAL	triomfar tambien conocido sitio friki gracias tanto
AGAINST	@rfecaza reune parar presentar #lacazatambienvotaespaña traslado absoluto compromiso #caza institucion federatiu refrendando #lacazatambienvota #españa #laverdaddelacaza
AGAINST	emprendre tsystems pertenece grupo cuyo principal accionista estado aleman mismo permitio golpista puigdemont volviera campar anchas buena parte paisa europeos
FAVOR	engañeis anoche berbenabeu otra tactica estado hispanico parar desviar atencion farsa juicio pres politicos buenos dias sedicios@s rompepatrias putaspanya fascista bien quedado
NEUTRAL	venezuela enter millones mayoria protestar contra maduro imagenes impactantes multitudinario apoyo oposicion guaido pierdan
AGAINST	#felizjueves independentistas choca histeria fairy escribe gabriel rufian porcar estar bien informados
AGAINST	#siguemeytesigovox gracias participan sigue retuitean sigue quien siga escribe nuevo tuit hashtag #siguemeytesigovox #porespaña #españaviva #eleccionesvotoderechas
FAVOR	hubo heridos recuerdo policia pegar recuerdo referendum lega pua claro españa grande libre santiago españa democracia claro franco vive
AGAINST	surrealistas declaraciones interrogatorio jorge sanchez causar contra proces falsario arrogante mentiroso manipulador discurre testifical totalitario golpista niega hechos imagenes imputan acusaciones #golpistasaprision
AGAINST	izquierda necesita enfrentar parar sobrevivir lucha declases generar dividir enfrentar parar gobernar politicos frenais espiral odiar rencor anta tardar
AGAINST	viu pais golpista amigar asesinos fascista delincuente inutil secesionista incitador odiar violencia hipocrita demagogo diputado congreso todas esas lindezas pagamos €año rufian telar
AGAINST	nazi poco apartheid militar guardias civiles constitucion català
AGAINST	tiene golpista trullar años
AGAINST	parte pueblo contra golpistas parte sienten expoliados amenazados separatistas como muchos millones damos nuestras vidas aportar mismo nuestros hijos lobque hemo recibido sere extranjero tierra
FAVOR	pua aplicarian preguntas fiscal puto idea como funcionar gene ahora robar proyectos hasta investigacion tiempo
NEUTRAL	acabar privilegios franquistas puntos torra presentar sanchez
NEUTRAL	diez frase turull juicio proces exconseller asegura siempre buscar referendum fuera pactado
AGAINST	debe repensarlo anularlo puede caer circo puigdemont prestigiar
FAVOR	envuelven banderas parar hablar patria luego saquean patria defienden quieren subir salario minimo pensionar regular precio alquileres bajar recibo blindar sanidad #lapatriasonpersonas
FAVOR	marit home fantastic trucar preguntar toro socia socia òmnium socia unidad nacional española ehemno socia militante simpatizante ciudadanos marchena implosiona #judicifarsa
AGAINST	usted verguenza persona absoluto fascista verdad este criminal merece ningun tipo homenaje consideracion dije batasunizacion independentistas catalana esta paso corto
NEUTRAL	vagabundo foda criar
FAVOR	dank ajax jong españa real madrid caen trozos esto ajax fairy enesimo fracaso superior florentino perez corrupto caspa españa rancia palco bernabeu #españistan #juiciofarsa #championsleague
AGAINST	disfruta juicios golpistas catalana lote ⁦@pigdemont⁩
FAVOR	esta bien trampa fairy pero nadie preguntar generalizado brotar alergia sufrieron agente seriar atacar armas quimica cdrs #millo #judicifarsa #fairy
FAVOR	ultraderecha española comienza aplicar españa manual golpista ultraderecha venezolana necesitan recuperar gobierno parar continuar robando vale todo
FAVOR	directe repren judici declaracio jose antonio nieto numerar zoido puigserver responsable interior aixo prometre
FAVOR	ellos vuelven racistas xenofobos homofobos misoginos defensora maltrato animal fascistas vuelve rancio pasado impidio permitas gobiernen #yovoto vetar votar #buenasnoches tod@s #felizfinde
NEUTRAL	apoyan generalitat devuelva parte papeles salamanca tambien piden hagan entregas separatistas quieren romper unidad españa
AGAINST	asco gobierno sanchez acceda exigencia golpistas nombrar mediador trate maquillarlo hablando relator metre partidos
AGAINST	#últimahora psoe piden tajani vetar conferenciar puigdemont eurocamara sido invitado junto torra eurodiputados nacionalistas
FAVOR	spoiler digan digan estar condenados españa acepta derecho autodeterminacion españa cagar derecho autodeterminacion contra derecho todo vale #judiciaalademocracia #judicifarsa #judiciproces #judiciacatalunya
AGAINST	parar solucionar problema cataluña tambien solucionar otros muchos problemas españa hablar empleo educacion #lnarrimadas #graciasines
FAVOR	#relatorarv cosa cierta indepes aumentan paso ligero cuanto peor mejor
AGAINST	esperate siguientes mosso jaume poder hacer todas fechorias comisarios politicos cabre cuerpo policial sabe prim obediencia todo jueces
FAVOR	este chulo putas analfabeto pactar derechona convergente mañana golpe democracia tardar habria imaginado solar nazi hormonado peores sueños
FAVOR	crear tajani puesto riesgo libertad expresion europa #tajanipuppetoffascism
AGAINST	gustar saber obras este tipo pueblos restar españa diana estuviera quim torra procesados armar indepes
NEUTRAL	exintegrante psol fiel escudeiro partido mais corrupto historiar brasil tentou assassinar bolsonaro presidente felizmente segar recuperando
FAVOR	reconoce referendum legal entonces homenajear unos agentes violentos armados atacaron ciudadanos propiedades privadas motivar alguno
FAVOR	eran ultrafachis sabiamos juicio farsa tambien nuestros pres politicos inocentes duda pero habían fiscales memos ridículos #joacuso #devastados #thisistherealspain #marcaespaña
AGAINST	soberbia indepes tiene limitar supone este señor jurista
NEUTRAL	queria nesse momento
AGAINST	despues negativar independentistas aprobar presupuestos socialistas catalana piden elecciones torra
FAVOR	quizas quienes tratan ahora desprestigiarla constitucionalistas dicen negar derecho alcaldesa negar constitucion negar nuestra propia democracia
NEUTRAL	bolsonaro segur exoneração bebianno novela fritura ministrar segar marcha
AGAINST	desde avanzamos planar estrategico parar #ayudahumanitaria #feb aprobamos iniciar fase atencion crisi saludar desnutricion sever ciudadanos ongs iglesia comunidad internacional militar vzla necesita todos #vamosbien
AGAINST	descortesia #colau simbolos nacionales monarquia bandera vergonzante impropia cargo activista independentista #yoconbou
NEUTRAL	esta situacion #venezuela pocas horas concierto venezuela live
FAVOR	españa esta cagando repente partidos europeos estar planificando accionar conjuntas favor cataluña respaldo abierto pres politicos
AGAINST	muchos ciudadanos saldremos vosotros estamos hartos politicos utilicen nuestra guardiacivil policianacional victima propiciatoria calmar infulas socios secesionistas arriesgando vidas nuestros hombres propia seguridad ciudadana
AGAINST	quizas democracia algunos venezolanos comian perrarina aunque crear anecdota mediatica repetir tirania nadie puede negar #hambre muerte muchos faltar comida #comunismo #diamundialdelaalimentacion caricaturar
AGAINST	️recordamos aitor esteban deja suelos albert rivera parece ventrílocuo entrar tembleque #siemprepsoe
AGAINST	esta semana independentistas comú decidieron pleno semana viene hara cayendo reuniones comisiones mañana grado degradacion #parlament deberia preocupar cualquiera crear democracia autogobierno
AGAINST	bernardhenri levy puigdemont escupido car españa democracia europa
NEUTRAL	você saber psol desviar dinheiro sindicato parar criminoso dinheiro publicar
FAVOR	tremend iniciatiu docente feminista antifascista comprometida lucha contra terrorismo machista #apuntaminombrevox ademas trabajo parar seamos muchas plantemos car #noadoctrinamos enseñamos diversidad respectar #manadafeminista
AGAINST	padecen cinismo manipulacion mentir utilizacion resortes estado favor partido #psoe siempre inconsistencia
AGAINST	enric millo puede negar independentismo violentar ellos dicen manifestaciones todo amorar tiran papel como este intentar linchamiento sant carles rapita pacifismo separata
FAVOR	parar amargado machismo corrupcion fascismo abusar infantil parte iglesia pobreza pero viendo perfilar tienes pintar buen subdito mafia estado esperemos llegado momento tengas pedirle néixer pueblo
FAVOR	murallas humanas siete coches devastados matrix fiscal #joacuso
FAVOR	haceis dando procesista negacionista catalanofobia esta señora cancer parar movimiento independentista
FAVOR	siento pena viendo pobre hombres hacer cumplir voluntad pueblo encuentran privados libertad enjuiciados #llibertatpresospoliticsiexiliats
FAVOR	fascismo dedo arrancan brazo
FAVOR	partidos independentistas cargan presupuestos paso gobierno mientras derecha acusar gobierno haber pactado independentistas alguien explicar
FAVOR	igualar gestar sanchez independentismo sido poner fiscal justea nosotros hemo sabi
AGAINST	eslovè decian incapaz levantarse misma hora andaluza tócate peineta #eleccionesvotoderechas
FAVOR	represion caracteristica estado borbonico aceptacion plurinacionalidad españa sido mayor generador independentismo
FAVOR	lastima unico pedian partidos catalana puedan aceptar socialistas diálogo #thisistherealspain
AGAINST	comentar retuitea ferran burriel pagar trabajar quejamos reformar laboral #lasilenciosacat #juiciogolpistas #tabarnia
AGAINST	puede haya esos partido igualar indepes votan comuna
NEUTRAL	alegato politico junqueras pragmatismo forn admitio ilegalidad vacuidad ilustran disenso independentista #opinion
FAVOR	jose antonio nieto dice habia orden judicial parar registrar sedar cunidospodemos testigo miente habia orden judicial #judicio #judicitvcatradio
AGAINST	golpista prision traidores prision ideologia generar violencia tiene generar corruptos prision españoles primeros vida trabajo ayudas resurgir ciudades fantasmas talavera transformar ciudad vida
FAVOR	mismos piden dimision sanchez dialogar cataluña apoyan robar arcas publicas todo orden #sanchezdimision
NEUTRAL	española primer mujer lograr campeonato mundar motociclismo mundial supersport
FAVOR	pantallas mejores presupuestos democracia revolucionar bolivariana quedar pequeña lado union republicas socialistas ibericas plantea gobierno
NEUTRAL	gente bloquea otros cuando enfadan hablar cosas
AGAINST	curioso misma izquierda amonestar niño hacerse fotre cristianar problemas hacienda dice néixer cuando politicos hacen foto messi pesar problemas hacienda moralistas hipocritas hasta nausea
FAVOR	intentar borre este video traiciona subconsciente dice verdad populares #siemprepsoe #votapsoe #abril #laespañaquequieres
AGAINST	debes crear dominar seguro supongo dominaras tanto nuestros magnificos politicos parar intmidad decia aznar poquita cosa
FAVOR	#apuntaminombrevox chulos engominaossois partido deberia ilegalizado banda defensor genocida toda parafernalia fascistano amenazeisno estai posicionar hacerloy tocar témer sensible violencia machista
AGAINST	pua derecho humano millones catalana derecho verdad verdad liderar separatistas nunca encontraron pesima democracia española jueces carceles hasta procesados sistema vale parar todos menos parar ellos
NEUTRAL	negociacion hecho nunca sido finalista salvar caso torra puigdemont querian néixer concretar solar algo permitiera explicar votantes votar favor insultados tuiter tuiter digo pres
