LABEL	preprocessing_A
AGAINST	sou baix temporalitat precarietat patir madrid barcelona necessitar unitat #redistribuirlariqueza servei majoria #quenoensenfrontin #felizdomingo
FAVOR	mur humà llarg historiar shan convertir icona universal defensar dret llibertat huma puto huma voler tombar trobar faltar feixisme entrar casa
AGAINST	tardar teatre primaria tresar porquet
AGAINST	aqui poder veure jaume asens liglesias comparar albert rivera eichmann cert algu explicar pronunciar cognom ordre
AGAINST	quan turull demanar preso nanos lassalt parlament represor
AGAINST	esperar signar conveni marcar llei front #condonaciondedeuda
AGAINST	preciós massatgista erotica català fara delicies mà blanc puig català calent
AGAINST	sap pilar creure diada gana emocionar recordar presoses exiliatsdes totses aquellses patir violencia #joanirealadiagonal #diada
AGAINST	mentir aixo falsar
AGAINST	pregonero fiestas cerdanyola llama prostituta ines arrimadas
FAVOR	tossudament alçat cami republica #omplimsantjaumes #femxarxa #llibreslliures
NONE	desè jove col·lectiu universitat republica mostrar cartell reclamar llibertar pres independentista discurs president tribunal constitucional
AGAINST	aixo reglamentar aprovar juliol despres setembre aplicar lesmentat reglamentar favor retallar titular conèixer noticiar sencer
AGAINST	segurament gent venir frança
AGAINST	sentir condoldre lalcaldessa morir marit suportar escalfar moment dificils
NONE	descoltar compartir arribar queixar escoltar tampoc #llibertatpresospolitics
FAVOR	realment plantejar voler veritart independencia potser bonic espaiar pensar igualar cridar independencia venir fernos fora destar disposar sacrifici necessari assolir objectiu
FAVOR	portar suprem parlament europeu destar pendent passar persona raul romeva jugar #judicio
AGAINST	cupvercgencia distreure idiota votant pastanaga reial veure lestafa proces contra vegada #cupvercgencia atacar espanyol monarquics processisme monarquia necessitar mutuament
FAVOR	començar tenir clar unica solucio votar massivament sortir
NONE	espectacle brutal personatge majuscules oferir dur brillar guiar millorar representacio primer reacció #postfuncio #dansavenjança despres divendres començar funció
NONE	nòmer pels somriure tiparraca toro provocar pres valer pena
FAVOR	lexhumacio franco trencar tabu imposar transicio intocabilitat franquisme convenir quedarse aqui trencarne daltres lexclusio dret pronunciarse republica lautodeterminacio
FAVOR	conclusió observador internacional assistir tresar primer sessió judici proces #judicitvcatradio
FAVOR	iniciar tertulia politica #laciutat debatint futur
AGAINST	jlluis espinos conclos grup formacio dual general sino estructurar permetre formació treballar projecte hora treballar competencial #perqueapostem
NONE	kogoro millor #detectiuconanxl
FAVOR	avui aprovar #plehg prec presentar demanar governar impulsar campanya fomentar lesport femeni basar contra desigualtat generar lesport proposta extreure campanya lesport tot graciar
FAVOR	realment independentista violent policia contra levidencia
NONE	️ avui podrir daltra maner sumar #diainternacionalcontralalgtbfobiaeneldeporte aquest febrer dir #lgtbifobia futbol lesport general
FAVOR	pinya indepes volar colom colar coscu rabell fer indepes cosa pasara justificar tripartir autonomic
FAVOR	seriosament crear algu brigada matar feixista
NONE	jose antonio nieto exsecretari destat seguretat pensar organitzacio fer cridar concentrarse escorcoll guardia civil #judicitvcatradio
FAVOR	parar escriure famos missatge jordi sanchez rotundament #judicitvcatradio
AGAINST	quin mania parlar sempre dignitat sentir comu pragmatisme hauriem estalviar patiment
FAVOR	veure tothom amoinat saber poder aplicar ser independent algu recordar
FAVOR	quant repressio indepes determinar entendre entendre comportar
AGAINST	voler desaparèixer lescoria
AGAINST	millo acusar violent criminalitzar posar relatar sen perseguir penalment
NONE	general guardia civil catalunya doctubre ángel gozalo parlar defensar urna puntar veure defensar llenguatge prebel·lic #judicitvcatradio
AGAINST	aquest article espectacle aixo aixo lactia puntar puntar primer lultima frase
FAVOR	independencia poder celebrar cosa marcar social culturalment ciutat gent capital enten nòmer importar cremar cosa pua apagar vamonos sap
NONE	#totesmoutv cansare repetirho malvat monstruós equiparar error politics evident duns indepes error formar violencia preso repressio altre monstruos comprar marcar sisplau
AGAINST	parlar carrejar responsable
AGAINST	veure tergiverssi veure capaç dentendre dacord veure
NONE	aniversari programar inpa passar temps millorar xifrar faltar millorar felicitat lequip
NONE	paula voler posarme contactar podrir indicarme direccio demail seguirme segon poder ferho molt graciar
FAVOR	arribar puntar voler introduir marcar mental dialeg referendum pactar solucio aixo renunciar ultims any manifestació doctubre hosties rebuda tornar
AGAINST	clar vitores gent laclamava
AGAINST	bo part catalunya ploure febrer dia pluja #alcanar recollir generar pluja apreciable #montsia #meteocat
AGAINST	ahir acabar deria pero preferir provincialisme carca
AGAINST	dixi publicar twits millo qualsevol veure video sencer sadonara classe persona vosteper cert recordar partir diputat catalunya alcalde municipi esta viar desapareixer
AGAINST	millorar maquiavelo putu estrategia alliberar metre passat
AGAINST	sortir talegon timeline
FAVOR	carles puigdemont fara acte febrer universitat groningen paisos baix
AGAINST	santi vila fake simbolic trascendencia processistes traidor ratar botifler vendre turull fake simbolic trascendencia processistes exemple dignitat heroi politic gent ️️️
AGAINST	alla mantenir dialeg dificil
NONE	airbus deixar fabricar despres principal client laerolinia emirates cancel·lar part comandar daquest modelar
AGAINST	recordar parlar actuar subnormal tant deure pagar formar carrec formar part proces farsa
FAVOR	directe expectacio conferenciar president puigdemont torra brussel·les
FAVOR	autodeterminacio dret social civil politics llibertar presa politiques retornar exiliar dissabte manifestacio imprescindible barcelona
AGAINST	abdul aziz muhamat refugiar sudanes confinar centrar reclusio guanyar prestigios prémer internacional #dretshumans #martinennals
NONE	fill ideologics coronel galindo allo dir tenterren calçar viu torturar intxaurrondo
AGAINST	quan tensar covar pero aleshores dedicar politica dedicar empresaria explotadorao algo aixi
NONE	conseller dexteriors alfred bosch comparèixer despres declaracio raul romeva veure home #judicitvcatradio
AGAINST	aixo noticiar júnyer aquest granar unitat inmensa majoria català lluitar junt contra retallar contra artur prou #quenoensenfrontin unimnos ⁦@recortescero⁩
FAVOR	darribar independencia ser esperar cami triar governar pres exiliat conduir creure lexperiencia convenient primer principi revolucionari adaptarse realitat canviarla
AGAINST	boye respondre graciar deure ironic
FAVOR	brutal #igualada miler personar omplir plaçar lajuntament dignitat coratge defensar democracia #llibertatpresospolitics #llibertatpresespolitiques
FAVOR	despanyar amenaçar sindicat regir callar metre recordar sindicalisme pais nòmer conquerir espai poder fort poder front repressio
NONE	sanchez descartar pacte postelectorals despres excepcio
FAVOR	benoît hamon excandidat socialista francès judici proces regressio #judicitvcatradio
FAVOR	company willy toledo llibertar provisional despres declarar davant jutjar solidaritat forçar lluitar #lanostrasentencia independencia #mecagoendios
NONE	alejandro fernandez criticar dissabte liderar #ciudadanos #catalunya ines #arrimadas anar #waterlo belgica retorica populista caure lexpresident generalitat carles #puigdemont
AGAINST	aixo entrevistar periodistica periodisme esta fotre doncs
FAVOR	deure politics conduir emoció racionalitzar situació trobarhi sortir clau descriure posicionament actual principal forçar independentista
NONE	buscar periodista experiencia lambit comunicacio politica projectar periodistic interessat interessar miquelpellicer@laviniatc graciar
FAVOR	votar junqueras miquel roca echenique favor llistar unitari transversal lobjectiu república català votar poblar viure república català
FAVOR	tambe visitar parlament flandes reunir president cambra peumans puigdemont torra conferenciar conjuntar brussel·les malgrat censurar tajani
AGAINST	franco necessitar any exercitar tancar generalitat jutjarne governar prohibir catala graciar processisme exercitar jutjar funcionari enviar madrid prou #processisme submissio #judicio
AGAINST	marchena demanar fiscal preguntar concretament
FAVOR	haventhi alternativa lefta hauriem voler formar part daquesta podrir titella feixisme #tajanipuppetoffascism firmar demanar lingres lefta
FAVOR	trescents vintinou vuitantavuit trescents quarantavuit preten aguantar violent #garrotuit #llibertatpresospoliticscatalans #llibertatpresespolitiquescatalanes
NONE	complir any morir dantonio machado
FAVOR	pero acceptar mirar quin europa maco #judicifarsa #judicidelavergonya
FAVOR	#conferencia #directes #independència #tàrrega biblioteca visualitzala partir diumenge març conferenciar realitzar tàrrega febrer #proucensura
FAVOR	aquest dia pensar discussió sortir aixo elogi lempatia davant tecnocrates racional provocar emocional jordi graupera robot
AGAINST	debo graciar galleda merda creure jair pressionar llaçar ell cervell
AGAINST	estiuar marie antoniette
FAVOR	seguir comprar d@esquerraerc seguir tenir nòmer moment castigar canviar cosa #jojanocomprofum #aojuntsores
FAVOR	cridar votar intencionat gilipolles caure pota intellegent pensar beneficiar votar partit indepes
AGAINST	recordar daquest magnificar article miquel martin riera paradis devastar doncs fotre natura paisatge daquesta calar nòmer perviura literatura lajuntament #begur convertir riera benidorm
AGAINST	magrada insultar tenganyis acostumar ruc copiar bernat dedeu
AGAINST	#terrassa permetre luxar provar tripular renunciar punt recarregar vehicle electrics nòmer dia respondre governar inacceptable voler projectar ciutat modern sostenible
FAVOR	directe nieto durar junt seguretat insistir referendum il·legal situacio risc possibilitar xoc violent
AGAINST	semblar cridar nacional caure tuit seriar llastima romandre internet posterioritat
FAVOR	buscar tenir dinar proper #setembre passejar bornar organitzar dinar popular paella opcio vegetarià aigua postrar tambe fer acte politic faltar #organitzemrepublica
AGAINST	cronica aiguat #granollers xavier casal #mataro #eltemps
AGAINST	devocio català sant valenti mil·lenaria tresar segle nhan venerar diferent conèixer #dulia #etnografia #devocio #reliquies #reliquiaris #santoral
FAVOR	guaitar raiz despres rectificar recordar recordar saber personar començar preparar quant credibilitat #faketrial
AGAINST	revocar conveni signar linss
FAVOR	interes dissabte tornar sant jaume quda decencia dignitat podrieu aturar #omplimsantjaumes
AGAINST	davant modelar participacio governar colar nòmer quedar pensar imatge #comissionsbcn #participacio #barcelona
AGAINST	confessare feliç escàs segon arribar fotre descontextualitzar creure definitivament haviem perdre molt honorable deixar servir catalunya convertirse caçador
FAVOR	algu dir miserable lisrael segur esta malversacio comprar durnes ensenyar facturar mentrestant innocent democracia presumpcio dinnocencia #faqsforojuecestv
AGAINST	indepe dubtar votar comú factor votarlos general pero lajuntament
FAVOR	questio cadascu creure tanc disparar disparar independencia arribar demostrar farol lamenaça violencia lestat espanyol #recuperaelpoder
FAVOR	proposar diccionarivikipedia definicio terme cínic sacompanyi il·lustrar fotre daquest individu quin vergonyar veritat tipus politics escrupols quant mentir impostura despentinarse #millo
AGAINST	dimitir dimitir laltre comú jurar
FAVOR	urgent gent #femxarxa passar missatge atenció tothom feixista seguir pels carrer voltar plaçar sant jaume banda marxar gent plaçar sant jaume necessitar medls gent acampar
AGAINST	graciar interessar salut anar començar setmana recuperacio lamentar molt pero suspendre acte publics tenir programar proxims metre
NONE	associació jutjar catalunya considerar ofensiva paraula fiscal laudiencia nacional posar dubtar imparcialitat jutjat català
AGAINST	rosar parks emparper casa vegada assemblar cosa
FAVOR	llistar unitaria aixi tenir referendum llistar unitaria
AGAINST	montareu camp concentracio tipus gulag reeducar botifler matar directament aixo posar catxondoeh nazi
NONE	marlaska favor canviar llei dacusacions popular
FAVOR	temps avisar doctubre paper mullar voler portar tupinada referendum manipular perdre aixi donar acabar proces
AGAINST	guiar manifestacio diada lonze setembre necessitar saber
FAVOR	#davantdelsuorem considerar prendre politic judici judici politic dire veritat acusació falsar #absolucio #freetothom
FAVOR	car lindividu punyeta peliculero #judiciproces
FAVOR	cul llogar treballar partit indepes molt especialment direcció derc pdcat gent ofici politica tant condemnat viuren della sempre decidir obrir
FAVOR	boye puigdemont desmuntar latac fiscalia contra slesvigholstein
AGAINST	dema anar boig pero organitzar aconseguir
AGAINST	fenomen miraculos se´n resultar bisexual deixar politica tambe s´ho plantejar esclatar masters assegurar oferir parlar dira tenir vocacio monja
AGAINST	campanya brutal processistes twitter desacreditar anul·lar gran compte dusuaris independentista aixo voler republica pensar discriminar apartat dir feixista pero igual pitjor
FAVOR	canviar lema adoptar moral victoria sempre endavant estar tenir guanyar llibertar independencia sentir tristor rabia pero tenir clar cami republica català
AGAINST	pot servir dret respondre preguntar advocat fiscal salar argumentar inocencia mitin total any comdemna sentenciar culpable nòmer
FAVOR	acompanyar conseller legitims saber judici politic pero determinar explicarse demostrar delicte sino nòmer urna democracia #judicialesurnes #freetothom
NONE	jose antonio nieto exsecretari destat seguretat minim imprescindible haguessim prioritzar leficacia operatiu violencia superior leficacia #judicitvcatradio
FAVOR	sindicalisme independentista guanyar elecció sindical generalitat
FAVOR	escoltar nòmer escoltar superior vicent sanchis tensar edat poder plantarli car aqui faltar granar tambe #tonisolerdimissio
FAVOR	breu anàlisi durgència defensar formidable defensar estrictament politica oferir relatar dignitat poblar catala dret lautodeterminacio sentenciar esta dictar defensar tecnica heure humiliar gràcia
NONE	conseller artadi bosch calvet seguir matar judici suprem salar vista #judicitvcatradio
AGAINST	exactament aixo gent deixar portar lemocio
FAVOR	veure perpinya cartell festival fotoperiodisme visar pour limage direccio festival voler exposar foto proces independentista catalunya aixo moviment catalanista nord organitzar diferent exposició tractar témer
AGAINST	admetre #judiciproces deixar fer respectar responsabilitat penal lexportaveu governar assenyalar desbordar feina animicament
FAVOR	pero veure fairy enlloc #millomentider #judicidelavergonya
FAVOR	democracia tambe esta judici espanya washington pondre
FAVOR	davant levidencia lindependentisme convertir opcio majoritaria decidir tancar debatre competencia afegir junqueras #judiciproces
AGAINST	dolç catalunya alcanza visitas
FAVOR	miler rourencs viatjar madrid graduar segon #melosquitandelasmanos #mastersgame #santestevedelesroures #catalonia #catalunya #cdr #sedr #mes #tictaccasado #tictacrivera
NONE	mosso mosso desquadra idiota manifestar acollir dret declarar
NONE	ladvocat august matamala preguntar turull tenir veure remotament delicte rebel·lio lacusa #judicitvcatradio
FAVOR	unica maner posar catalunya sxxi tenin competencies financiacio realitat aquest realitat sera possible tenir independencia encarar tenir poguem començar treballar
FAVOR	#llibeats ángel gozalo guardia civil catalunya l#oct condecorar exveterans division azul lexercit nazi explicar
NONE	diego perez cobos majorar trapero adequar cobrir elecció normal prohibir referendum il·legal #judicitvcatradio
AGAINST	francesc colome leso tallar definitiu alumne #perqueapostem
AGAINST	pensar diu partir militar partir maragall romeva alamany marxar pscicvcomuns criticar incoherencia partir indepe graciar partit ser esperar
FAVOR	avui semblar judici vergonyar pero esperar declaracio jordi cuixart creure haura despres dir optimista #thisistherealspain #joacuso #autodeterminacionoésdelicte #makeamove #llibertatpresospolitics
NONE	diego perez cobos interlocutoria dir centre obrir ocupar activitat poder ferse prepararhi referendum #judicitvcatradio
FAVOR	gonzalez pondre demanar detenir puigdemont entrar parlament europeu psicopata indecent
NONE	avui dijous començar setmana aprofundir relacio tecnologia activitat repartir espai #mweekbcn info
FAVOR	proces farsa judicial saguanta enlloc judici democracia sobirania legitimitat poblar catalunya aqui poder veure lentrevista sencer
AGAINST	violeta joana bonet
FAVOR	marchena judici rapid agil pero veure judici lligar politica poder trobar laccelerin caure testimoni provar vulnerar dret defensar laturin elecció #mes #judicitvcatradio
AGAINST	molt dacord construccio collectiva ciutat comptar grup social viure guanyar creativitat #jociciutat
FAVOR	#judicialesurnes conseller mandat democratic clar part ciutadania catalunya complir mandat democratic buscar lequilibri limperi llei principi democratic #freetothom
NONE	parapetar executar executar francesc abad sinaugura febrer plaçar #forum festa ciutadà participar andrea motis sabor graciar brodas brossar info
FAVOR	encarar registrar aquest registrar perfomance eina necessaria #autodeterminacionoésdelicte #judicifarsa tenir dubte fer ullar explicació daquest article
NONE	declaracio dindependencia doctubre gran punt debatre judici proces tenir efecte juridics
FAVOR	article lluitar pres dignitat respecteversus toxicitat primaria destructiu deixar arrossegar pensament toxic respectar perspectiu compromis
FAVOR	candidatura independentista revolucionar elecció cambra comerç
FAVOR	segon perez cobos murallar votant organitzar dirigir jerarquicament car tapar agredir video #mentiders #judicifarsa
NONE	algu pensar despres metre preso trobar afeblir penedir espantar veure apuntar aragones declaracio junqueras #judicitvcatradio
FAVOR	kontra korrent cantar #lanostrasentencia independencia musicar tambe #organitzemrepublica
AGAINST	vídeo crit dindependencia xiular massiu ballesteros diada sant tecla
NONE	impoant aqui any tindra estatua plaçar catalunya deixar comentari
AGAINST	ruc treballar raval gentussa alumne odin llengua maco mara fotre felicitar bonic despres dentran blog veure nivell piular sentir esta inter
AGAINST	elecciones prometer convergencia vuelta puigdemont simbolica farol independencia metre referendum fullar ruta pactar fiscal
FAVOR	lescenari presentar llibre proposta barcelona reivindicar dialeg #llibertat repressió #lasetmana
AGAINST	republica necessitar jutjar fiscal culpabilitat innocencia acusat sera determinar futbolista mossèn folklorics proregim
AGAINST	fixeula frase questiocom pronunciar pels politics campanyano sentir significar lindependentisme qualitat independentista personificar retoric paret dolent travessar
NONE	tothom mitjó sandalies #detectiuconanxl
FAVOR	politics ferm coherent carles riera lenduen arrastrant vergonyar policia greu dirho governar cridar carrer mateix fora
FAVOR	jutjar valtonyc queixar poder il·legalitzar partit independentista senyor
AGAINST	català darreu republica rosario palomino
AGAINST	jlluis espinos caldre haverhi cursar extra formacio orientador alumne acabar leso tenir clar voler enfocar estudi postobligatoris acabar poder passar cursar batxillerat #perqueapostem
AGAINST	quin problema falangista voler saber
AGAINST	tambe esta publicar preso provisional destitucio puigdemont
AGAINST	quin mandra creure idiota volsatres parlament catalunya tenin majoria imaginar parlament espayol portar lindependencia fer contrari volsatres traidors
FAVOR	daqui començar segon setmana #judiciproces quina pero clau primer analitzar
AGAINST	gana plorar veure #junqueras despres preso molt forçar
FAVOR	dema declarar chordi quisar #judicifarsa
NONE	jose antonio nieto exsecretari destat seguretat desplaçar agent catalunya proposar operatiu #judicitvcatradio
AGAINST	tintar mancha mejor gilipua
FAVOR	començar judici lajut duns voluntari intentar cordinar massa independentista contrarestar fake news lestat ajudar mobilització apuntar telegram
FAVOR	suposar farsa judici destat hispanic proper dia atac conte dindepes twitter constar multiplicar fernos callar devant daquest desproposit antidemocratic doncs portar clar #llibertatpresospolitics
NONE	judici proces directe repren judici proces declaració jose antonio nieto enric millo juan antonio puigserver roger torrent #judicitvcatradio
FAVOR	#joacuso #judicifarsa #thisistherealspain faltar genial
NONE	cert lalt campar ecologics necessitar malgastar fairy
AGAINST	puntar avui publicar rectificacio hora hora despres tuit inicial seguir alla
AGAINST	marcar lobjectiu desterrar patriarcat #parlament perspectiu generar transversal funció actuació cambra digualtat parlament catalunya article
AGAINST	portal enderrocar deliminacio murallar
FAVOR	cada infamar arrimadas voste esta loposicio deixar president generalitat representar començar respectarlo dir mentir lodi causar lindependentisme dofendrens pensar voste
AGAINST	platja platja néixer tortuga babaua premiar
FAVOR	doncs mirar amplissima majoria votar referendum dautodeterminacio bo diada
FAVOR	conseller recordar allo fiscalia afinar problema governar espanyol politica esta disposar causar defensar gent votar #judicialesurnes️ #freetothom️
AGAINST	afecte igualar latur salari baix temporalitat retallar social dividirnos enfrontarnos unir aixi poder continuar latracament majoria #quenoensenfrontin
FAVOR	altamirano aqui haura independencia republicà treballar plegat
AGAINST	tipica gent
AGAINST	tot parlar millo fossiu nen petit veure voler veure mentres parlar dells parlar independencia
AGAINST	dacord aixo frances espanyol acabar darribar deure diferent argeli acabar darribar voler deure distingir xenofobia racisme persona rebre rebre segur potser racisme
AGAINST	sort castellà emigrar catalunya shan adaptar societat dacollida pacifics esdevenir català catalunya shauria netejar colon inadaptat repressor violent
AGAINST	jefe peron tilde
AGAINST	resposta tuit plorar
NONE	turull molt gent defensar referendum esta contra independencia catalunya ciutadà acceptar resultar votacio #judicitvcatradio
NONE	quan tornar maternitat descobrir encaixar directiu barça #somdones
AGAINST	hola mentir cometre perjurar justicia igualar pagar aixo pero sap perfectament digual justicia aixo mentir suportar marta #judicifarsa
FAVOR	voler preso #perjuri #judicifarsa retuit compartir
FAVOR	fort dapoderar espanya remeiar esclafar destruir mirament aqui mentra milió indepes perque pels
NONE	diego perez cobos veure reticencia nomenament sempre voler deixar clar diferenciar funcio comandament cordinacio #judicitvcatradio
FAVOR	exclusiu filtrar imatge vestir lluira farlivera #fashionweek #fakejustice #fakesuprem #judicialademocracia #oct #judicifarsa #judicitvcatradio
AGAINST	graciar puigcerda defensar dret tabarnesos lautodeterminacio albert piñeira brosel sisplau autodeterminis pare catalanitzador cognom alcalde
FAVOR	aqui girona persona gratar pero diferenciar president puigdemont trobar faltar miserable mentider mal persona
FAVOR	matar mentir cinisme fer fastig escoltar perez cobos fastig veure tornar declarar pero acusat davant tribunal internacional miserable #judicifarsa #judicialademocracia
FAVOR	algu pensar rendir #nosurrendercat
FAVOR	politica extranya company llitar costar ppcs detenir president puigdemont conferenciar parlament europeu vena franquista topar
FAVOR	#femxarxa #llibertatpresospolitics #republica #llibertatexiliats #capalarepublica #nocallarem #noatot #joacuso #niunpasenrere #olot #judicialademocracia #judicifarsa #seguim
FAVOR	pais votar independencia demanar absolució sentenciar justar justicia ser actuar ser ocupar enemic sino recuperar ostatge ser presoner
NONE	romeva copiar lestrategia junqueras prendre politic
AGAINST	rubricar canvi eina ajudar proces #transformacioeducativa educacio qualitat tothom saber saber anar pot consultarla aqui
AGAINST	aquest setmana presentar protocol gestio conflicte enfocar restauratiu taular dinfancia adolescencia puiggener projectar participar servei mediacio l@ajsabadell
FAVOR	seminari visió catalunya despanyar president catalunya pensament politic obra governar organitzar cordinat matricular obrir
FAVOR	quin partit independentustes parlar catalunya nòmer gent independentista partit politics veure guanyar elecció
FAVOR	atenció comunicat️ suportar escalfar companya encausar tocar tocar totes️ #decidimser #cdrenxarxa
AGAINST	vemos plaçar sant jaume #totsasantjaume #omplimstjaume #republicacatalana porcar queremos #llibertatpresospoliticsiexiliats
AGAINST	politica querellar sistema democracia parlament dialogar debatre amenaçar
AGAINST	esta estavem escolar ciutadà aixo poder pegar
NONE	testimoni denric millo exdelegat governar espanyol catalunya obrir sessio judici proces tambe esta preveure declaracio diego perez cobos cordinador policial #judicitvcatradio
NONE	cotxe tampoc tornar basar nòmer tenir servei interpretacio obrir lalemanya nòmer tornar tenir servei pero tenir do fer
AGAINST	llegir algu malgrat tenir idear completament diferent parlar veracitat
FAVOR	ladvocat john philpot convidar international trial watch alertar perillar dintentar arreglar problema politics acusació penal
AGAINST	objectiu independencia catalunya considerar augmentar confrontacio conflicte visible alimentar estrategies processistes recórrer
FAVOR	politics independentista viure lamentacio constar tractar despanyar portar decades viure daixo pensar any
NONE	hillary clinton presentar elecció presidencial
AGAINST	març datar sempre amant meteo recordar granar nevar tenir barcelona catalunya #efemeride aixi carrer #guinardo #meteo #eltemps
FAVOR	marcar politica republica carrer tenir clar fara nosaltresel poblar organitzar dubtar #femxarxa #organitzemrepublica
